*******************************************************************************
JPL/HORIZONS                  66 Maja (A861 GA)            2020-Jun-20 08:03:56
Rec #:      66 (+COV) Soln.date: 2020-May-20_00:57:44   # obs: 3183 (1861-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455207.5 ! 2010-Jan-11.00 (TDB)         Residual RMS= .31491
   EC= .1711189020036979   QR= 2.194141275185194   TP= 2455369.5187582178
   OM= 7.566146064756148   W=  43.48915405823634   IN= 3.047954470886916
   A= 2.647112210049435    MA= 322.9224656237614   ADIST= 3.100083144913676
   PER= 4.30692            N= .228847164           ANGMOM= .027574918
   DAN= 2.28582            DDN= 2.93383            L= 51.0148035
   B= 2.0971339            MOID= 1.20529997        TP= 2010-Jun-22.0187582178
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 35.91              ROTPER= 9.73509
   H= 9.5                  G= .150                 B-V= .697
                           ALBEDO= .016            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#49, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:03:56 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 66 Maja (A861 GA)               {source: JPL#49}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455207.5 ! 2010-Jan-11.00 (TDB)         Residual RMS= .31491        
   EC= .1711189020036979   QR= 2.194141275185194   TP= 2455369.5187582178      
   OM= 7.566146064756148   W=  43.48915405823634   IN= 3.047954470886916       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.320511233171782E+00  Y= 2.997872805732937E-03  Z=-1.665572416270150E-02
  VX=-1.406041073933621E-03 VY= 1.063616600277493E-02 VZ= 5.304900371370065E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 35.91              ROTPER= 9.73509             
   H= 9.5                  G= .150                 B-V= .697                   
                           ALBEDO= .016            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.164922556476815E+00, -2.211193161768985E+00, -1.005081190017631E-01,  6.230094292511550E-03, -6.329441136845687E-03, -3.844464062694331E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.133504325874761E+00, -2.242564349905714E+00, -1.024177839387869E-01,  6.336924381922853E-03, -6.218788676962761E-03, -3.794044273704523E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.101556057006187E+00, -2.273378607090456E+00, -1.043020124850673E-01,  6.442107856505784E-03, -6.106671339454964E-03, -3.742719737218098E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.069086009229145E+00, -2.303628647470957E+00, -1.061603541105068E-01,  6.545634173358884E-03, -5.993104496045250E-03, -3.690497802834005E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.036102495066078E+00, -2.333307261424531E+00, -1.079923619227697E-01,  6.647492607676735E-03, -5.878103268903485E-03, -3.637385672938751E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.002613881142251E+00, -2.362407314341317E+00, -1.097975925950856E-01,  6.747672241250518E-03, -5.761682543072856E-03, -3.583390408364443E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.968628589180846E+00, -2.390921745470153E+00, -1.115756062969434E-01,  6.846161951270296E-03, -5.643856979129418E-03, -3.528518934333390E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.934155097053738E+00, -2.418843566828612E+00, -1.133259666278346E-01,  6.942950399216361E-03, -5.524641026179747E-03, -3.472778046692591E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.899201939887795E+00, -2.446165862178635E+00, -1.150482405541475E-01,  7.038026019767780E-03, -5.404048935074944E-03, -3.416174418227199E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.863777711226428E+00, -2.472881786068411E+00, -1.167419983491961E-01,  7.131377009810139E-03, -5.282094771675867E-03, -3.358714604882785E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.827891064245670E+00, -2.498984562940631E+00, -1.184068135363393E-01,  7.222991317625468E-03, -5.158792430138668E-03, -3.300405051907722E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.791550713023750E+00, -2.524467486307241E+00, -1.200422628351564E-01,  7.312856632309837E-03, -5.034155646234286E-03, -3.241252099965366E-04,
