*******************************************************************************
JPL/HORIZONS                 88 Thisbe (A866 LA)           2020-Jun-20 08:07:35
Rec #:      88 (+COV) Soln.date: 2020-May-20_00:58:15   # obs: 3402 (1866-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2452954.5 ! 2003-Nov-11.00 (TDB)         Residual RMS= .24788
   EC= .1640928858724235   QR= 2.31329270528719    TP= 2453327.5875394442
   OM= 276.7824636068673   W=  36.63677507150449   IN= 5.218066879334034
   A= 2.767404016774685    MA= 280.1259017877564   ADIST= 3.22151532826218
   PER= 4.60381            N= .214089423           ANGMOM= .028228679
   DAN= 2.37956            DDN= 3.10124            L= 313.3053706
   B= 3.1110553            MOID= 1.30227995        TP= 2004-Nov-18.0875394442
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 116.               ROTPER= 6.042
   H= 7.2                  G= .140                 B-V= .681
                           ALBEDO= .0671           STYP= B
 
ASTEROID comments: 
1: soln ref.= JPL#151, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:07:35 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 88 Thisbe (A866 LA)             {source: JPL#151}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452954.5 ! 2003-Nov-11.00 (TDB)         Residual RMS= .24788        
   EC= .1640928858724235   QR= 2.31329270528719    TP= 2453327.5875394442      
   OM= 276.7824636068673   W=  36.63677507150449   IN= 5.218066879334034       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.260701019028319E+00  Y=-1.352693556822641E+00  Z=-8.283801673087602E-01
  VX= 7.189673743500762E-03 VY=-7.053539094729287E-03 VZ=-2.434901931020134E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 116.               ROTPER= 6.042               
   H= 7.2                  G= .140                 B-V= .681                   
                           ALBEDO= .0671           STYP= B                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  3.555378915080838E-01,  3.001434138481869E+00,  6.777863692065630E-02, -9.086350827085721E-03,  2.389721410132532E-03, -7.969749088833347E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  3.100611621411525E-01,  3.012980818549939E+00,  6.378486531805602E-02, -9.103917191369541E-03,  2.229018604140393E-03, -8.004944142077639E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.645029329602108E-01,  3.023725027378074E+00,  5.977408406088502E-02, -9.118955525923692E-03,  2.068737480830032E-03, -8.037791495789339E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.188757727741458E-01,  3.033668941133234E+00,  5.574746133049318E-02, -9.131494314529918E-03,  1.908904993439227E-03, -8.068313793982940E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.731921087639447E-01,  3.042814868553633E+00,  5.170615403183030E-02, -9.141561722755535E-03,  1.749547222756263E-03, -8.096533496034737E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.274642281002316E-01,  3.051165246668239E+00,  4.765130788896231E-02, -9.149185587531526E-03,  1.590689409573508E-03, -8.122472864086927E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  8.170427960981866E-02,  3.058722636674835E+00,  4.358405754670283E-02, -9.154393408083650E-03,  1.432355985724982E-03, -8.146153951012375E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  3.592427548353407E-02,  3.065489719971747E+00,  3.950552667819111E-02, -9.157212338421863E-03,  1.274570604709491E-03, -8.167598588772880E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -9.863906980860201E-03,  3.071469294342834E+00,  3.541682809801894E-02, -9.157669180702946E-03,  1.117356172317995E-03, -8.186828377980986E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -5.564852360400752E-02,  3.076664270294441E+00,  3.131906388023123E-02, -9.155790379180882E-03,  9.607348766895126E-04, -8.203864678772504E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.014179615218316E-01,  3.081077667540479E+00,  2.721332548064456E-02, -9.151602014895644E-03,  8.047282175134980E-04, -8.218728602636950E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.471607373578449E-01,  3.084712611631578E+00,  2.310069386304188E-02, -9.145129801151723E-03,  6.493570344660932E-04, -8.231441005058328E-04,
