*******************************************************************************
JPL/HORIZONS                 89 Julia (A866 PA)            2020-Jun-20 08:07:47
Rec #:      89 (+COV) Soln.date: 2020-May-20_00:58:15   # obs: 2394 (1866-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2453732.5 ! 2005-Dec-28.00 (TDB)         Residual RMS= .39308
   EC= .1837312666221738   QR= 2.081866096774532   TP= 2453567.0609451835
   OM= 311.6536862157482   W=  45.05611871166028   IN= 16.13919230327614
   A= 2.550466545692004    MA= 40.03249583876485   ADIST= 3.019066994609476
   PER= 4.07322            N= .241977294           ANGMOM= .027004392
   DAN= 2.18126            DDN= 2.83193            L= 355.5581864
   B= 11.3468649           MOID= 1.10221004        TP= 2005-Jul-15.5609451835
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 72.7415            ROTPER= 11.387
   H= 6.8                  G= .150                 B-V= .859
                           ALBEDO= .189            STYP= K
 
ASTEROID comments: 
1: soln ref.= JPL#108, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:07:47 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 89 Julia (A866 PA)              {source: JPL#108}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2453732.5 ! 2005-Dec-28.00 (TDB)         Residual RMS= .39308        
   EC= .1837312666221738   QR= 2.081866096774532   TP= 2453567.0609451835      
   OM= 311.6536862157482   W=  45.05611871166028   IN= 16.13919230327614       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.283466590686194E+00  Y= 1.341485658178903E+00  Z= 1.245966466692459E+00
  VX=-8.605673936892575E-03 VY= 8.002317089970967E-03 VZ= 3.251600265849475E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 72.7415            ROTPER= 11.387              
   H= 6.8                  G= .150                 B-V= .859                   
                           ALBEDO= .189            STYP= K                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  6.727928932790965E-01,  2.191299392799111E+00,  5.664254341821739E-01, -1.018405311824724E-02,  5.473903508533598E-03, -1.126708535741921E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  6.216898437313455E-01,  2.218051803877078E+00,  5.606334865636764E-01, -1.025606609604302E-02,  5.227065234222404E-03, -1.189833709958487E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  5.702431468626791E-01,  2.243570236539621E+00,  5.545294741358049E-01, -1.032153045740632E-02,  4.980341533109197E-03, -1.251532727176582E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  5.184852669610356E-01,  2.267855697894822E+00,  5.481205518250253E-01, -1.038055823105360E-02,  4.733904781733276E-03, -1.311796295462919E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  4.664481008854228E-01,  2.290910037221957E+00,  5.414139156470306E-01, -1.043326428463099E-02,  4.487919491249910E-03, -1.370617251249691E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  4.141629649787647E-01,  2.312735906947440E+00,  5.344167923600829E-01, -1.047976588593626E-02,  4.242542431407220E-03, -1.427990441676540E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  3.616605841095791E-01,  2.333336724282326E+00,  5.271364297007427E-01, -1.052018229039773E-02,  3.997922771184807E-03, -1.483912609189836E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  3.089710827111438E-01,  2.352716633606024E+00,  5.195800871926396E-01, -1.055463435419625E-02,  3.754202236622707E-03, -1.538382277672269E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.561239776959180E-01,  2.370880469678196E+00,  5.117550275198689E-01, -1.058324417082375E-02,  3.511515283605646E-03, -1.591399640663913E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.031481731292920E-01,  2.387833721743901E+00,  5.036685084518393E-01, -1.060613473087206E-02,  3.269989281885058E-03, -1.642966452658446E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.500719565457906E-01,  2.403582498582350E+00,  4.953277753033288E-01, -1.062342960522043E-02,  3.029744708254994E-03, -1.693085923732174E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  9.692299679195704E-02,  2.418133494541528E+00,  4.867400539129678E-01, -1.063525265103737E-02,  2.790895347492206E-03, -1.741762617558725E-03,
