*******************************************************************************
JPL/HORIZONS                 103 Hera (A868 RA)            2020-Jun-20 08:14:05
Rec #:     103 (+COV) Soln.date: 2020-Feb-22_15:17:03   # obs: 2567 (1871-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455046.5 ! 2009-Aug-03.00 (TDB)         Residual RMS= .3457
   EC= .08027804013722764  QR= 2.484418102856084   TP= 2455386.8282933645
   OM= 136.2716245020434   W=  190.4292999756296   IN= 5.422238940810766
   A= 2.701270831052868    MA= 284.4473092016032   ADIST= 2.918123559249653
   PER= 4.43977            N= .221999435           ANGMOM= .028181335
   DAN= 2.91392            DDN= 2.48747            L= 326.6552845
   B= -.9801289            MOID= 1.47229004        TP= 2010-Jul-09.3282933645
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 41.954             ROTPER= 23.74
   H= 7.6                  G= .150                 B-V= .853
                           ALBEDO= .217            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#112, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:14:05 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 103 Hera (A868 RA)              {source: JPL#112}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455046.5 ! 2009-Aug-03.00 (TDB)         Residual RMS= .3457         
   EC= .08027804013722764  QR= 2.484418102856084   TP= 2455386.8282933645      
   OM= 136.2716245020434   W=  190.4292999756296   IN= 5.422238940810766       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.240657771326775E+00  Y=-2.247768765610454E+00  Z=-7.104977191729135E-01
  VX= 9.726887720639886E-03 VY=-3.741433012239981E-03 VZ=-2.001560022817168E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 41.954             ROTPER= 23.74               
   H= 7.6                  G= .150                 B-V= .853                   
                           ALBEDO= .217            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.619670828579750E+00, -2.136889368526715E+00,  2.529228546812658E-01,  8.815234082508620E-03, -5.670834438704023E-03, -1.811664891247201E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.575290802869698E+00, -2.164837825432791E+00,  2.519692781965236E-01,  8.936309956376072E-03, -5.508070966540599E-03, -2.002667220666354E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.530312452181071E+00, -2.191965335804462E+00,  2.509201673821205E-01,  9.054551929741373E-03, -5.342462127803006E-03, -2.193789974464614E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.484750128202661E+00, -2.218257769011896E+00,  2.497754804950757E-01,  9.169887125181074E-03, -5.174046736998983E-03, -2.384959043919686E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.438618547009503E+00, -2.243701193528539E+00,  2.485352131938948E-01,  9.282242674622033E-03, -5.002865627161579E-03, -2.576098933318422E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.391932788878775E+00, -2.268281887116171E+00,  2.471993992295451E-01,  9.391545774749819E-03, -4.828961686623758E-03, -2.767132770551337E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.344708297821692E+00, -2.291986347191064E+00,  2.457681111303860E-01,  9.497723745176935E-03, -4.652379894722651E-03, -2.957982320615677E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.296960880818159E+00, -2.314801301366317E+00,  2.442414608797606E-01,  9.600704089125344E-03, -4.473167356557448E-03, -3.148568001370819E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.248706706742087E+00, -2.336713718165135E+00,  2.426196005852041E-01,  9.700414556478952E-03, -4.291373336540091E-03, -3.338808901342503E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.199962304965427E+00, -2.357710817898031E+00,  2.409027231381708E-01,  9.796783209258055E-03, -4.107049290364531E-03, -3.528622799913768E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.150744563628590E+00, -2.377780083695353E+00,  2.390910628629834E-01,  9.889738489598380E-03, -3.920248895124424E-03, -3.717926190309977E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.101070727564642E+00, -2.396909272685352E+00,  2.371848961535260E-01,  9.979209290266640E-03, -3.731028077383993E-03, -3.906634305680963E-04,
