*******************************************************************************
JPL/HORIZONS                104 Klymene (A868 RB)          2020-Jun-20 08:14:14
Rec #:     104 (+COV) Soln.date: 2020-Feb-22_15:17:04   # obs: 2901 (1885-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455222.5 ! 2010-Jan-26.00 (TDB)         Residual RMS= .32105
   EC= .1548489657512213   QR= 2.663441698827686   TP= 2454976.937124141
   OM= 41.80024486437509   W=  31.43254838456773   IN= 2.789430132428763
   A= 3.151438726209587    MA= 43.26169025490485   ADIST= 3.639435753591488
   PER= 5.59463            N= .176173572           ANGMOM= .030169328
   DAN= 2.7169             DDN= 3.54415            L= 73.2025756
   B= 1.4542539            MOID= 1.67829001        TP= 2009-May-25.4371241410
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 68.2765            ROTPER= 8.984
   H= 8.4                  G= .150                 B-V= .688
                           ALBEDO= .052            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#97, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:14:14 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 104 Klymene (A868 RB)           {source: JPL#97}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455222.5 ! 2010-Jan-26.00 (TDB)         Residual RMS= .32105        
   EC= .1548489657512213   QR= 2.663441698827686   TP= 2454976.937124141       
   OM= 41.80024486437509   W=  31.43254838456773   IN= 2.789430132428763       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.840723402358419E+00  Y= 1.923081257914473E+00  Z= 9.842627166756190E-01
  VX=-8.912242751610830E-03 VY=-5.472132790719056E-03 VZ=-2.291845338698937E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 68.2765            ROTPER= 8.984               
   H= 8.4                  G= .150                 B-V= .688                   
                           ALBEDO= .052            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.609129877532277E+00,  8.805646778647365E-01, -5.712541316478741E-02, -4.595474128980984E-03,  9.994400052007772E-03,  5.189179874106634E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.585689506412930E+00,  9.303768726168407E-01, -5.452080463923452E-02, -4.780590263677817E-03,  9.929817514446663E-03,  5.228986206991651E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.561324899251684E+00,  9.798562359498545E-01, -5.189669833776296E-02, -4.965151727760374E-03,  9.861264841593375E-03,  5.267164277000487E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.536039083069649E+00,  1.028982880082044E+00, -4.925391839881119E-02, -5.149056777638107E-03,  9.788727702399297E-03,  5.303674146963506E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.509835597667253E+00,  1.077736853336289E+00, -4.659330878686584E-02, -5.332202062270920E-03,  9.712194888471871E-03,  5.338476462517601E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.482718503399373E+00,  1.126098156031938E+00, -4.391573298188785E-02, -5.514482729111037E-03,  9.631658425034925E-03,  5.371532529100040E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.454692388404630E+00,  1.174046756923112E+00, -4.122207362991273E-02, -5.695792536514400E-03,  9.547113678281720E-03,  5.402804389999636E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.425762375254802E+00,  1.221562610161810E+00, -3.851323215458352E-02, -5.876023973496673E-03,  9.458559457803006E-03,  5.432254904547324E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.395934126985066E+00,  1.268625672760126E+00, -3.579012832950287E-02, -6.055068387692319E-03,  9.365998113826610E-03,  5.459847826733867E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.365213852464275E+00,  1.315215922525849E+00, -3.305369981110865E-02, -6.232816121285520E-03,  9.269435629319929E-03,  5.485547884490322E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.333608311066857E+00,  1.361313376445387E+00, -3.030490163177281E-02, -6.409156654333754E-03,  9.168881706760838E-03,  5.509320859477821E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.301124816610841E+00,  1.406898109486443E+00, -2.754470565292966E-02, -6.583978754895215E-03,  9.064349849201288E-03,  5.531133667134732E-04,
