*******************************************************************************
JPL/HORIZONS               114 Kassandra (A871 OA)         2020-Jun-20 08:15:49
Rec #:     114 (+COV) Soln.date: 2020-May-20_00:58:47   # obs: 2586 (1902-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2453779.5 ! 2006-Feb-13.00 (TDB)         Residual RMS= .28909
   EC= .1371502487861778   QR= 2.310623348464292   TP= 2453530.3724289383
   OM= 164.3798249827053   W=  353.2428963381918   IN= 4.936283134629385
   A= 2.677897681738681    MA= 56.03184186659569   ADIST= 3.045172015013069
   PER= 4.38227            N= .224912241           ANGMOM= .027883992
   DAN= 2.31256            DDN= 3.04181            L= 157.6475629
   B= -.5800965            MOID= 1.32017004        TP= 2005-Jun-08.8724289383
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 47.089             ROTPER= 10.7431
   H= 8.3                  G= .150                 B-V= .768
                           ALBEDO= .089            STYP= Xk
 
ASTEROID comments: 
1: soln ref.= JPL#118, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:15:49 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 114 Kassandra (A871 OA)         {source: JPL#118}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2453779.5 ! 2006-Feb-13.00 (TDB)         Residual RMS= .28909        
   EC= .1371502487861778   QR= 2.310623348464292   TP= 2453530.3724289383      
   OM= 164.3798249827053   W=  353.2428963381918   IN= 4.936283134629385       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.681023332219543E+00  Y=-1.779535136033521E+00  Z=-5.606758543065488E-01
  VX= 7.327691380101751E-03 VY=-7.951972753338589E-03 VZ=-2.868461277427049E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 47.089             ROTPER= 10.7431             
   H= 8.3                  G= .150                 B-V= .768                   
                           ALBEDO= .089            STYP= Xk                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.007963006428939E+00,  2.413396585787010E+00, -2.231088192323586E-01, -1.037283458873756E-02,  2.756604901620805E-03,  4.484545269058160E-06,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  9.558959892531249E-01,  2.426682491681234E+00, -2.230405253878982E-01, -1.045336802266113E-02,  2.557301758998125E-03,  2.285727995334313E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  9.034354496821817E-01,  2.438965086367128E+00, -2.228800086977311E-01, -1.053022734967485E-02,  2.355288523442931E-03,  4.137264588138133E-05,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  8.506000016567586E-01,  2.450230943808942E+00, -2.226265718177091E-01, -1.060331512091739E-02,  2.150615540423173E-03,  6.002426859697315E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  7.974087475699168E-01,  2.460466898395761E+00, -2.222795500259124E-01, -1.067253342218605E-02,  1.943336652100522E-03,  7.880547257609840E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  7.438812803183639E-01,  2.469660062687957E+00, -2.218383127438129E-01, -1.073778398557939E-02,  1.733509302053483E-03,  9.770927500568974E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  6.900376847727916E-01,  2.477797845681432E+00, -2.213022650869734E-01, -1.079896831028538E-02,  1.521194637967714E-03,  1.167283801518865E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  6.358985386227023E-01,  2.484867971583546E+00, -2.206708494432880E-01, -1.085598779173916E-02,  1.306457613651406E-03,  1.358551739102341E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  5.814849125567665E-01,  2.490858499095217E+00, -2.199435470782433E-01, -1.090874385825887E-02,  1.089367089140004E-03,  1.550817184905230E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  5.268183697401180E-01,  2.495757841185156E+00, -2.191198797657869E-01, -1.095713811577316E-02,  8.699959272860850E-04,  1.743997475285396E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  4.719209645465958E-01,  2.499554785337164E+00, -2.181994114422996E-01, -1.100107250114578E-02,  6.484210863597348E-04,  1.938006617348158E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  4.168152405028251E-01,  2.502238514249794E+00, -2.171817498809713E-01, -1.104044944409410E-02,  4.247237083132327E-04,  2.132755250870052E-04,
