*******************************************************************************
JPL/HORIZONS                136 Austria (A874 FA)          2020-Jun-20 08:19:10
Rec #:     136 (+COV) Soln.date: 2020-May-20_00:59:16   # obs: 2759 (1877-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456006.5 ! 2012-Mar-20.00 (TDB)         Residual RMS= .3251
   EC= .0855138910204061   QR= 2.090882381939687   TP= 2456574.240278407
   OM= 186.5128472728368   W=  132.3285300929045   IN= 9.573217567445452
   A= 2.286401467894078    MA= 198.1454007155986   ADIST= 2.481920553848469
   PER= 3.4573             N= .28508563            ANGMOM= .025915759
   DAN= 2.40836            DDN= 2.1461             L= 319.2416379
   B= 7.062426             MOID= 1.08999002        TP= 2013-Oct-08.7402784070
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 18.4465            ROTPER= 11.4969
   H= 9.7                  G= .150                 B-V= .752
                           ALBEDO= .201            STYP= Xe
 
ASTEROID comments: 
1: soln ref.= JPL#69, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:19:10 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 136 Austria (A874 FA)           {source: JPL#69}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456006.5 ! 2012-Mar-20.00 (TDB)         Residual RMS= .3251         
   EC= .0855138910204061   QR= 2.090882381939687   TP= 2456574.240278407       
   OM= 186.5128472728368   W=  132.3285300929045   IN= 9.573217567445452       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.225322298701400E+00  Y= 1.057761273982519E+00  Z= 2.190363638658168E-01
  VX=-4.337854598530773E-03 VY=-9.239586508300044E-03 VZ=-2.375461109457452E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 18.4465            ROTPER= 11.4969             
   H= 9.7                  G= .150                 B-V= .752                   
                           ALBEDO= .201            STYP= Xe                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.746793618215809E+00,  1.388987701979498E+00, -1.971040649478471E-01, -6.517579818381204E-03,  9.482601726587880E-03, -1.717973983167336E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.713634348011945E+00,  1.435937432099207E+00, -2.056279699295956E-01, -6.745155967778338E-03,  9.296458378993270E-03, -1.691429097706165E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.679351852718786E+00,  1.481944130522518E+00, -2.140167928396930E-01, -6.966855852782332E-03,  9.105421864763088E-03, -1.663946362952137E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.643975717625342E+00,  1.526983823140241E+00, -2.222659225925373E-01, -7.182599090571902E-03,  8.909688759548633E-03, -1.635557048537087E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.607535912039355E+00,  1.571033516802856E+00, -2.303709044917354E-01, -7.392312423436487E-03,  8.709454830248733E-03, -1.606292432929080E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.570062754161006E+00,  1.614071194672151E+00, -2.383274401624094E-01, -7.595929518230756E-03,  8.504914796297615E-03, -1.576183759093157E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.531586876974532E+00,  1.656075810426827E+00, -2.461313872688171E-01, -7.793390759341112E-03,  8.296262109864047E-03, -1.545262193102541E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.492139195192595E+00,  1.697027281411297E+00, -2.537787590332803E-01, -7.984643035012401E-03,  8.083688752338038E-03, -1.513558785992997E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.451750873279096E+00,  1.736906480802455E+00, -2.612657235713101E-01, -8.169639520132997E-03,  7.867385044919756E-03, -1.481104438291105E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.410453294562705E+00,  1.775695228864456E+00, -2.685886030552816E-01, -8.348339457319420E-03,  7.647539473257090E-03, -1.447929866883846E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.368278031447568E+00,  1.813376283361560E+00, -2.757438727180765E-01, -8.520707937109386E-03,  7.424338525959357E-03, -1.414065574112768E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.325256816723112E+00,  1.849933329197260E+00, -2.827281597074031E-01, -8.686715678322450E-03,  7.197966546538926E-03, -1.379541818918608E-03,
