*******************************************************************************
JPL/HORIZONS                138 Tolosa (A874 KA)           2020-Jun-20 08:19:24
Rec #:     138 (+COV) Soln.date: 2020-May-20_00:59:42   # obs: 2815 (1905-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455511.5 ! 2010-Nov-11.00 (TDB)         Residual RMS= .36694
   EC= .162315441444255    QR= 2.051241702065472   TP= 2454842.2015716136
   OM= 54.91089013058569   W=  259.8388575549294   IN= 3.206958018573628
   A= 2.448704206273093    MA= 172.1548999267386   ADIST= 2.846166710480715
   PER= 3.83189            N= .257216942           ANGMOM= .026561455
   DAN= 2.45447            DDN= 2.31782            L= 314.734153
   B= -3.1566071           MOID= 1.03913999        TP= 2009-Jan-10.7015716135
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 26.4525            ROTPER= 10.101
   H= 8.8                  G= .150                 B-V= .877
                           ALBEDO= .273            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#71, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:19:24 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 138 Tolosa (A874 KA)            {source: JPL#71}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455511.5 ! 2010-Nov-11.00 (TDB)         Residual RMS= .36694        
   EC= .162315441444255    QR= 2.051241702065472   TP= 2454842.2015716136      
   OM= 54.91089013058569   W=  259.8388575549294   IN= 3.206958018573628       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.786531466700885E+00  Y= 1.963827504631457E+00  Z= 1.018169358595129E+00
  VX=-7.368218373913840E-03 VY=-5.329775425294091E-03 VZ=-2.144152580087687E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 26.4525            ROTPER= 10.101              
   H= 8.8                  G= .150                 B-V= .877                   
                           ALBEDO= .273            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.658172742099314E+00, -1.492355907393299E-01,  1.181237477820643E-01,  1.934526765551859E-03, -9.840084385709255E-03, -4.027118234597866E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.647982100328253E+00, -1.984036680649207E-01,  1.160872813569548E-01,  2.141870762897758E-03, -9.826488182730029E-03, -4.118602804612177E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.636752668798874E+00, -2.474938401755259E-01,  1.140052931612151E-01,  2.350034090191377E-03, -9.808912520330126E-03, -4.209198230549679E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.624480481389446E+00, -2.964860624734373E-01,  1.118782385013201E-01,  2.558964163412894E-03, -9.787298357550062E-03, -4.298861364387930E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.611161840573163E+00, -3.453599933777833E-01,  1.097065945759341E-01,  2.768606112015848E-03, -9.761585948724704E-03, -4.387547779883931E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.596793329101883E+00, -3.940949909047357E-01,  1.074908611232362E-01,  2.978902678031540E-03, -9.731714885812974E-03, -4.475211739805388E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.581371822201552E+00, -4.426701094720751E-01,  1.052315610844998E-01,  3.189794112232352E-03, -9.697624145829316E-03, -4.561806163656091E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.564894500294237E+00, -4.910640969535681E-01,  1.029292412837400E-01,  3.401218067400270E-03, -9.659252143315979E-03, -4.647282595640994E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.547358862259663E+00, -5.392553920083351E-01,  1.005844731233241E-01,  3.613109489391788E-03, -9.616536787913446E-03, -4.731591172891276E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.528762739245532E+00, -5.872221217118399E-01,  9.819785329531404E-02,  3.825400506613236E-03, -9.569415547562243E-03, -4.814680594413761E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.509104309034293E+00, -6.349420995185858E-01,  9.577000450803280E-02,  4.038020317936183E-03, -9.517825518108961E-03, -4.896498091326014E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.488382110974825E+00, -6.823928235901369E-01,  9.330157622712354E-02,  4.250895078760785E-03, -9.461703499895663E-03, -4.976989398662525E-04,
