*******************************************************************************
JPL/HORIZONS                 143 Adria (A875 DA)           2020-Jun-20 08:20:10
Rec #:     143 (+COV) Soln.date: 2020-Feb-22_15:18:14   # obs: 2756 (1880-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455086.5 ! 2009-Sep-12.00 (TDB)         Residual RMS= .25751
   EC= .07008726198147687  QR= 2.568090966026556   TP= 2454866.648043015
   OM= 333.2210999525843   W=  251.56901334847     IN= 11.47200276026753
   A= 2.761647261116883    MA= 47.21522897385702   ADIST= 2.95520355620721
   PER= 4.58945            N= .214759188           ANGMOM= .028516501
   DAN= 2.81036            DDN= 2.68851            L= 224.4405082
   B= -10.8761748          MOID= 1.58922005        TP= 2009-Feb-04.1480430150
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 47.6885            ROTPER= 22.005
   H= 9.1                  G= .150                 B-V= .738
                           ALBEDO= .044            STYP= Xc
 
ASTEROID comments: 
1: soln ref.= JPL#47, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:20:10 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 143 Adria (A875 DA)             {source: JPL#47}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455086.5 ! 2009-Sep-12.00 (TDB)         Residual RMS= .25751        
   EC= .07008726198147687  QR= 2.568090966026556   TP= 2454866.648043015       
   OM= 333.2210999525843   W=  251.56901334847     IN= 11.47200276026753       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 3.983924805491055E-01  Y=-2.189011791723153E+00  Z=-1.417277894093882E+00
  VX= 1.073008134207433E-02 VY= 3.472135469275387E-04 VZ= 1.392153284933193E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 47.6885            ROTPER= 22.005              
   H= 9.1                  G= .150                 B-V= .738                   
                           ALBEDO= .044            STYP= Xc                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.886924379633811E+00,  1.725018105839859E-01,  2.892403435374196E-01, -2.660891939624623E-04,  9.686482961974063E-03,  1.740789274809078E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.885158076035717E+00,  2.209058303645396E-01,  2.979000988080612E-01, -4.403427793362290E-04,  9.674642275641295E-03,  1.723032856826271E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.882521881653207E+00,  2.692434211422218E-01,  3.064698781390977E-01, -6.140384953516220E-04,  9.659914281977698E-03,  1.704800059375956E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.879018690563315E+00,  3.175001904835936E-01,  3.149473170509561E-01, -7.871345407267942E-04,  9.642316679002812E-03,  1.686097851831553E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.874651604494067E+00,  3.656618352852324E-01,  3.233300859435388E-01, -9.595896549669844E-04,  9.621867498515190E-03,  1.666933216336790E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.869423930141762E+00,  4.137141434103300E-01,  3.316158901561673E-01, -1.131363109777061E-03,  9.598585093258389E-03,  1.647313146275777E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.863339176532300E+00,  4.616429952620455E-01,  3.398024700202129E-01, -1.302414700139082E-03,  9.572488124413157E-03,  1.627244644841768E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.856401052426451E+00,  5.094343652952020E-01,  3.478876009044195E-01, -1.472704735736517E-03,  9.543595549512654E-03,  1.606734723534254E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.848613463766933E+00,  5.570743234696051E-01,  3.558690932526216E-01, -1.642194032742489E-03,  9.511926611232577E-03,  1.585790400646408E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.839980511166641E+00,  6.045490366498010E-01,  3.637447926142133E-01, -1.810843905496125E-03,  9.477500827164554E-03,  1.564418699898631E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.830506487439460E+00,  6.518447699558565E-01,  3.715125796683392E-01, -1.978616157765632E-03,  9.440337980416271E-03,  1.542626649301916E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.820195875175941E+00,  6.989478880687755E-01,  3.791703702430097E-01, -2.145473073550294E-03,  9.400458110834783E-03,  1.520421280261103E-03,
