*******************************************************************************
JPL/HORIZONS                 212 Medea (A880 CA)           2020-Jun-22 08:40:36
Rec #:     212 (+COV) Soln.date: 2020-May-20_01:01:07   # obs: 2694 (1880-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454392.5 ! 2007-Oct-19.00 (TDB)         Residual RMS= .24059
   EC= .1116713740732889   QR= 2.765962543432652   TP= 2453417.1450687982
   OM= 313.6538071786434   W=  99.61668474569849   IN= 4.26498554271433
   A= 3.113670394835221    MA= 174.9676673403119   ADIST= 3.46137824623779
   PER= 5.49436            N= .17938871            ANGMOM= .030164269
   DAN= 3.13329            DDN= 3.01853            L= 53.296696
   B= 4.2049429            MOID= 1.78095996        TP= 2005-Feb-15.6450687982
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 68.06              ROTPER= 10.283
   H= 8.3                  G= .150                 B-V= .704
                           ALBEDO= .0465           STYP= DCX:
 
ASTEROID comments: 
1: soln ref.= JPL#79, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:40:36 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 212 Medea (A880 CA)             {source: JPL#79}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454392.5 ! 2007-Oct-19.00 (TDB)         Residual RMS= .24059        
   EC= .1116713740732889   QR= 2.765962543432652   TP= 2453417.1450687982      
   OM= 313.6538071786434   W=  99.61668474569849   IN= 4.26498554271433        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.253073376828714E+00  Y=-2.296188336893171E+00  Z=-1.274680163536126E+00
  VX= 6.549168406953880E-03 VY=-5.301396895502238E-03 VZ=-2.236100180753083E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 68.06              ROTPER= 10.283              
   H= 8.3                  G= .150                 B-V= .704                   
                           ALBEDO= .0465           STYP= DCX:                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.962249501733379E+00, -2.838720158397371E+00, -2.535378602806679E-01,  7.097093682907408E-03, -5.031635822126709E-03,  1.160859822376712E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.926590188814365E+00, -2.863624693858145E+00, -2.529348613689454E-01,  7.166415725661826E-03, -4.930036710200714E-03,  1.251094320827302E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.890587508069255E+00, -2.888019119423259E+00, -2.522868083293953E-01,  7.234439613198082E-03, -4.827593951791932E-03,  1.341074602512931E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.854247968270138E+00, -2.911899248159844E+00, -2.515938308658377E-01,  7.301158148262436E-03, -4.724320062958613E-03,  1.430790288221296E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.817578114160566E+00, -2.935260955661877E+00, -2.508560638681653E-01,  7.366564139055717E-03, -4.620227538967871E-03,  1.520231012334198E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.780584526435127E+00, -2.958100179955005E+00, -2.500736474063419E-01,  7.430650396529518E-03, -4.515328857808846E-03,  1.609386419659877E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.743273821732016E+00, -2.980412921419083E+00, -2.492467267259926E-01,  7.493409731884009E-03, -4.409636483790090E-03,  1.698246162187405E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.705652652637860E+00, -3.002195242729183E+00, -2.483754522456675E-01,  7.554834954141904E-03, -4.303162871340208E-03,  1.786799895643688E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.667727707704657E+00, -3.023443268816026E+00, -2.474599795558478E-01,  7.614918867730519E-03, -4.195920468950989E-03,  1.875037275998745E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.629505711478741E+00, -3.044153186846235E+00, -2.465004694196780E-01,  7.673654270097231E-03, -4.087921723154598E-03,  1.962947956084065E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.590993424541465E+00, -3.064321246222454E+00, -2.454970877753452E-01,  7.731033949412994E-03, -3.979179082486253E-03,  2.050521582368862E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.552197643561092E+00, -3.083943758603235E+00, -2.444500057400360E-01,  7.787050682390034E-03, -3.869705001429177E-03,  2.137747791877781E-04,
