*******************************************************************************
JPL/HORIZONS               233 Asterope (A883 JA)          2020-Jun-22 08:42:43
Rec #:     233 (+COV) Soln.date: 2020-May-20_01:01:43   # obs: 2793 (1897-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454480.5 ! 2008-Jan-15.00 (TDB)         Residual RMS= .31822
   EC= .1009278932008879   QR= 2.39171671808875    TP= 2453825.9429519488
   OM= 222.1114053224543   W=  126.2705293863542   IN= 7.675076278119469
   A= 2.660205672049787    MA= 148.6889706024211   ADIST= 2.928694626010825
   PER= 4.33891            N= .227159675           ANGMOM= .027913593
   DAN= 2.80031            DDN= 2.48475            L= 348.6281894
   B= 6.1813919            MOID= 1.39451003        TP= 2006-Mar-31.4429519488
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 49.836             ROTPER= 19.7
   H= 8.3                  G= .150                 B-V= .775
                           ALBEDO= .094            STYP= K
 
ASTEROID comments: 
1: soln ref.= JPL#85, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:42:43 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 233 Asterope (A883 JA)          {source: JPL#85}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454480.5 ! 2008-Jan-15.00 (TDB)         Residual RMS= .31822        
   EC= .1009278932008879   QR= 2.39171671808875    TP= 2453825.9429519488      
   OM= 222.1114053224543   W=  126.2705293863542   IN= 7.675076278119469       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.280067328665947E+00  Y= 1.751985396947576E+00  Z= 3.449019640208902E-01
  VX=-6.247644202814696E-03 VY=-6.813437620721534E-03 VZ=-2.768214148064444E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 49.836             ROTPER= 19.7                
   H= 8.3                  G= .150                 B-V= .775                   
                           ALBEDO= .094            STYP= K                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.900656096122236E+00,  1.383333819623652E-01, -2.789294215708777E-01, -3.527078282695717E-04, -9.505040681114971E-03,  9.081106915245338E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.901989021166049E+00,  9.078995401911057E-02, -2.743476514929438E-01, -1.804209293427802E-04, -9.511861046474003E-03,  9.245547262180962E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.902459922722292E+00,  4.321947185784762E-02, -2.696843037828683E-01, -7.904420681336775E-06, -9.515861198664387E-03,  9.407410760872535E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.902067742714619E+00, -4.363945985842645E-03, -2.649406768974211E-01,  1.648056761688840E-04, -9.517034164936933E-03,  9.566657263984116E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.900811603675387E+00, -5.194614634330161E-02, -2.601180893928136E-01,  3.376731369181330E-04, -9.515373065531288E-03,  9.723246519780388E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.898690809794900E+00, -9.951294188919074E-02, -2.552178799788584E-01,  5.106615202677327E-04, -9.510871118380129E-03,  9.877138164253924E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.895704848043018E+00, -1.470501116430841E-01, -2.502414075771473E-01,  6.837341532070253E-04, -9.503521644439844E-03,  1.002829171291529E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.891853389365178E+00, -1.945434014986492E-01, -2.451900513833070E-01,  8.568541160199079E-04, -9.493318073354596E-03,  1.017666655289468E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.887136289953033E+00, -2.419785247818138E-01, -2.400652109328623E-01,  1.029984227510026E-03, -9.480253949415426E-03,  1.032222193656615E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.881553592587883E+00, -2.893411628400349E-01, -2.348683061698400E-01,  1.203087030650511E-03, -9.464322938096284E-03,  1.046491697686744E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.875105528055268E+00, -3.366169656662305E-01, -2.296007775174659E-01,  1.376124778404604E-03, -9.445518833403180E-03,  1.060471064344189E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.867792516630684E+00, -3.837915525615077E-01, -2.242640859507448E-01,  1.549059419423806E-03, -9.423835566022165E-03,  1.074156175891208E-03,
