*******************************************************************************
JPL/HORIZONS                247 Eukrate (A885 EB)          2020-Jun-22 08:45:31
Rec #:     247 (+COV) Soln.date: 2020-Feb-22_15:22:00   # obs: 1885 (1885-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455721.5 ! 2011-Jun-09.00 (TDB)         Residual RMS= .38261
   EC= .2430738972417042   QR= 2.074521418137862   TP= 2455590.3844284681
   OM= .1985730572168683   W=  54.62935985921616   IN= 24.99906834796448
   A= 2.740718559682576    MA= 28.48142308010378   ADIST= 3.406915701227289
   PER= 4.53738            N= .217223797           ANGMOM= .027624147
   DAN= 2.26069            DDN= 3.00105            L= 52.1279231
   B= 20.1574587           MOID= 1.15838003        TP= 2011-Jan-28.8844284681
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 65.4675            ROTPER= 12.093
   H= 8.2                  G= .150                 B-V= .691
                           ALBEDO= .064            STYP= Xc
 
ASTEROID comments: 
1: soln ref.= JPL#81, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:45:31 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 247 Eukrate (A885 EB)           {source: JPL#81}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455721.5 ! 2011-Jun-09.00 (TDB)         Residual RMS= .38261        
   EC= .2430738972417042   QR= 2.074521418137862   TP= 2455590.3844284681      
   OM= .1985730572168683   W=  54.62935985921616   IN= 24.99906834796448       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-4.220612622417346E-01  Y= 1.437023589791238E+00  Z= 1.621667138257677E+00
  VX=-1.264240284202197E-02 VY=-3.770967583916532E-04 VZ=-3.973950625559561E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 65.4675            ROTPER= 12.093              
   H= 8.2                  G= .150                 B-V= .691                   
                           ALBEDO= .064            STYP= Xc                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.173628011032018E+00, -1.190376173744450E+00, -5.698887654497122E-01,  3.425634210627672E-03,  9.661234445757800E-03,  4.484308578977877E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.190262372670217E+00, -1.141803216157079E+00, -5.473395490736838E-01,  3.227347808596919E-03,  9.767485290295129E-03,  4.535166638565599E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.205893851749265E+00, -1.092706083110047E+00, -5.245392726576565E-01,  3.024479161463385E-03,  9.870878608961724E-03,  4.584720464045434E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.220499511174569E+00, -1.043099456654887E+00, -5.014946412826420E-01,  2.817018839130634E-03,  9.971255811426246E-03,  4.632896102292888E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.234056380840082E+00, -9.929988240861406E-01, -4.782127356177293E-01,  2.604963142977436E-03,  1.006845339769343E-02,  4.679617273860529E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.246541487439920E+00, -9.424205023667758E-01, -4.547010235029018E-01,  2.388314570761470E-03,  1.016230301129689E-02,  4.724805394324882E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.257931886651415E+00, -8.913816622249133E-01, -4.309673713965653E-01,  2.167082300067999E-03,  1.025263151804392E-02,  4.768379607280537E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.268204697779457E+00, -8.399003517871970E-01, -4.070200556262750E-01,  1.941282689236927E-03,  1.033926111304461E-02,  4.810256830268362E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.277337140947391E+00, -7.879955196012470E-01, -3.828677733749836E-01,  1.710939794882801E-03,  1.042200945842873E-02,  4.850351814845908E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.285306576914160E+00, -7.356870368879466E-01, -3.585196533288819E-01,  1.476085904568711E-03,  1.050068985411332E-02,  4.888577222108429E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.292090549588510E+00, -6.829957188517765E-01, -3.339852659060950E-01,  1.236762082589497E-03,  1.057511144427854E-02,  4.924843715059764E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.297666831299987E+00, -6.299433448636368E-01, -3.092746329784987E-01,  9.930187264751815E-04,  1.064507946237078E-02,  4.959060069223522E-03,
