*******************************************************************************
JPL/HORIZONS                337 Devosa (A892 SB)           2020-Jun-22 08:53:07
Rec #:     337 (+COV) Soln.date: 2020-May-20_01:03:38   # obs: 2304 (1892-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2453746.5 ! 2006-Jan-11.00 (TDB)         Residual RMS= .29947
   EC= .1386638291674296   QR= 2.052091558202199   TP= 2454278.2786502661
   OM= 355.5614600842894   W=  98.47381329502271   IN= 7.851126023573539
   A= 2.382451390864778    MA= 217.4724241681203   ADIST= 2.712811223527356
   PER= 3.67743            N= .268020485           ANGMOM= .026295266
   DAN= 2.38538            DDN= 2.28985            L= 94.11427519999999
   B= 7.7648861            MOID= 1.08573997        TP= 2007-Jun-26.7786502661
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 32.2745            ROTPER= 4.653
   H= 8.8                  G= .190                 B-V= .731
                           ALBEDO= .135            STYP= X
 
ASTEROID comments: 
1: soln ref.= JPL#78, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:53:07 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 337 Devosa (A892 SB)            {source: JPL#78}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2453746.5 ! 2006-Jan-11.00 (TDB)         Residual RMS= .29947        
   EC= .1386638291674296   QR= 2.052091558202199   TP= 2454278.2786502661      
   OM= 355.5614600842894   W=  98.47381329502271   IN= 7.851126023573539       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.451515153367574E+00  Y=-1.912308857602640E+00  Z=-1.143248472323638E+00
  VX= 7.871787046576107E-03 VY= 5.112935805365801E-03 VZ= 3.202063165869039E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 32.2745            ROTPER= 4.653               
   H= 8.8                  G= .190                 B-V= .731                   
                           ALBEDO= .135            STYP= X                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.061943011315470E+00, -1.522904841554312E+00, -1.906660571119491E-01,  5.187673842391880E-03,  8.828765199458743E-03,  1.265558851253079E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.087428665381793E+00, -1.478430395879679E+00, -1.842969635020822E-01,  5.006005620479263E-03,  8.960514995465562E-03,  1.282004411037450E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.111997259720984E+00, -1.433304746204517E+00, -1.778467648689673E-01,  4.820852776431051E-03,  9.089231969426030E-03,  1.297998842789869E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.135631415059774E+00, -1.387543280573958E+00, -1.713177473093225E-01,  4.632233141822910E-03,  9.214826250751700E-03,  1.313529925836884E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.158313845828451E+00, -1.341161840844448E+00, -1.647122585945268E-01,  4.440166385975218E-03,  9.337206183797981E-03,  1.328585210893125E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.180027369645806E+00, -1.294176731632423E+00, -1.580327093147203E-01,  4.244674135236816E-03,  9.456278318975267E-03,  1.343152019724138E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.200754917411842E+00, -1.246604729299656E+00, -1.512815740233094E-01,  4.045780096721439E-03,  9.571947407119230E-03,  1.357217445340234E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.220479544029924E+00, -1.198463090956919E+00, -1.444613923789610E-01,  3.843510186380365E-03,  9.684116397884135E-03,  1.370768352820671E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.239184439780689E+00, -1.149769563464891E+00, -1.375747702817452E-01,  3.637892661674299E-03,  9.792686442479924E-03,  1.383791380842198E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.256852942370925E+00, -1.100542392410035E+00, -1.306243809997285E-01,  3.428958258856410E-03,  9.897556901014662E-03,  1.396272943981364E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.273468549679991E+00, -1.050800331031266E+00, -1.236129662819753E-01,  3.216740334679959E-03,  9.998625354926268E-03,  1.408199235860538E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.289014933225486E+00, -1.000562649070511E+00, -1.165433374535726E-01,  3.001275012363684E-03,  1.009578762509600E-02,  1.419556233203368E-03,
