*******************************************************************************
JPL/HORIZONS                338 Budrosa (A892 SF)          2020-Jun-22 08:53:35
Rec #:     338 (+COV) Soln.date: 2020-May-20_01:03:49   # obs: 2404 (1892-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455048.5 ! 2009-Aug-05.00 (TDB)         Residual RMS= .32598
   EC= .02087247205051137  QR= 2.851393647435211   TP= 2454318.0873120991
   OM= 287.6154701225207   W=  122.0542346281998   IN= 6.037788474354277
   A= 2.912178001375025    MA= 144.8590081429007   ADIST= 2.97296235531484
   PER= 4.96976            N= .198324874           ANGMOM= .029349167
   DAN= 2.94352            DDN= 2.87902            L= 49.813242
   B= 5.1146281            MOID= 1.86802995        TP= 2007-Aug-05.5873120991
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 25.253             ROTPER= 4.6084
   H= 8.5                  G= .150                 B-V= .704
                           ALBEDO= .276            STYP= Xk
 
ASTEROID comments: 
1: soln ref.= JPL#76, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:53:35 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 338 Budrosa (A892 SF)           {source: JPL#76}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455048.5 ! 2009-Aug-05.00 (TDB)         Residual RMS= .32598        
   EC= .02087247205051137  QR= 2.851393647435211   TP= 2454318.0873120991      
   OM= 287.6154701225207   W=  122.0542346281998   IN= 6.037788474354277       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.833637616120293E+00  Y=-6.150630601802896E-01  Z=-6.061170045522930E-01
  VX= 2.599990434372887E-03 VY=-8.754537486431065E-03 VZ=-3.843437884125527E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 25.253             ROTPER= 4.6084              
   H= 8.5                  G= .150                 B-V= .704                   
                           ALBEDO= .276            STYP= Xk                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.899088952142634E+00,  3.928341746890829E-01, -2.781460830971807E-01, -1.426156501198357E-03, -9.858159522043988E-03, -4.754177960579912E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.905798588983019E+00,  3.434886972224030E-01, -2.804826534001017E-01, -1.257653332762344E-03, -9.879551637413360E-03, -4.591895126969456E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.911665076369256E+00,  2.940434581124916E-01, -2.827377740671964E-01, -1.088904701494005E-03, -9.898063899917859E-03, -4.428387358690472E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.916687306657824E+00,  2.445128601743702E-01, -2.849108445605713E-01, -9.199584635257183E-04, -9.913695017272158E-03, -4.263702407717959E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.920864411294379E+00,  1.949113107676430E-01, -2.870012882685898E-01, -7.508623964807540E-04, -9.926444463319389E-03, -4.097888225022741E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.924195760392812E+00,  1.452532179749531E-01, -2.890085526023115E-01, -5.816641881923401E-04, -9.936312474394181E-03, -3.930992948493590E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.926680962259228E+00,  9.555298679880149E-02, -2.909321090861541E-01, -4.124114259624418E-04, -9.943300045564474E-03, -3.763064891902130E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.928319862863168E+00,  4.582501537805662E-02, -2.927714534431694E-01, -2.431515861195627E-04, -9.947408926489626E-03, -3.594152534164905E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.929112545256265E+00, -3.916308773911961E-03, -2.945261056747295E-01, -7.393202336363303E-05, -9.948641616958754E-03, -3.424304507576184E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.929059328936839E+00, -5.365661250869062E-02, -2.961956101340404E-01,  9.520004015411375E-05, -9.947001362436245E-03, -3.253569585009255E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.928160769159929E+00, -1.033815407604233E-01, -2.977795355932035E-01,  2.641975256816864E-04, -9.942492149776085E-03, -3.081996667076387E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.926417656193844E+00, -1.530767602422011E-01, -2.992774753040001E-01,  4.330135083864485E-04, -9.935118702994669E-03, -2.909634769904285E-04,
