*******************************************************************************
JPL/HORIZONS                 363 Padua (A893 FD)           2020-Jun-22 08:56:03
Rec #:     363 (+COV) Soln.date: 2020-May-20_01:04:08   # obs: 3826 (1991-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455565.5 ! 2011-Jan-04.00 (TDB)         Residual RMS= .16408
   EC= .07124021688025399  QR= 2.551260619722101   TP= 2455031.8818546627
   OM= 64.90531110447117   W=  293.4901227714119   IN= 5.944335472690989
   A= 2.746954235197719    MA= 115.5200922095525   ADIST= 2.942647850673336
   PER= 4.55287            N= .216484559           ANGMOM= .028438212
   DAN= 2.65755            DDN= 2.81289            L= 358.5085772
   B= -5.4501616           MOID= 1.55332994        TP= 2009-Jul-19.3818546627
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 48.5               ROTPER= 8.401
   H= 9.1                  G= .150                 B-V= .751
                           ALBEDO= .059            STYP= X
 
ASTEROID comments: 
1: soln ref.= JPL#106, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:56:03 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 363 Padua (A893 FD)             {source: JPL#106}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455565.5 ! 2011-Jan-04.00 (TDB)         Residual RMS= .16408        
   EC= .07124021688025399  QR= 2.551260619722101   TP= 2455031.8818546627      
   OM= 64.90531110447117   W=  293.4901227714119   IN= 5.944335472690989       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.451960800804554E+00  Y= 2.133208993754726E+00  Z= 1.191090079559491E+00
  VX=-8.869482950002554E-03 VY=-4.500081031612400E-03 VZ=-1.262358108623593E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 48.5               ROTPER= 8.401               
   H= 9.1                  G= .150                 B-V= .751                   
                           ALBEDO= .059            STYP= X                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  4.519039518356667E-01,  2.668816547205917E+00,  7.319532327714207E-02, -1.019081480027979E-02,  2.445238537946932E-03,  1.073861437273053E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  4.008696139480976E-01,  2.680544734749037E+00,  7.855064449261984E-02, -1.022226497763538E-02,  2.246029132884077E-03,  1.068204471839682E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  3.496878385289336E-01,  2.691276830436587E+00,  8.387674670398972E-02, -1.024979332261785E-02,  2.046814826491991E-03,  1.062174734329191E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.983781808741099E-01,  2.701013004158436E+00,  8.917177960108129E-02, -1.027342162374301E-02,  1.847673163791640E-03,  1.055777658562372E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.469600837534056E-01,  2.709753810312009E+00,  9.443392024360801E-02, -1.029317309323930E-02,  1.648680400085078E-03,  1.049018757626461E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.954528704374640E-01,  2.717500181314239E+00,  9.966137344191200E-02, -1.030907230890080E-02,  1.449911485346352E-03,  1.041903617663744E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.438757380130020E-01,  2.724253421038091E+00,  1.048523721071134E-01, -1.032114515717591E-02,  1.251440049784899E-03,  1.034437891864472E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  9.224775097830003E-02,  2.730015198183176E+00,  1.100051775718838E-01, -1.032941877784594E-02,  1.053338392207856E-03,  1.026627294718000E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  4.058783511347919E-02,  2.734787539596600E+00,  1.151180798829312E-01, -1.033392150929219E-02,  8.556774716131319E-04,  1.018477596428654E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.108522837640311E-02,  2.738572823557523E+00,  1.201893980658812E-01, -1.033468283416182E-02,  6.585269009189702E-04,  1.009994617464235E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -6.275280844853076E-02,  2.741373773034591E+00,  1.252174803633160E-01, -1.033173332587239E-02,  4.619549423836162E-04,  1.001184223274255E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.143964295445695E-01,  2.743193448924893E+00,  1.302007044468694E-01, -1.032510459613887E-02,  2.660285048144707E-04,  9.920523191971327E-04,
