*******************************************************************************
JPL/HORIZONS                 372 Palma (A893 QB)           2020-Jun-22 08:56:55
Rec #:     372 (+COV) Soln.date: 2020-Feb-22_15:25:45   # obs: 2134 (1893-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455520.5 ! 2010-Nov-20.00 (TDB)         Residual RMS= .32787
   EC= .2613822285804649   QR= 2.324497303394472   TP= 2456036.6163626849
   OM= 327.4639657260697   W=  115.6398541377217   IN= 23.85652100739411
   A= 3.147090949256564    MA= 268.8854444892299   ADIST= 3.969684595118655
   PER= 5.58306            N= .17653878            ANGMOM= .029455698
   DAN= 3.306              DDN= 2.63415            L= 85.15512219999999
   B= 21.3843478           MOID= 1.43733001        TP= 2012-Apr-19.1163626849
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 86.821             ROTPER= 8.567
   H= 7.5                  G= .150                 B-V= n.a.
                           ALBEDO= .059            STYP= B
 
ASTEROID comments: 
1: soln ref.= JPL#84, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:56:55 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 372 Palma (A893 QB)             {source: JPL#84}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455520.5 ! 2010-Nov-20.00 (TDB)         Residual RMS= .32787        
   EC= .2613822285804649   QR= 2.324497303394472   TP= 2456036.6163626849      
   OM= 327.4639657260697   W=  115.6398541377217   IN= 23.85652100739411       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.716217694802719E+00  Y=-1.786323791147286E+00  Z=-8.782706933369908E-01
  VX= 2.966909813921054E-03 VY= 5.677428281798042E-03 VZ= 6.378262567283421E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 86.821             ROTPER= 8.567               
   H= 7.5                  G= .150                 B-V= n.a.                   
                           ALBEDO= .059            STYP= B                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.496740638540160E+00, -2.220651299003279E+00, -1.419930463578254E+00,  4.413763009487163E-03, -6.860812391864200E-03, -1.521842090057925E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.474480315533244E+00, -2.254783584955542E+00, -1.427430196930527E+00,  4.490160739366723E-03, -6.792009565719245E-03, -1.478065303486206E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.451841077287936E+00, -2.288570482668687E+00, -1.434711259728363E+00,  4.565330780927384E-03, -6.722659530079103E-03, -1.434374381486996E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.428829037192030E+00, -2.322009292245625E+00, -1.441774088879709E+00,  4.639283138049843E-03, -6.652776673995112E-03, -1.390772335685668E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.405450258882169E+00, -2.355097384678028E+00, -1.448619136019136E+00,  4.712027706596769E-03, -6.582374965921762E-03, -1.347262046024121E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.381710756794298E+00, -2.387832199773142E+00, -1.455246866862973E+00,  4.783574270342348E-03, -6.511467965593267E-03, -1.303846266140289E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.357616496733477E+00, -2.420211244139398E+00, -1.461657760590861E+00,  4.853932497274152E-03, -6.440068835675212E-03, -1.260527628584648E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.333173396461524E+00, -2.452232089229772E+00, -1.467852309253166E+00,  4.923111936143174E-03, -6.368190353204249E-03, -1.217308649938469E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.308387326301388E+00, -2.483892369441652E+00, -1.473831017203648E+00,  4.991122013223848E-03, -6.295844920739533E-03, -1.174191735794350E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.283264109757141E+00, -2.515189780271618E+00, -1.479594400556569E+00,  5.057972029316514E-03, -6.223044577173315E-03, -1.131179185538514E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.257809524148268E+00, -2.546122076523453E+00, -1.485142986667165E+00,  5.123671157025731E-03, -6.149801008215497E-03, -1.088273196919963E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.232029301256869E+00, -2.576687070567810E+00, -1.490477313634466E+00,  5.188228438315049E-03, -6.076125556578536E-03, -1.045475870418436E-03,
