*******************************************************************************
JPL/HORIZONS               545 Messalina (A904 TC)         2020-Jun-22 09:13:36
Rec #:     545 (+COV) Soln.date: 2020-May-20_01:07:47   # obs: 2981 (1904-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455556.5 ! 2010-Dec-26.00 (TDB)         Residual RMS= .25866
   EC= .1686877597562953   QR= 2.661022318450557   TP= 2455796.8137378772
   OM= 334.2394455428196   W=  326.4026952120846   IN= 11.12407828968849
   A= 3.200990181102663    MA= 318.6423208634339   ADIST= 3.740958043754769
   PER= 5.7271             N= .172098684           ANGMOM= .030335765
   DAN= 2.72677            DDN= 3.61831            L= 301.1411786
   B= -6.1286143           MOID= 1.65491998        TP= 2011-Aug-23.3137378772
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 56.3155            ROTPER= 7.2
   H= 8.8                  G= .150                 B-V= .686
                           ALBEDO= .041            STYP= Cb
 
ASTEROID comments: 
1: soln ref.= JPL#49, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:13:36 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 545 Messalina (A904 TC)         {source: JPL#49}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455556.5 ! 2010-Dec-26.00 (TDB)         Residual RMS= .25866        
   EC= .1686877597562953   QR= 2.661022318450557   TP= 2455796.8137378772      
   OM= 334.2394455428196   W=  326.4026952120846   IN= 11.12407828968849       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.209751075404596E+00  Y=-2.088904291641709E+00  Z=-1.503698264794539E+00
  VX= 1.019459807430848E-02 VY=-3.238113801074634E-03 VZ=-1.113238786213154E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 56.3155            ROTPER= 7.2                 
   H= 8.8                  G= .150                 B-V= .686                   
                           ALBEDO= .041            STYP= Cb                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -3.083747524627208E+00,  1.965032236325978E+00,  9.563717644452600E-02, -3.538522378371946E-03, -7.302617419827739E-03, -1.607326229491259E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -3.101206784797097E+00,  1.928371623889669E+00,  8.759352727662846E-02, -3.445030703594553E-03, -7.361482663089367E-03, -1.610094766184025E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -3.118196322549204E+00,  1.891418868844256E+00,  7.953661727862181E-02, -3.350633562556198E-03, -7.419472408920881E-03, -1.612630204065046E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -3.134711612875915E+00,  1.854178379694351E+00,  7.146761733793180E-02, -3.255331895782295E-03, -7.476574210350020E-03, -1.614930379514613E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -3.150748135643086E+00,  1.816654627782785E+00,  6.338770925440254E-02, -3.159126713170758E-03, -7.532775378350645E-03, -1.616993091140587E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -3.166301375952808E+00,  1.778852148511629E+00,  5.529808592980356E-02, -3.062019100421864E-03, -7.588062977517703E-03, -1.618816099525115E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -3.181366824539102E+00,  1.740775542585298E+00,  4.719995155853814E-02, -2.964010225724304E-03, -7.642423821554011E-03, -1.620397126994932E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -3.195939978197058E+00,  1.702429477276446E+00,  3.909452181948268E-02, -2.865101346424522E-03, -7.695844468714083E-03, -1.621733857397364E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -3.210016340245301E+00,  1.663818687714224E+00,  3.098302406893989E-02, -2.765293815724836E-03, -7.748311217433302E-03, -1.622823935877593E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -3.223591421022638E+00,  1.624947978193955E+00,  2.286669753467283E-02, -2.664589089699665E-03, -7.799810102105050E-03, -1.623664968675452E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -3.236660738420815E+00,  1.585822223507921E+00,  1.474679351087259E-02, -2.562988734718685E-03, -7.850326888841904E-03, -1.624254522953725E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -3.249219818455260E+00,  1.546446370297503E+00,  6.624575553909500E-03, -2.460494435199162E-03, -7.899847071167691E-03, -1.624590126656436E-03,
