*******************************************************************************
JPL/HORIZONS                593 Titania (A906 FK)          2020-Jun-22 09:15:17
Rec #:     593 (+COV) Soln.date: 2020-Feb-22_15:31:38   # obs: 2069 (1906-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455868.5 ! 2011-Nov-03.00 (TDB)         Residual RMS= .32497
   EC= .2149040076145158   QR= 2.11964680038585    TP= 2455948.7001099978
   OM= 76.01631023496971   W=  30.80069881631592   IN= 16.88578324011456
   A= 2.699856859471902    MA= 342.1816318115653   ADIST= 3.280066918557954
   PER= 4.43628            N= .222173856           ANGMOM= .027604773
   DAN= 2.17388            DDN= 3.15814            L= 105.7182227
   B= 8.5535359            MOID= 1.15181005        TP= 2012-Jan-22.2001099978
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 35.0725            ROTPER= 9.8968
   H= 9.4                  G= .060                 B-V= .657
                           ALBEDO= .070            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#33, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:15:17 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 593 Titania (A906 FK)           {source: JPL#33}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455868.5 ! 2011-Nov-03.00 (TDB)         Residual RMS= .32497        
   EC= .2149040076145158   QR= 2.11964680038585    TP= 2455948.7001099978      
   OM= 76.01631023496971   W=  30.80069881631592   IN= 16.88578324011456       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 4.185204882090503E-01  Y= 1.934777581273993E+00  Z= 8.741841137989614E-01
  VX=-1.219624924047163E-02 VY=-3.173486498948257E-04 VZ= 3.878052719906994E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 35.0725            ROTPER= 9.8968              
   H= 9.4                  G= .060                 B-V= .657                   
                           ALBEDO= .070            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -4.216409365822611E-01, -3.174753372409843E+00, -9.672075273236647E-02,  8.042968311165738E-03, -1.959505155409946E-03, -2.519918656779706E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -3.813799116323222E-01, -3.184194379993188E+00, -1.093090316755470E-01,  8.061127598173791E-03, -1.816931558152308E-03, -2.515302243284105E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -3.410327891859449E-01, -3.192923035468622E+00, -1.218728727357024E-01,  8.077409719741626E-03, -1.674566435444572E-03, -2.510144367049905E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -3.006089192743958E-01, -3.200940412766876E+00, -1.344095814259896E-01,  8.091828923509735E-03, -1.532422353152690E-03, -2.504450133816837E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.601175817496774E-01, -3.208247647804800E+00, -1.469164884150207E-01,  8.104399033959203E-03, -1.390511543170877E-03, -2.498224500379637E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.195679883939670E-01, -3.214845936864544E+00, -1.593909487874372E-01,  8.115133454983032E-03, -1.248845922910084E-03, -2.491472276710003E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.789692850156987E-01, -3.220736535068408E+00, -1.718303413151237E-01,  8.124045172668954E-03, -1.107437114111559E-03, -2.484198128090880E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.383305535311979E-01, -3.225920754946561E+00, -1.842320677391337E-01,  8.131146758278980E-03, -9.662964612135102E-04, -2.476406577265058E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -9.766081403115109E-02, -3.230399965095740E+00, -1.965935520623736E-01,  8.136450371321912E-03, -8.254350493806820E-04, -2.468102006591036E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -5.696902683165239E-02, -3.234175588927150E+00, -2.089122398530683E-01,  8.139967762642203E-03, -6.848637221367062E-04, -2.459288660195655E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.626409450975600E-02, -3.237249103501381E+00, -2.211855975589685E-01,  8.141710277532389E-03, -5.445930985327042E-04, -2.449970646118308E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.444513607660156E-02, -3.239622038447983E+00, -2.334111118322462E-01,  8.141688858872318E-03, -4.046335898498479E-04, -2.440151938443314E-03,
