*******************************************************************************
JPL/HORIZONS               604 Tekmessa (A906 DH)          2020-Jun-22 09:16:32
Rec #:     604 (+COV) Soln.date: 2020-Feb-22_15:32:00   # obs: 2744 (1911-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455937.5 ! 2012-Jan-11.00 (TDB)         Residual RMS= .33055
   EC= .200354819391118    QR= 2.514424383285232   TP= 2455609.379477059
   OM= 12.19485581199615   W=  28.72770240950942   IN= 4.424735894752289
   A= 3.144425107859274    MA= 57.99967844718563   ADIST= 3.774425832433315
   PER= 5.57597            N= .176763332           ANGMOM= .029885158
   DAN= 2.56717            DDN= 3.66151            L= 40.8505323
   B= 2.1251124            MOID= 1.52381003        TP= 2011-Feb-16.8794770590
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 32.268             ROTPER= 5.5596
   H= 9.5                  G= .150                 B-V= n.a.
                           ALBEDO= .090            STYP= Xc
 
ASTEROID comments: 
1: soln ref.= JPL#34, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:16:32 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 604 Tekmessa (A906 DH)          {source: JPL#34}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455937.5 ! 2012-Jan-11.00 (TDB)         Residual RMS= .33055        
   EC= .200354819391118    QR= 2.514424383285232   TP= 2455609.379477059       
   OM= 12.19485581199615   W=  28.72770240950942   IN= 4.424735894752289       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.491066899191832E+00  Y= 2.205518061504262E+00  Z= 1.188560103872880E+00
  VX=-9.805634229055355E-03 VY=-3.228856838060728E-03 VZ=-1.519215490913169E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 32.268             ROTPER= 5.5596              
   H= 9.5                  G= .150                 B-V= n.a.                   
                           ALBEDO= .090            STYP= Xc                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.439002753953689E+00, -2.858160845180866E+00, -1.745073254134074E-01,  6.146386649841307E-03, -5.018391778486052E-03, -4.843852722553197E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.408102360352648E+00, -2.883053870587731E+00, -1.769170794902848E-01,  6.213635258517864E-03, -4.938694812267585E-03, -4.795047037732063E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.376867760815193E+00, -2.907546560589706E+00, -1.793022560625051E-01,  6.280068195687193E-03, -4.858258215806461E-03, -4.745543019027383E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.345303046217815E+00, -2.931635225976936E+00, -1.816625064306324E-01,  6.345680436040634E-03, -4.777085556186033E-03, -4.695342526226867E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.313412332831802E+00, -2.955316195235489E+00, -1.839974828099120E-01,  6.410466846500943E-03, -4.695180345171418E-03, -4.644447358547478E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.281199762868994E+00, -2.978585814277974E+00, -1.863068383004089E-01,  6.474422183474950E-03, -4.612546042100955E-03, -4.592859256340551E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.248669505041077E+00, -3.001440446188791E+00, -1.885902268580234E-01,  6.537541090169829E-03, -4.529186056861771E-03, -4.540579902922552E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.215825755132369E+00, -3.023876470984650E+00, -1.908473032664706E-01,  6.599818093862869E-03, -4.445103753021094E-03, -4.487610926570390E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.182672736586474E+00, -3.045890285390983E+00, -1.930777231102667E-01,  6.661247603087627E-03, -4.360302451038869E-03, -4.433953902554500E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.149214701107134E+00, -3.067478302634455E+00, -1.952811427487274E-01,  6.721823904779097E-03, -4.274785431482550E-03, -4.379610355119709E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.115455929273356E+00, -3.088636952251495E+00, -1.974572192909351E-01,  6.781541161424079E-03, -4.188555938220757E-03, -4.324581759404045E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.081400731168713E+00, -3.109362679912764E+00, -1.996056105716570E-01,  6.840393408242456E-03, -4.101617181609529E-03, -4.268869543327720E-04,
