*******************************************************************************
JPL/HORIZONS               618 Elfriede (A906 UM)          2020-Jun-22 09:16:44
Rec #:     618 (+COV) Soln.date: 2020-Feb-22_15:32:21   # obs: 2604 (1906-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455462.5 ! 2010-Sep-23.00 (TDB)         Residual RMS= .27066
   EC= .07520375597791595  QR= 2.948539828135441   TP= 2454699.8168305266
   OM= 111.1099775300599   W=  228.2029460196526   IN= 17.04048518558884
   A= 3.188312936168272    MA= 132.0403979915058   ADIST= 3.428086044201104
   PER= 5.69311            N= .173126141           ANGMOM= .030628824
   DAN= 3.33757            DDN= 3.01896            L= 338.0320386
   B= -12.619175           MOID= 1.96240997        TP= 2008-Aug-21.3168305266
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 65.646             ROTPER= 14.791
   H= 8.3                  G= .150                 B-V= .696
                           ALBEDO= .050            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#107, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:16:44 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 618 Elfriede (A906 UM)          {source: JPL#107}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455462.5 ! 2010-Sep-23.00 (TDB)         Residual RMS= .27066        
   EC= .07520375597791595  QR= 2.948539828135441   TP= 2454699.8168305266      
   OM= 111.1099775300599   W=  228.2029460196526   IN= 17.04048518558884       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.528476345284651E+00  Y= 2.698953720676638E+00  Z= 1.286959466697885E+00
  VX=-7.950120980262432E-03 VY=-4.381202933165070E-03 VZ= 1.013323751434975E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 65.646             ROTPER= 14.791              
   H= 8.3                  G= .150                 B-V= .696                   
                           ALBEDO= .050            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.520600582962489E+00,  1.273646776557494E+00, -8.607667996970073E-01, -4.157555267720517E-03,  9.518932858706848E-03,  1.101084485398679E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.499450910186547E+00,  1.321055588973082E+00, -8.600921467015770E-01, -4.302045297557533E-03,  9.444170504697922E-03,  1.597238472725902E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.477582850526387E+00,  1.368084299303146E+00, -8.591698640586268E-01, -4.444903044545228E-03,  9.366898797801285E-03,  2.091575538748635E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.455004669025115E+00,  1.414720463069345E+00, -8.580009013198133E-01, -4.586087262375179E-03,  9.287158788274285E-03,  2.583931750514019E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.431724833868708E+00,  1.460951843044741E+00, -8.565862893495468E-01, -4.725557942184574E-03,  9.204992319003997E-03,  3.074145804061692E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.407752010170634E+00,  1.506766413106150E+00, -8.549271389898601E-01, -4.863276323484412E-03,  9.120441981275844E-03,  3.562059105764441E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.383095053707358E+00,  1.552152361866268E+00, -8.530246396866079E-01, -4.999204902814548E-03,  9.033551070815318E-03,  4.047515845554452E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.357763004615886E+00,  1.597098096085352E+00, -8.508800580806297E-01, -5.133307440411041E-03,  8.944363543502094E-03,  4.530363064636437E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.331765081061404E+00,  1.641592243860550E+00, -8.484947365656131E-01, -5.265548965560433E-03,  8.852923970779870E-03,  5.010450721240878E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.305110672881053E+00,  1.685623657592433E+00, -8.458700918135347E-01, -5.395895780791103E-03,  8.759277495192470E-03,  5.487631754360128E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.277809335209871E+00,  1.729181416730159E+00, -8.430076132690192E-01, -5.524315464790915E-03,  8.663469786332957E-03,  5.961762144138884E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.249870782095523E+00,  1.772254830297794E+00, -8.399088616145709E-01, -5.650776873963426E-03,  8.565546997384101E-03,  6.432700967813421E-04,
