*******************************************************************************
JPL/HORIZONS                 694 Ekard (A909 VC)           2020-Jun-22 09:25:30
Rec #:     694 (+COV) Soln.date: 2020-May-20_01:10:56   # obs: 2783 (1909-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456365.5 ! 2013-Mar-14.00 (TDB)         Residual RMS= .28174
   EC= .3243848533884278   QR= 1.804202956309734   TP= 2456708.0661363364
   OM= 230.3709989936812   W=  110.9002617039822   IN= 15.84289031547706
   A= 2.670459603160755    MA= 282.6305544870496   ADIST= 3.536716250011775
   PER= 4.36403            N= .225852573           ANGMOM= .02659079
   DAN= 2.70216            DDN= 2.14163            L= 342.0214313
   B= 14.7758253           MOID= .86413002         TP= 2014-Feb-19.5661363364
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 60.9455            ROTPER= 5.925
   H= 9.2                  G= .150                 B-V= .712
                           ALBEDO= .026            STYP= CP:
 
ASTEROID comments: 
1: soln ref.= JPL#33, OCC=0
2: source=ORB
*******************************************************************************
 
  
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:25:30 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 694 Ekard (A909 VC)             {source: JPL#33}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456365.5 ! 2013-Mar-14.00 (TDB)         Residual RMS= .28174        
   EC= .3243848533884278   QR= 1.804202956309734   TP= 2456708.0661363364      
   OM= 230.3709989936812   W=  110.9002617039822   IN= 15.84289031547706       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.880474539868715E+00  Y=-1.833477220371637E+00  Z=-8.447348335162383E-01
  VX= 8.996151305480943E-03 VY=-4.688893171821036E-03 VZ= 8.891144039257926E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 60.9455            ROTPER= 5.925               
   H= 9.2                  G= .150                 B-V= .712                   
                           ALBEDO= .026            STYP= CP:                   
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.069331130380543E+00, -1.926991639497528E+00, -1.138910917110343E-01,  8.389529789073305E-03, -4.533845622083505E-03,  2.656825113624905E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.027047053688177E+00, -1.949344418483847E+00, -1.005890662752482E-01,  8.524016838327207E-03, -4.406664717530455E-03,  2.663859308928438E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.984091858690888E+00, -1.971052211209232E+00, -8.725377970547678E-02,  8.657965732136813E-03, -4.275838491961655E-03,  2.670124815657839E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.940468410389663E+00, -1.992096600626969E+00, -7.388914768645082E-02,  8.791306065102313E-03, -4.141290559853434E-03,  2.675592542045919E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.896179936750107E+00, -2.012458784687983E+00, -6.049923432053275E-02,  8.923963016565230E-03, -4.002943317854260E-03,  2.680232206107728E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.851230051391177E+00, -2.032119570443357E+00, -4.708825817951082E-02,  9.055857103762308E-03, -3.860718023626714E-03,  2.684012295319969E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.805622777536587E+00, -2.051059368575173E+00, -3.366059855843984E-02,  9.186903923523568E-03, -3.714534888623622E-03,  2.686900026153436E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.759362573287406E+00, -2.069258188429529E+00, -2.022080193173252E-02,  9.317013882017852E-03, -3.564313186424359E-03,  2.688861303683726E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.712454358276403E+00, -2.086695633633072E+00, -6.773588610391985E-03,  9.446091912306796E-03, -3.409971378044602E-03,  2.689860681578916E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.664903541765017E+00, -2.103350898381568E+00,  6.676140402305319E-03,  9.574037179759236E-03, -3.251427255705081E-03,  2.689861322784085E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.616716052243305E+00, -2.119202764497070E+00,  2.012329636097871E-02,  9.700742775473285E-03, -3.088598106815826E-03,  2.688824961236666E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.567898368592315E+00, -2.134229599359613E+00,  3.356259554022611E-02,  9.826095397933225E-03, -2.921400900150479E-03,  2.686711864980151E-03,
