*******************************************************************************
JPL/HORIZONS                705 Erminia (A910 TE)          2020-Jun-22 09:26:07
Rec #:     705 (+COV) Soln.date: 2020-Feb-22_15:34:36   # obs: 2272 (1910-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455783.5 ! 2011-Aug-10.00 (TDB)         Residual RMS= .32481
   EC= .04850400328223181  QR= 2.779902927150188   TP= 2455824.1928895796
   OM= 2.91754284819412    W=  99.75610546833762   IN= 25.0489293781243
   A= 2.921612846233299    MA= 351.9686490168063   ADIST= 3.063322765316409
   PER= 4.99393            N= .197364966           ANGMOM= .029368469
   DAN= 2.93889            DDN= 2.89098            L= 103.6639909
   B= 24.6622864           MOID= 1.87085998        TP= 2011-Sep-19.6928895796
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 66.1305            ROTPER= 53.96
   H= 8.4                  G= .150                 B-V= .696
                           ALBEDO= .031            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#37, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:26:07 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 705 Erminia (A910 TE)           {source: JPL#37}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455783.5 ! 2011-Aug-10.00 (TDB)         Residual RMS= .32481        
   EC= .04850400328223181  QR= 2.779902927150188   TP= 2455824.1928895796      
   OM= 2.91754284819412    W=  99.75610546833762   IN= 25.0489293781243        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.718129953980450E-01  Y= 1.838203899677262E+00  Z= 2.080355837439088E+00
  VX=-1.053146943546055E-02 VY=-6.523415545181216E-04 VZ=-3.939762156332295E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 66.1305            ROTPER= 53.96               
   H= 8.4                  G= .150                 B-V= .696                   
                           ALBEDO= .031            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.532299470658907E+00, -2.397618228787485E+00, -1.161959191064936E+00,  8.203870354847251E-03,  4.537554192780690E-03,  1.881282571289169E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.573122020560716E+00, -2.374625280259802E+00, -1.152404868029614E+00,  8.124791023559485E-03,  4.659446971955868E-03,  1.940373670787148E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.613543806367445E+00, -2.351025565005942E+00, -1.142556195347394E+00,  8.043566987842851E-03,  4.780256189858532E-03,  1.999020176473000E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.653554138918624E+00, -2.326824571194641E+00, -1.132415429781375E+00,  7.960212051769180E-03,  4.899953709253482E-03,  2.057208572642790E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.693142398968920E+00, -2.302027927564869E+00, -1.121984895644673E+00,  7.874740378067433E-03,  5.018511439329240E-03,  2.114925354964546E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.732298038992486E+00, -2.276641403192910E+00, -1.111266984743818E+00,  7.787166492522269E-03,  5.135901336047338E-03,  2.172157030416197E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.771010585008962E+00, -2.250670907257056E+00, -1.100264156321787E+00,  7.697505288257101E-03,  5.252095402783382E-03,  2.228890117500861E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.809269638430978E+00, -2.224122488798107E+00, -1.088978936999306E+00,  7.605772030085859E-03,  5.367065691358188E-03,  2.285111146705500E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.847064877933920E+00, -2.197002336473995E+00, -1.077413920713523E+00,  7.511982359074328E-03,  5.480784303326403E-03,  2.340806661075646E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.884386061349011E+00, -2.169316778307530E+00, -1.065571768653627E+00,  7.416152297300221E-03,  5.593223391442650E-03,  2.395963216863628E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.921223027580612E+00, -2.141072281426336E+00, -1.053455209193027E+00,  7.318298252773007E-03,  5.704355161322062E-03,  2.450567384258892E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.957565698548492E+00, -2.112275451793928E+00, -1.041067037817661E+00,  7.218437024503158E-03,  5.814151873325175E-03,  2.504605748201695E-03,
