*******************************************************************************
JPL/HORIZONS               740 Cantabia (A913 CK)          2020-Jun-22 09:27:13
Rec #:     740 (+COV) Soln.date: 2020-May-20_01:11:42   # obs: 2782 (1913-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456324.5 ! 2013-Feb-01.00 (TDB)         Residual RMS= .28564
   EC= .1129162427637985   QR= 2.707383704403658   TP= 2456877.0687288078
   OM= 116.1425166002342   W=  48.16698846044282   IN= 10.8358614593237
   A= 3.052004596317696    MA= 257.8560608190228   ADIST= 3.396625488231733
   PER= 5.33195            N= .184852908           ANGMOM= .029859848
   DAN= 2.80207            DDN= 3.25849            L= 163.7967629
   B= 8.052149099999999    MOID= 1.73056996        TP= 2014-Aug-07.5687288078
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 45.45              ROTPER= 64.453
   H= 9.2                  G= .150                 B-V= .708
                           ALBEDO= .0552           STYP= CX
 
ASTEROID comments: 
1: soln ref.= JPL#38, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:27:13 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 740 Cantabia (A913 CK)          {source: JPL#38}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456324.5 ! 2013-Feb-01.00 (TDB)         Residual RMS= .28564        
   EC= .1129162427637985   QR= 2.707383704403658   TP= 2456877.0687288078      
   OM= 116.1425166002342   W=  48.16698846044282   IN= 10.8358614593237        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.986155557538297E+00  Y= 2.415510960574511E+00  Z= 4.549324552192242E-01
  VX=-7.815149969658578E-03 VY= 4.538246376395790E-03 VZ= 2.940939051366450E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 45.45              ROTPER= 64.453              
   H= 9.2                  G= .150                 B-V= .708                   
                           ALBEDO= .0552           STYP= CX                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  3.318751274776215E+00, -3.039966978368883E-01, -5.404480102132290E-01,  4.478522645629309E-04,  8.823962423584601E-03, -8.441855224710602E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  3.320670538650246E+00, -2.598488713960248E-01, -5.446166394036612E-01,  3.198192747761431E-04,  8.834886030149878E-03, -8.232357779621005E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  3.321949141357666E+00, -2.156506628402201E-01, -5.486800662651647E-01,  1.915905882114536E-04,  8.844114454061821E-03, -8.021049973836584E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  3.322586146345378E+00, -1.714105603088826E-01, -5.526373917284099E-01,  6.318299262671024E-05,  8.851642806165370E-03, -7.807956279231662E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  3.322580701234779E+00, -1.271370763667939E-01, -5.564877290024481E-01, -6.538662910994530E-05,  8.857466205649750E-03, -7.593101338954507E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  3.321932038309972E+00, -8.283874795951293E-02, -5.602302036626519E-01, -1.941012939155419E-04,  8.861579781214355E-03, -7.376509976750960E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  3.320639475031866E+00, -3.852413636280567E-02, -5.638639537434517E-01, -3.229439132939358E-04,  8.863978672288064E-03, -7.158207206728890E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  3.318702414577886E+00,  5.798172874372685E-03, -5.673881298359233E-01, -4.518972883148487E-04,  8.864658030425620E-03, -6.938218242941699E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  3.316120346406486E+00,  5.011956999470950E-02, -5.708018951901352E-01, -5.809441046587972E-04,  8.863613021048239E-03, -6.716568508920268E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  3.312892846846822E+00,  9.443142110686858E-02, -5.741044258223691E-01, -7.100669274921833E-04,  8.860838825483304E-03, -6.493283647727319E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  3.309019579714642E+00,  1.387250682705221E-01, -5.772949106275628E-01, -8.392481960976681E-04,  8.856330643187745E-03, -6.268389532797748E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  3.304500296955554E+00,  1.829918295927762E-01, -5.803725514973617E-01, -9.684702183067647E-04,  8.850083694071729E-03, -6.041912279503475E-04,
