*******************************************************************************
JPL/HORIZONS               760 Massinga (A913 QD)          2020-Jun-22 09:27:42
Rec #:     760 (+COV) Soln.date: 2019-Dec-13_20:48:22   # obs: 2392 (1913-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455397.5 ! 2010-Jul-20.00 (TDB)         Residual RMS= .32706
   EC= .2303615037581355   QR= 2.424342782407954   TP= 2455957.1302272617
   OM= 331.6915186714822   W=  200.7512243109845   IN= 12.53138123262192
   A= 3.149975987747482    MA= 261.3392589653662   ADIST= 3.875609193087009
   PER= 5.59074            N= .1762963             ANGMOM= .029709464
   DAN= 3.80179            DDN= 2.45415            L= 171.9891659
   B= -4.4090438           MOID= 1.43544996        TP= 2012-Jan-30.6302272617
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 35.645             ROTPER= 10.72
   H= 7.9                  G= .150                 B-V= .947
                           ALBEDO= .2276           STYP= SU
 
ASTEROID comments: 
1: soln ref.= JPL#44, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:27:42 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 760 Massinga (A913 QD)          {source: JPL#44}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455397.5 ! 2010-Jul-20.00 (TDB)         Residual RMS= .32706        
   EC= .2303615037581355   QR= 2.424342782407954   TP= 2455957.1302272617      
   OM= 331.6915186714822   W=  200.7512243109845   IN= 12.53138123262192       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.176311221090927E+00  Y= 2.027517060002194E+00  Z= 1.667272936656606E+00
  VX=-7.876409198172122E-03 VY= 3.851239884892960E-03 VZ= 1.659253640452238E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 35.645             ROTPER= 10.72               
   H= 7.9                  G= .150                 B-V= .947                   
                           ALBEDO= .2276           STYP= SU                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  3.674625455867912E+00, -1.201605542519301E+00,  1.202659798431102E-01,  2.369259668359079E-03,  7.157344070936210E-03,  1.691444145640101E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  3.686236170623550E+00, -1.165742480386669E+00,  1.287153040825420E-01,  2.274980684815046E-03,  7.187726296924725E-03,  1.688249570385193E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  3.697374810718852E+00, -1.129729825122369E+00,  1.371481159508214E-01,  2.180430501563792E-03,  7.217181175643776E-03,  1.684839236522198E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  3.708040030581606E+00, -1.093572215779347E+00,  1.455633372219903E-01,  2.085613282486280E-03,  7.245707760987784E-03,  1.681213366275092E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  3.718230505361907E+00, -1.057274296433700E+00,  1.539598907121738E-01,  1.990533153157629E-03,  7.273304989673842E-03,  1.677372154273544E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  3.727944930748775E+00, -1.020840716772561E+00,  1.623367001419317E-01,  1.895194204128831E-03,  7.299971680425541E-03,  1.673315767684529E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  3.737182022803359E+00, -9.842761326862938E-01,  1.706926899992761E-01,  1.799600494249774E-03,  7.325706533075095E-03,  1.669044346342392E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  3.745940517808600E+00, -9.475852068651875E-01,  1.790267854033013E-01,  1.703756053926414E-03,  7.350508127677673E-03,  1.664558002864168E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  3.754219172135154E+00, -9.107726094004502E-01,  1.873379119683833E-01,  1.607664888393703E-03,  7.374374923671808E-03,  1.659856822766336E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  3.762016762123925E+00, -8.738430183894027E-01,  1.956249956690037E-01,  1.511330981082425E-03,  7.397305259027078E-03,  1.654940864598104E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  3.769332083985627E+00, -8.368011205450782E-01,  2.038869627052800E-01,  1.414758297064095E-03,  7.419297349331062E-03,  1.649810160090574E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  3.776163953717668E+00, -7.996516118105621E-01,  2.121227393692687E-01,  1.317950786526561E-03,  7.440349286806447E-03,  1.644464714315330E-03,
