*******************************************************************************
JPL/HORIZONS               804 Hispania (A915 FK)          2020-Jun-22 09:29:44
Rec #:     804 (+COV) Soln.date: 2020-May-20_01:13:01   # obs: 2662 (1907-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455446.5 ! 2010-Sep-07.00 (TDB)         Residual RMS= .32789
   EC= .1389027493491598   QR= 2.445478955299278   TP= 2456243.0240108636
   OM= 347.764965847419    W=  342.7106728156915   IN= 15.36530609313681
   A= 2.839956756859832    MA= 195.9654411414477   ADIST= 3.234434558420386
   PER= 4.78603            N= .205937991           ANGMOM= .02870825
   DAN= 2.45903            DDN= 3.21103            L= 331.0586208
   B= -4.5166579           MOID= 1.43915999        TP= 2012-Nov-11.5240108636
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 68.976             ROTPER= 14.845
   H= 7.9                  G= .180                 B-V= .727
                           ALBEDO= .054            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#86, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:29:44 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 804 Hispania (A915 FK)          {source: JPL#86}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455446.5 ! 2010-Sep-07.00 (TDB)         Residual RMS= .32789        
   EC= .1389027493491598   QR= 2.445478955299278   TP= 2456243.0240108636      
   OM= 347.764965847419    W=  342.7106728156915   IN= 15.36530609313681       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-3.078934717735975E+00  Y= 8.403754936819081E-01  Z= 4.466031086559468E-01
  VX=-2.293162537942995E-03 VY=-6.662562860827534E-03 VZ=-5.458978683147390E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 68.976             ROTPER= 14.845              
   H= 7.9                  G= .180                 B-V= .727                   
                           ALBEDO= .054            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.184739000830316E+00, -2.133848130692829E+00, -5.091795232210511E-01,  9.747786398444131E-03,  5.818481040763167E-03,  2.107090673100305E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.233191357547513E+00, -2.104246873003517E+00, -4.985229929149696E-01,  9.632291866720322E-03,  6.021708470944200E-03,  2.155388956560114E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.281053299991237E+00, -2.073634308748687E+00, -4.876269914374073E-01,  9.511625829545739E-03,  6.222978229623865E-03,  2.202872578531455E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.328299052719499E+00, -2.042020608089102E+00, -4.764956903325632E-01,  9.385822119157642E-03,  6.422137555604387E-03,  2.249502288923108E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.374903024483404E+00, -2.009416705370151E+00, -4.651334566635519E-01,  9.254920592027220E-03,  6.619033580445177E-03,  2.295239142785305E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.420839838507253E+00, -1.975834298988507E+00, -4.535448512975512E-01,  9.118967189782969E-03,  6.813513597559515E-03,  2.340044576216596E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.466084363033144E+00, -1.941285849894459E+00, -4.417346268078677E-01,  8.978013984032952E-03,  7.005425338767256E-03,  2.383880483643728E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.510611742049022E+00, -1.905784578694404E+00, -4.297077249869453E-01,  8.832119204897669E-03,  7.194617257487028E-03,  2.426709296084084E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.554397426118237E+00, -1.869344461323592E+00, -4.174692739666141E-01,  8.681347253019831E-03,  7.380938817212584E-03,  2.468494059914117E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.597417203226902E+00, -1.831980223265888E+00, -4.050245849440897E-01,  8.525768694593115E-03,  7.564240784032440E-03,  2.509198515735755E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.639647229562981E+00, -1.793707332303210E+00, -3.923791485141900E-01,  8.365460238958643E-03,  7.744375522056753E-03,  2.548787176958767E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.681064060139068E+00, -1.754541989783023E+00, -3.795386306101592E-01,  8.200504698437843E-03,  7.921197290553277E-03,  2.587225407712228E-03,
