*******************************************************************************
JPL/HORIZONS               1036 Ganymed (A924 UB)          2020-Jun-22 09:31:02
Rec #:    1036 (+COV) Soln.date: 2019-Aug-18_05:25:53   # obs: 6153 (1924-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455257.5 ! 2010-Mar-02.00 (TDB)         Residual RMS= .3691
   EC= .5340509552995037   QR= 1.241570403542032   TP= 2455806.3061448517
   OM= 215.558194808699    W=  132.5392877549926   IN= 26.68794786359444
   A= 2.664605535011004    MA= 235.6420223527359   ADIST= 4.087640666479976
   PER= 4.34968            N= .22659727            ANGMOM= .023740344
   DAN= 2.98097            DDN= 1.39936            L= 351.3214635
   B= 19.3249895           MOID= .342619           TP= 2011-Sep-01.8061448517
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 18.8375            ROTPER= 10.297
   H= 9.4                  G= .300                 B-V= .842
                           ALBEDO= .238            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#783, OCC=0           radar( 0 delay, 1 Dop.)
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:31:02 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1036 Ganymed (A924 UB)          {source: JPL#783}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455257.5 ! 2010-Mar-02.00 (TDB)         Residual RMS= .3691         
   EC= .5340509552995037   QR= 1.241570403542032   TP= 2455806.3061448517      
   OM= 215.558194808699    W=  132.5392877549926   IN= 26.68794786359444       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-3.646120526272374E+00  Y=-3.826557174624408E-01  Z=-9.947618162723080E-01
  VX= 2.929330851467462E-03 VY=-5.976316764402475E-03 VZ= 6.678647222145764E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 18.8375            ROTPER= 10.297              
   H= 9.4                  G= .300                 B-V= .842                   
                           ALBEDO= .238            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.502150581111882E+00,  2.037264098883615E+00, -1.554546495550413E+00, -6.637545808996145E-03, -3.060447129064244E-03, -7.400489257017100E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.535137077761055E+00,  2.021799295628949E+00, -1.558122257341504E+00, -6.557056321512165E-03, -3.125247949985280E-03, -6.903471263336856E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.567721181901139E+00,  2.006013854534133E+00, -1.561450870216788E+00, -6.476589361991315E-03, -3.188707640257122E-03, -6.411873800305015E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.599903014116723E+00,  1.989914401623437E+00, -1.564535015029797E+00, -6.396148028490335E-03, -3.250857853535151E-03, -5.925579774168830E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.631682709311450E+00,  1.973507407580787E+00, -1.567377314908778E+00, -6.315734955811761E-03, -3.311729080435366E-03, -5.444475360622673E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.663060414468448E+00,  1.956799193445081E+00, -1.569980336866402E+00, -6.235352345811909E-03, -3.371350696063251E-03, -4.968449905442240E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.694036286556729E+00,  1.939795936074105E+00, -1.572346593360689E+00, -6.155001995484306E-03, -3.429751005074935E-03, -4.497395828377416E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.724610490572557E+00,  1.922503673388775E+00, -1.574478543808257E+00, -6.074685322895242E-03, -3.486957284539757E-03, -4.031208528373282E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.754783197705740E+00,  1.904928309407999E+00, -1.576378596050567E+00, -5.994403391270023E-03, -3.542995824849529E-03, -3.569786290601469E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.784554583622264E+00,  1.887075619083779E+00, -1.578049107774477E+00, -5.914156931475688E-03, -3.597891968713037E-03, -3.113030196893875E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.813924826855552E+00,  1.868951252946169E+00, -1.579492387889003E+00, -5.833946362990419E-03, -3.651670148223258E-03, -2.660844040047906E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.842894107298874E+00,  1.850560741567535E+00, -1.580710697860057E+00, -5.753771813407729E-03, -3.704353920084052E-03, -2.213134241345370E-04,
2440460.500000000, A.D. 1969-Aug-27 00:00:00.0000,      39.853580, -2.871462604791787E+00,  1.831909499855059E+00, -1.581706253004652E+00, -5.673633136561016E-03, -3.755965999112829E-03, -1.769809770840276E-04,
