*******************************************************************************
JPL/HORIZONS             1171 Rusthawelia (1930 TA)        2020-Jun-22 09:31:31
Rec #:    1171 (+COV) Soln.date: 2020-Feb-22_15:47:25   # obs: 2981 (1904-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455889.5 ! 2011-Nov-24.00 (TDB)         Residual RMS= .33703
   EC= .1913941729560503   QR= 2.571149020368462   TP= 2455104.9785602586
   OM= 122.236805399514    W=  288.3284912760317   IN= 3.075165887512159
   A= 3.179731006599231    MA= 136.3714058970253   ADIST= 3.78831299283
   PER= 5.67014            N= .173827502           ANGMOM= .030107369
   DAN= 2.88935            DDN= 3.25943            L= 50.5899674
   B= -2.9190215           MOID= 1.58335996        TP= 2009-Sep-30.4785602586
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 41.1145            ROTPER= 10.98
   H= 9.8                  G= .150                 B-V= .678
                           ALBEDO= .029            STYP= P
 
ASTEROID comments: 
1: soln ref.= JPL#35, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:31:31 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1171 Rusthawelia (1930 TA)      {source: JPL#35}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455889.5 ! 2011-Nov-24.00 (TDB)         Residual RMS= .33703        
   EC= .1913941729560503   QR= 2.571149020368462   TP= 2455104.9785602586      
   OM= 122.236805399514    W=  288.3284912760317   IN= 3.075165887512159       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-3.446227246908997E+00  Y=-1.208746738938121E+00  Z=-3.148171584753343E-01
  VX= 1.867130582374856E-03 VY=-7.448438025644106E-03 VZ=-3.070174503348553E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 41.1145            ROTPER= 10.98               
   H= 9.8                  G= .150                 B-V= .678                   
                           ALBEDO= .029            STYP= P                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.565042815266652E+00, -1.201579642035378E+00, -7.886352961387559E-02,  2.594492516208400E-03,  1.041461977547115E-02, -4.200488625254306E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.577595083774637E+00, -1.149312414868907E+00, -8.095074972765780E-02,  2.425970735189163E-03,  1.049184011769412E-02, -4.148068031353085E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.589298099417455E+00, -1.096665628260648E+00, -8.301127238959032E-02,  2.254795140401461E-03,  1.056642797688121E-02, -4.093695939032156E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.600138652385393E+00, -1.043652679275228E+00, -8.504411762289907E-02,  2.080989980966085E-03,  1.063828929239084E-02, -4.037355622249016E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.610103662407122E+00, -9.902874382133857E-01, -8.704829737135109E-02,  1.904582845280306E-03,  1.070732884672764E-02, -3.979031503779470E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.619180195778658E+00, -9.365842541440310E-01, -8.902281609574558E-02,  1.725604794033763E-03,  1.077345036795597E-02, -3.918709244009112E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.627355483056282E+00, -8.825579599009139E-01, -9.096667141549780E-02,  1.544090492611560E-03,  1.083655664153067E-02, -3.856375832498794E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.634616937408263E+00, -8.282238764954053E-01, -9.287885479664919E-02,  1.360078342125692E-03,  1.089654963209600E-02, -3.792019682056879E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.640952173617482E+00, -7.735978168948235E-01, -9.475835228745197E-02,  1.173610608682500E-03,  1.095333061547852E-02, -3.725630724905600E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.646349027724849E+00, -7.186960891152472E-01, -9.660414530250520E-02,  9.847335503000642E-04,  1.100680032090933E-02, -3.657200510687346E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.650795577299635E+00, -6.635354985773738E-01, -9.841521145631431E-02,  7.934975406010787E-04,  1.105685908361720E-02, -3.586722306118855E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.654280162318243E+00, -6.081333496730356E-01, -1.001905254470366E-01,  5.999571883417495E-04,  1.110340700801054E-02, -3.514191196029302E-04,
