*******************************************************************************
JPL/HORIZONS                  3 Juno (A804 RA)             2020-Jun-20 07:46:21
Rec #:       3 (+COV) Soln.date: 2020-May-20_00:55:48   # obs: 7188 (1804-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2449742.5 ! 1995-Jan-25.00 (TDB)         Residual RMS= .33254
   EC= .2567515519358874   QR= 1.986406952938616   TP= 2450480.8304357994
   OM= 170.3539446471125   W=  247.4514432397242   IN= 12.96023230884082
   A= 2.672601548126298    MA= 193.4465926497093   ADIST= 3.358796143313981
   PER= 4.36928            N= .225581115           ANGMOM= .027179425
   DAN= 2.76905            DDN= 2.27266            L= 57.2770277
   B= -11.9542167          MOID= 1.03704           TP= 1997-Feb-01.3304357994
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 123.298            ROTPER= 7.21
   H= 5.33                 G= .320                 B-V= .824
                           ALBEDO= .214            STYP= Sk
 
ASTEROID comments: 
1: soln ref.= JPL#112, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:46:21 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 3 Juno (A804 RA)                {source: JPL#112}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2449742.5 ! 1995-Jan-25.00 (TDB)         Residual RMS= .33254        
   EC= .2567515519358874   QR= 1.986406952938616   TP= 2450480.8304357994      
   OM= 170.3539446471125   W=  247.4514432397242   IN= 12.96023230884082       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.344599514782340E+00  Y=-3.020946404952467E+00  Z=-5.169713347646722E-01
  VX= 7.591565951736826E-03 VY=-2.794970951331517E-03 VZ=-8.164050580868809E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 123.298            ROTPER= 7.21                
   H= 5.33                 G= .320                 B-V= .824                   
                           ALBEDO= .214            STYP= Sk                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  4.657094466465660E-01, -2.988008315147228E+00,  6.634064596061711E-01,  8.395106611573605E-03,  2.969373340159935E-03, -9.873329324869850E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  5.076254994058595E-01, -2.972788434591282E+00,  6.583870600023494E-01,  8.370928801103517E-03,  3.118673801881089E-03, -1.020434176564570E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  5.494148462914152E-01, -2.956820639283512E+00,  6.532020489223196E-01,  8.344417937849472E-03,  3.268536941541411E-03, -1.053576763734080E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  5.910657263455801E-01, -2.940102151062189E+00,  6.478512312379672E-01,  8.315535577796587E-03,  3.418948518702674E-03, -1.086756018891800E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  6.325661838813725E-01, -2.922630265249690E+00,  6.423344358094341E-01,  8.284242270958978E-03,  3.569893371456211E-03, -1.119967019772609E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  6.739040634190593E-01, -2.904402355392262E+00,  6.366515167522780E-01,  8.250497548055671E-03,  3.721355363092441E-03, -1.153204584339301E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  7.150670045578849E-01, -2.885415878272082E+00,  6.308023547687777E-01,  8.214259907940712E-03,  3.873317326463841E-03, -1.186463257718813E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  7.560424367873513E-01, -2.865668379203911E+00,  6.247868585459246E-01,  8.175486806020758E-03,  4.025761005746135E-03, -1.219737298574515E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  7.968175742432275E-01, -2.845157497630113E+00,  6.186049662232117E-01,  8.134134643730440E-03,  4.178666995276843E-03, -1.253020664799508E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  8.373794104136251E-01, -2.823880973029063E+00,  6.122566469337032E-01,  8.090158759093734E-03,  4.332014675357839E-03, -1.286306998514345E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  8.777147128007750E-01, -2.801836651152247E+00,  6.057419024218311E-01,  8.043513418463589E-03,  4.485782144965531E-03, -1.319589610380073E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  9.178100175447633E-01, -2.779022490605697E+00,  5.990607687413275E-01,  7.994151809594081E-03,  4.639946151296371E-03, -1.352861463230819E-03,
