*******************************************************************************
JPL/HORIZONS               18 Melpomene (A852 MA)          2020-Jun-20 07:53:00
Rec #:      18 (+COV) Soln.date: 2020-Feb-22_15:14:02   # obs: 5098 (1852-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2450442.5 ! 1996-Dec-25.00 (TDB)         Residual RMS= .38015
   EC= .2176409323811318   QR= 1.796226346376139   TP= 2450034.1595679591
   OM= 150.5883669149758   W=  227.7847139430649   IN= 10.12960997490127
   A= 2.295910433866389    MA= 115.6895269484527   ADIST= 2.795594521356638
   PER= 3.47889            N= .283316357           ANGMOM= .025440263
   DAN= 2.56179            DDN= 1.90812            L= 17.9248239
   B= -7.4844932           MOID= .81361002         TP= 1995-Nov-12.6595679591
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 69.797             ROTPER= 11.57
   H= 6.6                  G= .250                 B-V= .854
                           ALBEDO= .181            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#108, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:53:00 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 18 Melpomene (A852 MA)          {source: JPL#108}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2450442.5 ! 1996-Dec-25.00 (TDB)         Residual RMS= .38015        
   EC= .2176409323811318   QR= 1.796226346376139   TP= 2450034.1595679591      
   OM= 150.5883669149758   W=  227.7847139430649   IN= 10.12960997490127       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.320613129589389E+00  Y= 1.041269529790745E+00  Z= 4.789842035956698E-01
  VX=-5.862932244072525E-03 VY=-7.938701759021762E-03 VZ=-1.541638847559740E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 69.797             ROTPER= 11.57               
   H= 6.6                  G= .250                 B-V= .854                   
                           ALBEDO= .181            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.737630753061971E+00,  8.449213268855554E-02,  2.250479589601810E-01, -9.967151127244288E-04, -9.099143708790062E-03,  1.508560929831526E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.742128881060630E+00,  3.898413337930611E-02,  2.325504397998586E-01, -8.026277386838056E-04, -9.103515643019392E-03,  1.492354846741731E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.745657966852719E+00, -6.537643233331162E-03,  2.399707472017743E-01, -6.091021856338153E-04, -9.104659232194294E-03,  1.475692620112844E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.748220878357281E+00, -5.205712345647558E-02,  2.473066162297429E-01, -4.161618773890800E-04, -9.102601490059547E-03,  1.458580522936290E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.749820599133944E+00, -9.755836568933327E-02,  2.545558127243894E-01, -2.238296560761431E-04, -9.097368242028116E-03,  1.441024594147934E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.750460225618820E+00, -1.430255545167419E-01,  2.617161321508004E-01, -3.212783963798772E-05, -9.088984139329107E-03,  1.423030645778240E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.750142964644780E+00, -1.884429948742076E-01,  2.687853984816595E-01,  1.589217218792907E-04, -9.077472673396338E-03,  1.404604270006375E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.748872131240151E+00, -2.337951062846094E-01,  2.757614631155024E-01,  3.492975913019130E-04, -9.062856190083226E-03,  1.385750846152252E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.746651146698255E+00, -2.790664171651203E-01,  2.826422038296777E-01,  5.389786911016414E-04, -9.045155903556602E-03,  1.366475547553156E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.743483536908127E+00, -3.242415592034031E-01,  2.894255237672409E-01,  7.279442521225030E-04, -9.024391910177192E-03,  1.346783348252255E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.739372930937559E+00, -3.693052618038322E-01,  2.961093504568022E-01,  9.161737638172697E-04, -9.000583202653279E-03,  1.326679029498646E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.734323059862350E+00, -4.142423466051495E-01,  3.026916348645196E-01,  1.103646925464758E-03, -8.973747684429581E-03,  1.306167186115992E-03,
