*******************************************************************************
JPL/HORIZONS               29 Amphitrite (A854 EB)         2020-Jun-20 07:54:48
Rec #:      29 (+COV) Soln.date: 2020-Feb-22_15:15:03   # obs: 2367 (1855-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2451065.5 ! 1998-Sep-09.00 (TDB)         Residual RMS= .2779
   EC= .07320939525819846  QR= 2.36757480896916    TP= 2451454.0850965125
   OM= 356.5901477726211   W=  62.74765533643773   IN= 6.107663186725182
   A= 2.554595177007381    MA= 266.1990834409759   ADIST= 2.741615545045601
   PER= 4.08311            N= .24139092            ANGMOM= .02742051
   DAN= 2.45849            DDN= 2.62904            L= 59.204813
   B= 5.4275392            MOID= 1.38624001        TP= 1999-Oct-02.5850965125
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 94.7795            ROTPER= 5.3921
   H= 5.9                  G= .200                 B-V= .838
                           ALBEDO= .216            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#145, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:54:48 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 29 Amphitrite (A854 EB)         {source: JPL#145}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2451065.5 ! 1998-Sep-09.00 (TDB)         Residual RMS= .2779         
   EC= .07320939525819846  QR= 2.36757480896916    TP= 2451454.0850965125      
   OM= 356.5901477726211   W=  62.74765533643773   IN= 6.107663186725182       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.895322737690323E+00  Y=-1.529478448601609E+00  Z=-8.528282468099375E-01
  VX= 6.643441667198405E-03 VY= 7.225986976233770E-03 VZ= 4.142621732139211E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 94.7795            ROTPER= 5.3921              
   H= 5.9                  G= .200                 B-V= .838                   
                           ALBEDO= .216            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.424858759114097E-01, -2.700078531897021E+00, -2.897200148091836E-01,  1.008037725635736E-02, -1.864422132790124E-04,  4.012905127175508E-05,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -9.206015519857778E-02, -2.700514065046879E+00, -2.894661175144951E-01,  1.008929577197950E-02,  1.230120935018773E-05,  6.143388629211932E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -4.159908525394462E-02, -2.699954845161484E+00, -2.891056409610123E-01,  1.009451406587911E-02,  2.114493973017462E-04,  8.275971043734590E-05,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  8.878789961898552E-03, -2.698398992968488E+00, -2.886384959194210E-01,  1.009601507702097E-02,  4.109444280493943E-04,  1.041002269253935E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  5.935484239366266E-02, -2.695844920333629E+00, -2.880646247994800E-01,  1.009378223142159E-02,  6.107277662699362E-04,  1.254490766525346E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.098103623704067E-01, -2.692291333363524E+00, -2.873840019654371E-01,  1.008779945984712E-02,  8.107402484092053E-04,  1.467998366773187E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.602265611759721E-01, -2.687737235584380E+00, -2.865966340589495E-01,  1.007805121669732E-02,  1.010922067711939E-03,  1.681460187287936E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.105845737169829E-01, -2.682181931194990E+00, -2.857025603294829E-01,  1.006452250013989E-02,  1.211212759438620E-03,  1.894810677017968E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.608654612943992E-01, -2.675625028393554E+00, -2.847018529722705E-01,  1.004719887337295E-02,  1.411551186117392E-03,  2.107983601433001E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  3.110502144839961E-01, -2.668066442777865E+00, -2.835946174737865E-01,  1.002606648692825E-02,  1.611875522982580E-03,  2.320912027672410E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  3.611197561309829E-01, -2.659506400817413E+00, -2.823809929645038E-01,  1.000111210203164E-02,  1.812123243795545E-03,  2.533528310273657E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  4.110549444641616E-01, -2.649945443395224E+00, -2.810611525786195E-01,  9.972323115064678E-03,  2.012231107139060E-03,  2.745764077600359E-04,
