*******************************************************************************
JPL/HORIZONS               33 Polyhymnia (A854 UB)         2020-Jun-20 07:56:15
Rec #:      33 (+COV) Soln.date: 2020-Feb-22_15:15:17   # obs: 3079 (1856-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455560.5 ! 2010-Dec-30.00 (TDB)         Residual RMS= .3766
   EC= .33800698237374     QR= 1.896600445126116   TP= 2455137.8885625862
   OM= 8.574936123423321   W=  338.1181416926856   IN= 1.871022722491778
   A= 2.864985573302339    MA= 85.89376926719467   ADIST= 3.833370701478562
   PER= 4.84944            N= .203245249           ANGMOM= .027403028
   DAN= 1.93176            DDN= 3.69736            L= 346.703653
   B= -.6972119            MOID= .88916701         TP= 2009-Nov-02.3885625862
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 26.4645            ROTPER= 18.608
   H= 8.5                  G= .330                 B-V= .848
                           ALBEDO= .240            STYP= Sq
 
ASTEROID comments: 
1: soln ref.= JPL#40, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:56:15 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 33 Polyhymnia (A854 UB)         {source: JPL#40}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455560.5 ! 2010-Dec-30.00 (TDB)         Residual RMS= .3766         
   EC= .33800698237374     QR= 1.896600445126116   TP= 2455137.8885625862      
   OM= 8.574936123423321   W=  338.1181416926856   IN= 1.871022722491778       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.045950317371621E+00  Y= 2.645588254127018E+00  Z= 1.255597493127624E+00
  VX=-9.328817342760431E-03 VY=-9.203082460591664E-05 VZ= 6.746595084194127E-06
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 26.4645            ROTPER= 18.608              
   H= 8.5                  G= .330                 B-V= .848                   
                           ALBEDO= .240            STYP= Sq                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -3.174939532095834E+00, -1.397514623327079E+00, -2.915801254387892E-02,  5.213639575108809E-03, -6.318459476072142E-03, -2.344318511513100E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -3.148591225160248E+00, -1.428982003653098E+00, -3.032751526447091E-02,  5.325709569161298E-03, -6.268225720158158E-03, -2.333606741795083E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -3.121682179551029E+00, -1.460194189193929E+00, -3.149153290345525E-02,  5.437933656444304E-03, -6.216377139342291E-03, -2.322376669834010E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -3.094211646098473E+00, -1.491143038879753E+00, -3.264980401434702E-02,  5.550303222422352E-03, -6.162886833880554E-03, -2.310619068973602E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -3.066178920170758E+00, -1.521820275304650E+00, -3.380206246896846E-02,  5.662809061255734E-03, -6.107727166456611E-03, -2.298324437972497E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -3.037583344710100E+00, -1.552217480999383E+00, -3.494803731846485E-02,  5.775441343675859E-03, -6.050869746436494E-03, -2.285482994241792E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -3.008424313433855E+00, -1.582326094625505E+00, -3.608745265095194E-02,  5.888189583082054E-03, -5.992285414152137E-03, -2.272084667135095E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.978701274210068E+00, -1.612137407090887E+00, -3.722002744580266E-02,  6.001042599650569E-03, -5.931944225170172E-03, -2.258119091184750E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.948413732617472E+00, -1.641642557586308E+00, -3.834547542449775E-02,  6.113988482456244E-03, -5.869815434427883E-03, -2.243575599097096E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.917561255699675E+00, -1.670832529542326E+00, -3.946350489790033E-02,  6.227014549680353E-03, -5.805867480225159E-03, -2.228443214459341E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.886143475923175E+00, -1.699698146505977E+00, -4.057381860983074E-02,  6.340107306860121E-03, -5.740067968185217E-03, -2.212710644258903E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.854160095349267E+00, -1.728230067937498E+00, -4.167611357688292E-02,  6.453252403047362E-03, -5.672383655325867E-03, -2.196366271344712E-04,
