*******************************************************************************
JPL/HORIZONS                 34 Circe (A855 GA)            2020-Jun-20 07:56:28
Rec #:      34 (+COV) Soln.date: 2020-Feb-22_15:15:17   # obs: 3356 (1864-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454057.5 ! 2006-Nov-18.00 (TDB)         Residual RMS= .27409
   EC= .1086524273615509   QR= 2.393513373762675   TP= 2454812.855037678
   OM= 184.5343633095739   W=  330.0915526360488   IN= 5.503499105463638
   A= 2.685275023162641    MA= 190.8110304252187   ADIST= 2.977036672562606
   PER= 4.40039            N= .223986015           ANGMOM= .028021868
   DAN= 2.42517            DDN= 2.92948            L= 154.7402098
   B= -2.740957            MOID= 1.40401995        TP= 2008-Dec-12.3550376780
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 66.496             ROTPER= 12.15
   H= 8.6                  G= .150                 B-V= .707
                           ALBEDO= .023            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#79, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:56:28 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 34 Circe (A855 GA)              {source: JPL#79}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454057.5 ! 2006-Nov-18.00 (TDB)         Residual RMS= .27409        
   EC= .1086524273615509   QR= 2.393513373762675   TP= 2454812.855037678       
   OM= 184.5343633095739   W=  330.0915526360488   IN= 5.503499105463638       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.848199608385702E+00  Y=-8.166315771526471E-01  Z=-2.418966659544156E-01
  VX= 2.532324714539466E-03 VY= 8.633083376066783E-03 VZ= 2.817400467116050E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 66.496             ROTPER= 12.15               
   H= 8.6                  G= .150                 B-V= .707                   
                           ALBEDO= .023            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.386654323396048E+00,  2.884516373715988E-01, -4.804668736909840E-02, -1.758867194402965E-03, -1.145282409071642E-02,  1.080931189546938E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.394815940871757E+00,  2.311163882030478E-01, -4.262980137347262E-02, -1.505733250147546E-03, -1.148025424693066E-02,  1.085725904966515E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.401711337735840E+00,  1.736592991100335E-01, -3.719040175648478E-02, -1.252408366249154E-03, -1.150156208514867E-02,  1.089936578288122E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.407339999403936E+00,  1.161109461716120E-01, -3.173140912414026E-02, -9.990683525499195E-04, -1.151676283455537E-02,  1.093563151365329E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.411702286582933E+00,  5.850181403775839E-02, -2.625574287883492E-02, -7.458874714957830E-04, -1.152587781934618E-02,  1.096606162429969E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.414799426878271E+00,  8.622657389070936E-04, -2.076631825902549E-02, -4.930381773933501E-04, -1.152893434274371E-02,  1.099066737230751E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.416633505121768E+00, -5.677748689266326E-02, -1.526604342671249E-02, -2.406908655407150E-04, -1.152596555828057E-02,  1.100946578784063E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.417207452470958E+00, -1.143874121263357E-01, -9.757816609337463E-03,  1.098636832500143E-05, -1.151701032851455E-02,  1.102247955891633E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.416525034330608E+00, -1.719376864999684E-01, -4.244523301774554E-03,  2.618279586767459E-04, -1.150211307181443E-02,  1.102973690607039E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.414590837145732E+00, -2.293987221935998E-01,  1.270966466510018E-03,  5.116710908315885E-04, -1.148132359858867E-02,  1.103127144696852E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.411410254118674E+00, -2.867411935608660E-01,  6.785800793981335E-03,  7.603559104602870E-04, -1.145469693832488E-02,  1.102712205045386E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.406989469909059E+00, -3.439360627743795E-01,  1.229714849394798E-02,  1.007725720777473E-03, -1.142229315822228E-02,  1.101733268018121E-03,
