*******************************************************************************
JPL/HORIZONS                  44 Nysa (A857 KA)            2020-Jun-20 07:59:37
Rec #:      44 (+COV) Soln.date: 2020-May-20_00:56:58   # obs: 2711 (1864-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2451737.5 ! 2000-Jul-12.00 (TDB)         Residual RMS= .3656
   EC= .1481541797880654   QR= 2.064895432693506   TP= 2451390.0683075683
   OM= 131.6208444354179   W=  342.6050997957694   IN= 3.702169607933841
   A= 2.424024845458268    MA= 90.73355046794025   ADIST= 2.783154258223029
   PER= 3.7741             N= .26115507            ANGMOM= .026486866
   DAN= 2.07715            DDN= 2.76119            L= 114.2600709
   B= -1.1060834           MOID= 1.0826            TP= 1999-Jul-30.5683075683
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 35.32              ROTPER= 6.422
   H= 6.9                  G= .460                 B-V= .703
                           ALBEDO= .482            STYP= Xc
 
ASTEROID comments: 
1: soln ref.= JPL#117, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 07:59:37 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 44 Nysa (A857 KA)               {source: JPL#117}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2451737.5 ! 2000-Jul-12.00 (TDB)         Residual RMS= .3656         
   EC= .1481541797880654   QR= 2.064895432693506   TP= 2451390.0683075683      
   OM= 131.6208444354179   W=  342.6050997957694   IN= 3.702169607933841       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.849745968527061E+00  Y=-1.573453321021021E+00  Z=-5.075748140934253E-01
  VX= 5.918592054844136E-03 VY=-8.319920507951165E-03 VZ=-3.496447998218194E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 35.32              ROTPER= 6.422               
   H= 6.9                  G= .460                 B-V= .703                   
                           ALBEDO= .482            STYP= Xc                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.176438006603776E+00,  1.688557674781560E+00, -1.612251640303046E-02, -1.068593007607849E-02, -7.083480449406958E-03,  8.218054429385582E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.229360943776676E+00,  1.652431612697302E+00, -1.200727356586106E-02, -1.048183726108815E-02, -7.365810361601322E-03,  8.241747661789814E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.281242550421906E+00,  1.614911167727697E+00, -7.881937202323545E-03, -1.026944763093760E-02, -7.641182887664429E-03,  8.258430588147559E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.332042100172687E+00,  1.576031873572037E+00, -3.750008240220214E-03, -1.004906647397222E-02, -7.909302138764672E-03,  8.268122391651164E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.381720425181960E+00,  1.535830700501948E+00,  3.850253853828917E-04, -9.821011709740849E-03, -8.169889489908877E-03,  8.270855813204966E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.430239976246039E+00,  1.494345967401245E+00,  4.519695435308982E-03, -9.585612669808605E-03, -8.422684219083581E-03,  8.266676837896494E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.477564876744315E+00,  1.451617250869937E+00,  8.650559897102958E-03, -9.343208844463446E-03, -8.667444042395332E-03,  8.255644320462628E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.523660970242730E+00,  1.407685291909432E+00,  1.277420931506396E-02, -9.094148603231031E-03, -8.903945546920269E-03,  8.237829557829594E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.568495861660374E+00,  1.362591900696385E+00,  1.688727289420109E-02, -8.838787901957041E-03, -9.131984522132023E-03,  8.213315812306935E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.612038951964025E+00,  1.316379859958311E+00,  2.098642435348545E-02, -8.577488988459957E-03, -9.351376187415482E-03,  8.182197785973664E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.654261466403691E+00,  1.269092827471663E+00,  2.506838750512513E-02, -8.310619114421117E-03, -9.561955316018469E-03,  8.144581051652437E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.695136476338531E+00,  1.220775238191476E+00,  2.912994154004478E-02, -8.038549261015611E-03, -9.763576259193276E-03,  8.100581447897020E-04,
