*******************************************************************************
JPL/HORIZONS                 62 Erato (A860 RD)            2020-Jun-20 08:03:25
Rec #:      62 (+COV) Soln.date: 2020-May-20_00:57:26   # obs: 3152 (1906-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455695.5 ! 2011-May-14.00 (TDB)         Residual RMS= .35881
   EC= .1721073573779085   QR= 2.588347721626528   TP= 2455215.845043309
   OM= 125.5903612511703   W=  273.7300970773243   IN= 2.229865459022188
   A= 3.126429187036552    MA= 85.51850812857748   ADIST= 3.664510652446576
   PER= 5.52817            N= .178291717           ANGMOM= .02996239
   DAN= 3.00023            DDN= 3.06817            L= 39.323287
   B= -2.2251393           MOID= 1.59810996        TP= 2010-Jan-19.3450433090
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 53.4605            ROTPER= 9.2213
   H= 8.7                  G= .150                 B-V= .708
                           ALBEDO= .048            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#114, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:03:25 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 62 Erato (A860 RD)              {source: JPL#114}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455695.5 ! 2011-May-14.00 (TDB)         Residual RMS= .35881        
   EC= .1721073573779085   QR= 2.588347721626528   TP= 2455215.845043309       
   OM= 125.5903612511703   W=  273.7300970773243   IN= 2.229865459022188       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.583656858735405E+00  Y= 1.679126032423311E+00  Z= 7.715266138125545E-01
  VX=-6.813861631147605E-03 VY=-6.307992957450322E-03 VZ=-2.333809376949449E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 53.4605            ROTPER= 9.2213              
   H= 8.7                  G= .150                 B-V= .708                   
                           ALBEDO= .048            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -9.696532188074243E-01, -3.429482294180872E+00,  1.085742899773455E-01,  8.304133129955489E-03, -1.376200426264092E-03, -2.292905409827230E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -9.280543336624937E-01, -3.436083230005243E+00,  1.074190072721614E-01,  8.335215406866893E-03, -1.264062854788293E-03, -2.328186152798495E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -8.863031308021084E-01, -3.442121816961372E+00,  1.062461435307549E-01,  8.365058038200729E-03, -1.151261828081051E-03, -2.363228654972726E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -8.444058413129664E-01, -3.447594752141881E+00,  1.050558192320875E-01,  8.393647842398594E-03, -1.037803120350765E-03, -2.398027464110180E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -8.023687627621132E-01, -3.452498761917959E+00,  1.038481576084585E-01,  8.420971408474909E-03, -9.236926702336983E-04, -2.432577018623666E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -7.601982603500452E-01, -3.456830602782846E+00,  1.026232847008844E-01,  8.447015093654371E-03, -8.089365893487189E-04, -2.466871644789329E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -7.179007680752139E-01, -3.460587062238445E+00,  1.013813294158259E-01,  8.471765021179609E-03, -6.935411710188291E-04, -2.500905554104236E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -6.754827899090935E-01, -3.463764959726293E+00,  1.001224235832388E-01,  8.495207078265078E-03, -5.775128993141299E-04, -2.534672840660393E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -6.329509009812793E-01, -3.466361147604683E+00,  9.884670201595283E-02,  8.517326914123310E-03, -4.608584584615357E-04, -2.568167478393221E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -5.903117487743191E-01, -3.468372512173587E+00,  9.755430257046505E-02,  8.538109938047116E-03, -3.435847425418508E-04, -2.601383318213604E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -5.475720543279424E-01, -3.469795974748672E+00,  9.624536620918245E-02,  8.557541317573497E-03, -2.256988654284741E-04, -2.634314085076475E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -5.047386134522073E-01, -3.470628492785579E+00,  9.492003706414123E-02,  8.575605976755846E-03, -1.072081709504716E-04, -2.666953375027419E-04,
