*******************************************************************************
JPL/HORIZONS                 77 Frigga (A862 VA)           2020-Jun-20 08:05:50
Rec #:      77 (+COV) Soln.date: 2020-Feb-22_15:16:41   # obs: 2997 (1879-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454221.5 ! 2007-May-01.00 (TDB)         Residual RMS= .32626
   EC= .1327217311997783   QR= 2.314388575204295   TP= 2454159.3389401706
   OM= 1.328741568496823   W=  61.40286226249903   IN= 2.432552611770782
   A= 2.66856516352702     MA= 14.05418823399189   ADIST= 3.022741751849746
   PER= 4.35938            N= .226093118           ANGMOM= .027852308
   DAN= 2.46497            DDN= 2.7994             L= 62.7098907
   B= 2.1356509            MOID= 1.32962           TP= 2007-Feb-27.8389401706
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 30.695             ROTPER= 9.012
   H= 8.6                  G= .160                 B-V= .746
                           ALBEDO= .177            STYP= Xe
 
ASTEROID comments: 
1: soln ref.= JPL#81, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:05:50 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 77 Frigga (A862 VA)             {source: JPL#81}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454221.5 ! 2007-May-01.00 (TDB)         Residual RMS= .32626        
   EC= .1327217311997783   QR= 2.314388575204295   TP= 2454159.3389401706      
   OM= 1.328741568496823   W=  61.40286226249903   IN= 2.432552611770782       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 3.572066365439009E-01  Y= 2.070397494617203E+00  Z= 1.003654093913938E+00
  VX=-1.175192320886781E-02 VY= 2.042824197023892E-03 VZ= 1.003527783656970E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 30.695             ROTPER= 9.012               
   H= 8.6                  G= .160                 B-V= .746                   
                           ALBEDO= .177            STYP= Xe                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.685744519615037E+00, -1.136025924266695E+00, -4.441168793859425E-02,  2.900967896957883E-03, -9.118394008513294E-03, -3.939890392482822E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.670842168771757E+00, -1.181447109265356E+00, -4.637493353508870E-02,  3.059706451115568E-03, -9.049682661766340E-03, -3.912918288400912E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.655150131863201E+00, -1.226518807957449E+00, -4.832443380036754E-02,  3.216838970960955E-03, -8.978605543744043E-03, -3.884911618315173E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.638676488818120E+00, -1.271229281976158E+00, -5.025967526185784E-02,  3.372345657501522E-03, -8.905198774607832E-03, -3.855885592690689E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.621429417026744E+00, -1.315566972420710E+00, -5.218015200528825E-02,  3.526207320217244E-03, -8.829498020677885E-03, -3.825855234176209E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.603417188371508E+00, -1.359520497588899E+00, -5.408536558068918E-02,  3.678405347959276E-03, -8.751538495284261E-03, -3.794835377337672E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.584648166401546E+00, -1.403078650716316E+00, -5.597482490842617E-02,  3.828921680491394E-03, -8.671354960597932E-03, -3.762840669075848E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.565130803648390E+00, -1.446230397726912E+00, -5.784804618558623E-02,  3.977738780457818E-03, -8.588981730286188E-03, -3.729885569550131E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.544873639080484E+00, -1.488964874998249E+00, -5.970455279286858E-02,  4.124839605939386E-03, -8.504452672689757E-03, -3.695984353219568E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.523885295692891E+00, -1.531271387143621E+00, -6.154387520198436E-02,  4.270207583853580E-03, -8.417801214386509E-03, -3.661151109837553E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.502174478227616E+00, -1.573139404813051E+00, -6.336555088356235E-02,  4.413826584312218E-03, -8.329060344203637E-03, -3.625399745515388E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.479749971019821E+00, -1.614558562515736E+00, -6.516912421564897E-02,  4.555680895886527E-03, -8.238262617801521E-03, -3.588743984069663E-04,
