*******************************************************************************
JPL/HORIZONS                 78 Diana (A863 EA)            2020-Jun-20 08:06:00
Rec #:      78 (+COV) Soln.date: 2020-May-20_00:57:44   # obs: 2669 (1863-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455237.5 ! 2010-Feb-10.00 (TDB)         Residual RMS= .35378
   EC= .2064887406873891   QR= 2.079839289175077   TP= 2455683.5192385721
   OM= 333.4577323775051   W=  152.6638088867816   IN= 8.704449557154812
   A= 2.62105832118471     MA= 256.4040829930665   ADIST= 3.162277353194343
   PER= 4.24349            N= .232267815           ANGMOM= .027249464
   DAN= 3.07298            DDN= 2.12036            L= 126.3913975
   B= 3.9850303            MOID= 1.09895003        TP= 2011-May-02.0192385721
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 60.3               ROTPER= 7.2991
   H= 8.4                  G= .080                 B-V= .713
                           ALBEDO= .0706           STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#91, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:06:00 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 78 Diana (A863 EA)              {source: JPL#91}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455237.5 ! 2010-Feb-10.00 (TDB)         Residual RMS= .35378        
   EC= .2064887406873891   QR= 2.079839289175077   TP= 2455683.5192385721      
   OM= 333.4577323775051   W=  152.6638088867816   IN= 8.704449557154812       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.836786243734238E+00  Y=-3.189212575532441E-02  Z= 2.055425839828620E-01
  VX=-2.103195189137663E-03 VY= 8.217933439302119E-03 VZ= 4.817732953997111E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 60.3               ROTPER= 7.2991              
   H= 8.4                  G= .080                 B-V= .713                   
                           ALBEDO= .0706           STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.225806639514229E+00, -7.767962457433373E-01, -2.550636939833747E-01,  1.875463729384366E-03, -1.142512828723046E-02, -1.446691729470296E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.215818038673803E+00, -8.337031287460044E-01, -2.622264222362204E-01,  2.119245321311508E-03, -1.133678348063820E-02, -1.418332463515617E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.204621552596831E+00, -8.901558351144891E-01, -2.692463743360616E-01,  2.358607437794722E-03, -1.124349131564001E-02, -1.389586594620505E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.192239427016906E+00, -9.461301307772908E-01, -2.761216963235866E-01,  2.593492208590757E-03, -1.114545236804078E-02, -1.360485576543938E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.178694175309765E+00, -1.001602776608548E+00, -2.828506889730773E-01,  2.823850372073522E-03, -1.104286399206842E-02, -1.331059847278947E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.164008536572585E+00, -1.056551511627265E+00, -2.894318026923168E-01,  3.049640826896266E-03, -1.093592004925528E-02, -1.301338821343232E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.148205435934485E+00, -1.110955034930021E+00, -2.958636323956637E-01,  3.270830188094236E-03, -1.082481067263378E-02, -1.271350886706696E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.131307947072175E+00, -1.164792986528485E+00, -3.021449123726124E-01,  3.487392349222223E-03, -1.070972206405446E-02, -1.241123405979683E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.113339256895750E+00, -1.218045927251134E+00, -3.082745111718446E-01,  3.699308052504670E-03, -1.059083632214940E-02, -1.210682721327744E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.094322632359596E+00, -1.270695317856717E+00, -3.142514265180760E-01,  3.906564468933064E-03, -1.046833129872678E-02, -1.180054162598564E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.074281389344737E+00, -1.322723497496853E+00, -3.200747802767363E-01,  4.109154789793464E-03, -1.034238048175152E-02, -1.149262058275527E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.053238863552828E+00, -1.374113661656563E+00, -3.257438134799157E-01,  4.307077830604618E-03, -1.021315290326570E-02, -1.118329748996123E-03,
