*******************************************************************************
JPL/HORIZONS                79 Eurynome (A863 RA)          2020-Jun-20 08:06:08
Rec #:      79 (+COV) Soln.date: 2020-Feb-22_15:16:41   # obs: 2761 (1863-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454484.5 ! 2008-Jan-19.00 (TDB)         Residual RMS= .36337
   EC= .1907430782048871   QR= 1.979911315502212   TP= 2454918.6434339271
   OM= 206.7338600414338   W=  200.605908833806    IN= 4.616619400458378
   A= 2.446579401644568    MA= 248.1854453223812   ADIST= 2.913247487786923
   PER= 3.8269             N= .257552096           ANGMOM= .026412733
   DAN= 2.86997            DDN= 2.00041            L= 47.2785173
   B= -1.6232247           MOID= .98995799         TP= 2009-Mar-28.1434339271
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 31.7395            ROTPER= 5.978
   H= 8.                   G= .250                 B-V= .874
                           ALBEDO= .287            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#110, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:06:08 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 79 Eurynome (A863 RA)           {source: JPL#110}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454484.5 ! 2008-Jan-19.00 (TDB)         Residual RMS= .36337        
   EC= .1907430782048871   QR= 1.979911315502212   TP= 2454918.6434339271      
   OM= 206.7338600414338   W=  200.605908833806    IN= 4.616619400458378       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 3.332982315676847E-01  Y=-2.521191102321573E+00  Z=-8.708219459461805E-01
  VX= 9.540960330045888E-03 VY= 2.566008155576626E-03 VZ= 1.265620009563182E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 31.7395            ROTPER= 5.978               
   H= 8.                   G= .250                 B-V= .874                   
                           ALBEDO= .287            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -8.508736780652448E-01, -2.717312856121666E+00,  1.630384593196554E-01,  9.084799833855675E-03, -1.854961177287764E-03,  4.715783302158928E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -8.053159283018870E-01, -2.726154004579921E+00,  1.653702358297691E-01,  9.137859522918538E-03, -1.681260932716003E-03,  4.610988462063301E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -7.594995177410880E-01, -2.734123105229977E+00,  1.676491133095860E-01,  9.188258235039378E-03, -1.506144572186179E-03,  4.504186787479722E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -7.134378408875092E-01, -2.741213115660051E+00,  1.698740877480558E-01,  9.235959950968833E-03, -1.329627443520580E-03,  4.395375896935823E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -6.671444749274500E-01, -2.747417071445922E+00,  1.720441539362740E-01,  9.280927614039137E-03, -1.151725401801948E-03,  4.284553385027281E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -6.206331849645620E-01, -2.752728088806704E+00,  1.741583054624040E-01,  9.323123110785442E-03, -9.724548574237232E-04,  4.171716850117234E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.739179293512664E-01, -2.757139367505069E+00,  1.762155347206841E-01,  9.362507252060248E-03, -7.918328258832788E-04,  4.056863923041326E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.270128651133231E-01, -2.760644194001654E+00,  1.782148329351456E-01,  9.399039754647502E-03, -6.098769797154755E-04,  3.939992297324560E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -4.799323534652801E-01, -2.763235944874905E+00,  1.801551901989228E-01,  9.432679223286904E-03, -4.266057027402729E-04,  3.821099761390302E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -4.326909654147157E-01, -2.764908090517824E+00,  1.820355955301757E-01,  9.463383133148750E-03, -2.420381465666944E-04,  3.700184232794193E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -3.853034874527506E-01, -2.765654199122876E+00,  1.838550369456287E-01,  9.491107812872143E-03, -5.619428935407327E-05,  3.577243794444273E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -3.377849273277188E-01, -2.765467940966478E+00,  1.856125015527219E-01,  9.515808428279794E-03,  1.309050030955296E-04,  3.452276732830430E-04,
