*******************************************************************************
JPL/HORIZONS              81 Terpsichore (A864 SA)         2020-Jun-20 08:06:27
Rec #:      81 (+COV) Soln.date: 2020-May-20_00:57:44   # obs: 3473 (1864-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455167.5 ! 2009-Dec-02.00 (TDB)         Residual RMS= .25637
   EC= .2069523186764312   QR= 2.264318032332475   TP= 2455135.6925635892
   OM= 1.052342700774333   W=  51.25918656156927   IN= 7.803319956905901
   A= 2.85521045664418     MA= 6.497937851814716   ADIST= 3.446102880955885
   PER= 4.82465            N= .20428989            ANGMOM= .028437749
   DAN= 2.41956            DDN= 3.13953            L= 52.0510903
   B= 6.0790718            MOID= 1.28380001        TP= 2009-Oct-31.1925635892
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 58.8635            ROTPER= 10.943
   H= 8.6                  G= .150                 B-V= .701
                           ALBEDO= .045            STYP= Cb
 
ASTEROID comments: 
1: soln ref.= JPL#53, OCC=0
2: source=ORB
*******************************************************************************
 
  
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:06:27 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 81 Terpsichore (A864 SA)        {source: JPL#53}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455167.5 ! 2009-Dec-02.00 (TDB)         Residual RMS= .25637        
   EC= .2069523186764312   QR= 2.264318032332475   TP= 2455135.6925635892      
   OM= 1.052342700774333   W=  51.25918656156927   IN= 7.803319956905901       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.052115538693384E+00  Y= 1.721461788003091E+00  Z= 1.041182996361844E+00
  VX=-1.092470114962826E-02 VY= 5.234667164468794E-03 VZ= 3.207249974179972E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 58.8635            ROTPER= 10.943              
   H= 8.6                  G= .150                 B-V= .701                   
                           ALBEDO= .045            STYP= Cb                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.950236926698055E-01, -3.267457095123410E+00, -4.486521320220215E-01,  8.642005645668001E-03,  4.398081501017719E-04,  1.347804147316050E-05,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.517846897048041E-01, -3.264924859283999E+00, -4.485389965679762E-01,  8.653311856105241E-03,  5.731923487613570E-04,  3.179228681175703E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.084934278959284E-01, -3.261724117068379E+00, -4.483340485702862E-01,  8.662905778859580E-03,  7.072092766696998E-04,  5.020288086313893E-05,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.651585201327664E-01, -3.257851726473845E+00, -4.480368089934988E-01,  8.670766756120630E-03,  8.418502188122167E-04,  6.870873287744109E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.217886837585580E-01, -3.253304589952826E+00, -4.476468043706734E-01,  8.676873663345505E-03,  9.771061049188056E-04,  8.730870576136328E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -7.839274291710233E-02, -3.248079656238059E+00, -4.471635670417283E-01,  8.681204903994417E-03,  1.112967489818110E-03,  1.060016134148714E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -3.497963092537011E-02, -3.242173922267338E+00, -4.465866354053005E-01,  8.683738404532659E-03,  1.249424533235549E-03,  1.247862179826628E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  8.441607329681671E-03, -3.235584435211098E+00, -4.459155541846504E-01,  8.684451609740898E-03,  1.386466978820778E-03,  1.436612269802578E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  5.186181297149478E-02, -3.228308294607089E+00, -4.451498747082809E-01,  8.683321478276645E-03,  1.524084132278054E-03,  1.626252902823287E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  9.527171069264141E-02, -3.220342654606586E+00, -4.442891552059290E-01,  8.680324478449583E-03,  1.662264838636126E-03,  1.816769969893774E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.386619062930292E-01, -3.211684726336286E+00, -4.433329611204982E-01,  8.675436584244172E-03,  1.800997458710201E-03,  2.008148721848142E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.820228841989293E-01, -3.202331780379878E+00, -4.422808654364728E-01,  8.668633271633225E-03,  1.940269844761111E-03,  2.200373735848499E-04,
