*******************************************************************************
JPL/HORIZONS                 91 Aegina (A866 VA)           2020-Jun-20 08:08:06
Rec #:      91 (+COV) Soln.date: 2020-May-20_00:58:15   # obs: 2660 (1866-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454598.5 ! 2008-May-12.00 (TDB)         Residual RMS= .32023
   EC= .1059903329614941   QR= 2.315166071760214   TP= 2454847.7695502271
   OM= 10.76253762557601   W=  73.59208694833245   IN= 2.108692885114398
   A= 2.589643218769017    MA= 301.0459830023696   ADIST= 2.864120365777821
   PER= 4.16743            N= .236507088           ANGMOM= .027526322
   DAN= 2.48612            DDN= 2.63958            L= 84.3441045
   B= 2.0227799            MOID= 1.33169997        TP= 2009-Jan-16.2695502271
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 51.701             ROTPER= 6.025
   H= 8.9                  G= .150                 B-V= .724
                           ALBEDO= .048            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#120, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:08:06 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 91 Aegina (A866 VA)             {source: JPL#120}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454598.5 ! 2008-May-12.00 (TDB)         Residual RMS= .32023        
   EC= .1059903329614941   QR= 2.315166071760214   TP= 2454847.7695502271      
   OM= 10.76253762557601   W=  73.59208694833245   IN= 2.108692885114398       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.394588519511559E+00  Y= 5.578555518411182E-01  Z= 2.479826121926449E-01
  VX=-3.788574059464407E-03 VY= 9.491622225648944E-03 VZ= 4.558337734516560E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 51.701             ROTPER= 6.025               
   H= 8.9                  G= .150                 B-V= .724                   
                           ALBEDO= .048            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -8.279682111209095E-02, -2.862411237506549E+00, -1.037521754879660E-01,  9.596605762739784E-03, -2.120639053719420E-04, -7.692175177453750E-05,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -3.480268870710032E-02, -2.863021720636745E+00, -1.041204727784088E-01,  9.600544889410131E-03, -3.210992026307140E-05, -7.039284729684931E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.320360183053508E-02, -2.862732174327216E+00, -1.044560619312764E-01,  9.601468446123069E-03,  1.479414909874204E-04, -6.383872514136520E-05,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  6.120696412950299E-02, -2.861542207220956E+00, -1.047588202872265E-01,  9.599373029044695E-03,  3.280520021065351E-04, -5.726075756765180E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.091922948725461E-01, -2.859451619860255E+00, -1.050286320583902E-01,  9.594255263967386E-03,  5.081831764467122E-04, -5.066032101838967E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.571444739501853E-01, -2.856460405286425E+00, -1.052653883509911E-01,  9.586111808661318E-03,  6.882964478787334E-04, -4.403879680318404E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.050483646280515E-01, -2.852568749734603E+00, -1.054689871914400E-01,  9.574939355988573E-03,  8.683531018475202E-04, -3.739757180917753E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.528888137318444E-01, -2.847777033423409E+00, -1.056393335560707E-01,  9.560734637832627E-03,  1.048314256314141E-03, -3.073803924387918E-05,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  3.006506518537634E-01, -2.842085831440583E+00, -1.057763394046379E-01,  9.543494429735778E-03,  1.228140842430386E-03, -2.406159939549031E-05,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  3.483186935836867E-01, -2.835495914725734E+00, -1.058799237176289E-01,  9.523215556153387E-03,  1.407793585041957E-03, -1.736966039608918E-05,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  3.958777377681628E-01, -2.828008251150688E+00, -1.059500125373899E-01,  9.499894896331814E-03,  1.587232983161104E-03, -1.066363898344101E-05,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  4.433125678004213E-01, -2.819624006697439E+00, -1.059865390130513E-01,  9.473529390841966E-03,  1.766419290463160E-03, -3.944961260789760E-06,
