*******************************************************************************
JPL/HORIZONS                 96 Aegle (A868 DA)            2020-Jun-20 08:08:46
Rec #:      96 (+COV) Soln.date: 2020-Feb-22_15:17:03   # obs: 2410 (1868-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454522.5 ! 2008-Feb-26.00 (TDB)         Residual RMS= .23546
   EC= .1321319536569484   QR= 2.655648388964046   TP= 2454129.9808137771
   OM= 321.7778223595307   W=  207.3169050646347   IN= 15.93826214383477
   A= 3.059967929634224    MA= 72.2752581331532    ADIST= 3.464287470304401
   PER= 5.35283            N= .184131779           ANGMOM= .02982739
   DAN= 3.40645            DDN= 2.69067            L= 168.1894241
   B= -7.2395379           MOID= 1.67382002        TP= 2007-Jan-29.4808137771
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 88.887             ROTPER= 13.868
   H= 7.7                  G= .150                 B-V= .775
                           ALBEDO= .048            STYP= T
 
ASTEROID comments: 
1: soln ref.= JPL#97, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:08:46 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 96 Aegle (A868 DA)              {source: JPL#97}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454522.5 ! 2008-Feb-26.00 (TDB)         Residual RMS= .23546        
   EC= .1321319536569484   QR= 2.655648388964046   TP= 2454129.9808137771      
   OM= 321.7778223595307   W=  207.3169050646347   IN= 15.93826214383477       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-6.389796651291306E-01  Y=-2.292193412712118E+00  Z=-1.806867008683498E+00
  VX= 9.323299607047399E-03 VY=-3.730485281305458E-03 VZ=-7.297975407578416E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 88.887             ROTPER= 13.868              
   H= 7.7                  G= .150                 B-V= .775                   
                           ALBEDO= .048            STYP= T                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.183752425778317E+00,  1.488851257378429E+00, -4.159712705805683E-02, -5.576905150176880E-03, -9.264942511426047E-03, -3.088371445343208E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.211198204193977E+00,  1.442232292330565E+00, -5.702965014262055E-02, -5.400951036893170E-03, -9.382081901280521E-03, -3.084430102961255E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.237757453662204E+00,  1.395036125897968E+00, -7.243934697651952E-02, -5.222307541596141E-03, -9.495808844456891E-03, -3.079240129497737E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.263416939534587E+00,  1.347280031769293E+00, -8.781996306644931E-02, -5.041060107431569E-03, -9.606039135627869E-03, -3.072797169683700E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.288163862386868E+00,  1.298981698877685E+00, -1.031652248588440E-01, -4.857297366875617E-03, -9.712690908326136E-03, -3.065097958162174E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.311985873748205E+00,  1.250159219319071E+00, -1.184688452398881E-01, -4.671111053417825E-03, -9.815684789344314E-03, -3.056140339321664E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.334871091368071E+00,  1.200831075507740E+00, -1.337245291293890E-01, -4.482595904819995E-03, -9.914944049285454E-03, -3.045923284978342E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.356808113976512E+00,  1.151016126589578E+00, -1.489259791571334E-01, -4.291849557083227E-03, -1.001039474898841E-02, -3.034446909631863E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.377786035490892E+00,  1.100733594132763E+00, -1.640669014089277E-01, -4.098972429230365E-03, -1.010196588214027E-02, -3.021712483070700E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.397794458626257E+00,  1.050003047115796E+00, -1.791410112291325E-01, -3.904067600191857E-03, -1.018958951353944E-02, -3.007722440388733E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.416823507872159E+00,  9.988443862376357E-01, -1.941420390670093E-01, -3.707240678530330E-03, -1.027320091181066E-02, -2.992480389491771E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.434863841800173E+00,  9.472778275799291E-01, -2.090637363541797E-01, -3.508599664981411E-03, -1.035273867575979E-02, -2.975991116014695E-03,
