*******************************************************************************
JPL/HORIZONS               109 Felicitas (A869 TA)         2020-Jun-20 08:15:04
Rec #:     109 (+COV) Soln.date: 2020-Feb-22_15:17:25   # obs: 2297 (1869-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455760.5 ! 2011-Jul-18.00 (TDB)         Residual RMS= .34155
   EC= .2980465555007601   QR= 1.893076044986847   TP= 2455844.4695838983
   OM= 3.205120863156357   W=  56.26405148388405   IN= 7.88592331262372
   A= 2.696868374707287    MA= 341.313134950587    ADIST= 3.500660704427727
   PER= 4.42892            N= .222543255           ANGMOM= .026965632
   DAN= 2.10832            DDN= 2.94473            L= 59.2172825
   B= 6.5515621            MOID= .91856402         TP= 2011-Oct-09.9695838983
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 41.294             ROTPER= 13.191
   H= 9.                   G= .040                 B-V= .696
                           ALBEDO= .036            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#36, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:15:04 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 109 Felicitas (A869 TA)         {source: JPL#36}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455760.5 ! 2011-Jul-18.00 (TDB)         Residual RMS= .34155        
   EC= .2980465555007601   QR= 1.893076044986847   TP= 2455844.4695838983      
   OM= 3.205120863156357   W=  56.26405148388405   IN= 7.88592331262372        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.801164229602183E+00  Y= 7.011068310196729E-01  Z= 4.103252058816819E-01
  VX=-7.327120223472745E-03 VY= 9.938051669249891E-03 VZ= 6.111318299055706E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 41.294             ROTPER= 13.191              
   H= 9.                   G= .040                 B-V= .696                   
                           ALBEDO= .036            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.267721331446366E+00, -2.605293301933700E+00, -3.395449252730031E-01,  5.497945239553883E-03, -5.447252377547923E-03, -8.126700372610593E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.240032376956094E+00, -2.632298935846083E+00, -3.435782002851945E-01,  5.577442178147133E-03, -5.354879471355005E-03, -8.006211008835324E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.211948850537821E+00, -2.658840884290497E+00, -3.475509483140619E-01,  5.655774583473620E-03, -5.261779140676367E-03, -7.884593822922217E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.183476566505531E+00, -2.684915524140760E+00, -3.514626074855754E-01,  5.732945748699192E-03, -5.167956932619941E-03, -7.761856886708964E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.154621323426111E+00, -2.710519259242993E+00, -3.553126198481940E-01,  5.808958679074392E-03, -5.073418090514202E-03, -7.638007820384373E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.125388905565212E+00, -2.735648518919199E+00, -3.591004311501045E-01,  5.883816089432486E-03, -4.978167562851289E-03, -7.513053804676361E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.095785084345507E+00, -2.760299756515002E+00, -3.628254906224834E-01,  5.957520401710076E-03, -4.882210012039398E-03, -7.387001592795792E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.065815619817614E+00, -2.784469447990908E+00, -3.664872507687122E-01,  6.030073742344362E-03, -4.785549823053959E-03, -7.259857522325498E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.035486262144485E+00, -2.808154090556440E+00, -3.700851671594985E-01,  6.101477939485631E-03, -4.688191111917391E-03, -7.131627526905257E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.004802753100114E+00, -2.831350201345997E+00, -3.736186982337379E-01,  6.171734520071979E-03, -4.590137733902717E-03, -7.002317147478208E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.973770827583091E+00, -2.854054316135022E+00, -3.770873051048752E-01,  6.240844706820175E-03, -4.491393291448685E-03, -6.871931543052890E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.942396215145354E+00, -2.876262988095043E+00, -3.804904513725298E-01,  6.308809415157024E-03, -4.391961141805117E-03, -6.740475501002761E-04,
