*******************************************************************************
JPL/HORIZONS                  111 Ate (A870 PA)            2020-Jun-20 08:15:21
Rec #:     111 (+COV) Soln.date: 2020-May-20_00:58:46   # obs: 2707 (1870-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454838.5 ! 2009-Jan-07.00 (TDB)         Residual RMS= .31317
   EC= .1022066447702176   QR= 2.328349359786341   TP= 2455270.0066785882
   OM= 305.7971476144153   W=  167.1076496321562   IN= 4.931385144309675
   A= 2.593413446672726    MA= 258.1680739059097   ADIST= 2.858477533559111
   PER= 4.17653            N= .235991535           ANGMOM= .027557323
   DAN= 2.8503             DDN= 2.3338             L= 112.950934
   B= 1.0989996            MOID= 1.34513998        TP= 2010-Mar-14.5066785882
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 63.172             ROTPER= 22.072
   H= 8.2                  G= .150                 B-V= .690
                           ALBEDO= .062            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#102, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:15:22 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 111 Ate (A870 PA)               {source: JPL#102}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454838.5 ! 2009-Jan-07.00 (TDB)         Residual RMS= .31317        
   EC= .1022066447702176   QR= 2.328349359786341   TP= 2455270.0066785882      
   OM= 305.7971476144153   W=  167.1076496321562   IN= 4.931385144309675       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.666257176835035E+00  Y=-7.959677527233811E-02  Z= 1.685352187107741E-01
  VX=-1.021413501110018E-03 VY= 9.271384798377890E-03 VZ= 4.508277346286641E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 63.172             ROTPER= 22.072              
   H= 8.2                  G= .150                 B-V= .690                   
                           ALBEDO= .062            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.060731496235655E+00, -1.617834735829896E+00, -2.260189650414720E-01,  5.617769949682343E-03, -8.887042324239111E-03, -6.874233417766392E-05,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.032227504312236E+00, -1.661939810063640E+00, -2.263169643097250E-01,  5.783276495000807E-03, -8.754527013952122E-03, -5.047181138787044E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.002904255392549E+00, -1.705375473853564E+00, -2.265238326549823E-01,  5.945468646764937E-03, -8.619292405111277E-03, -3.229098198136230E-05,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.972778381220375E+00, -1.748128343847850E+00, -2.266400336401782E-01,  6.104322841075329E-03, -8.481423605913399E-03, -1.420585268047914E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.941866626225306E+00, -1.790185459984498E+00, -2.266660603895422E-01,  6.259817554775613E-03, -8.341004818527828E-03,  3.777758124805398E-06,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.910185837508882E+00, -1.831534280880808E+00, -2.266024346559444E-01,  6.411933229731392E-03, -8.198119307558299E-03,  2.165421675285241E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.877752955206242E+00, -1.872162679074563E+00, -2.264497059067306E-01,  6.560652198297698E-03, -8.052849372287297E-03,  3.941807045038657E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.844585003218016E+00, -1.912058936135845E+00, -2.262084504288828E-01,  6.705958609736701E-03, -7.905276322633520E-03,  5.706404344741691E-05,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.810699080307705E+00, -1.951211737667061E+00, -2.258792704541820E-01,  6.847838357639560E-03, -7.755480458401010E-03,  7.458703291831069E-05,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.776112351558884E+00, -1.989610168206573E+00, -2.254627933046393E-01,  6.986279008618361E-03, -7.603541051416472E-03,  9.198210491950661E-05,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.740842040185281E+00, -2.027243706049722E+00, -2.249596705582272E-01,  7.121269732503188E-03, -7.449536330325090E-03,  1.092444903360471E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.704905419685742E+00, -2.064102218000223E+00, -2.243705772348398E-01,  7.252801234203656E-03, -7.293543467930279E-03,  1.263695808409827E-04,
