*******************************************************************************
JPL/HORIZONS                 115 Thyra (A871 PA)           2020-Jun-20 08:15:56
Rec #:     115 (+COV) Soln.date: 2020-May-20_00:58:47   # obs: 2267 (1872-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2452827.5 ! 2003-Jul-07.00 (TDB)         Residual RMS= .31768
   EC= .1917747694578141   QR= 1.923630680602394   TP= 2453171.6890120474
   OM= 309.144634686168    W=  96.24916090379591   IN= 11.60074666465809
   A= 2.380067594910338    MA= 267.6116653999593   ADIST= 2.836504509218282
   PER= 3.67191            N= .268423247           ANGMOM= .026045901
   DAN= 2.34141            DDN= 2.24566            L= 45.5230484
   B= 11.5308653           MOID= .97342098         TP= 2004-Jun-15.1890120474
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 39.915             ROTPER= 7.241
   H= 7.6                  G= .120                 B-V= .851
                           ALBEDO= .2747           STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#78, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:15:56 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 115 Thyra (A871 PA)             {source: JPL#78}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452827.5 ! 2003-Jul-07.00 (TDB)         Residual RMS= .31768        
   EC= .1917747694578141   QR= 1.923630680602394   TP= 2453171.6890120474      
   OM= 309.144634686168    W=  96.24916090379591   IN= 11.60074666465809       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 9.325004188768778E-01  Y=-2.048006989844692E+00  Z=-1.050533519064144E+00
  VX= 8.832284818099976E-03 VY= 4.294599099500140E-03 VZ= 4.186341768226764E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 39.915             ROTPER= 7.241               
   H= 7.6                  G= .120                 B-V= .851                   
                           ALBEDO= .2747           STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.127900868245377E+00, -1.779733918063597E+00, -5.696940452201494E-01,  5.718142249090711E-03, -7.181740704351098E-03, -3.221476739381745E-05,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.098966250222027E+00, -1.815351920289719E+00, -5.697626970957456E-01,  5.855368055172585E-03, -7.065095771325461E-03,  4.748118044086915E-06,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.069350569042709E+00, -1.850381248801477E+00, -5.696466272200228E-01,  5.990565039697679E-03, -6.946274632013538E-03,  4.167309613662076E-05,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.039064006201845E+00, -1.884811073248335E+00, -5.693460376654935E-01,  6.123718185111788E-03, -6.825297455570520E-03,  7.855515615004077E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.008116819247735E+00, -1.918630662598538E+00, -5.688611555109508E-01,  6.254812082915638E-03, -6.702183804563411E-03,  1.153893050461559E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.976519343804303E+00, -1.951829382169402E+00, -5.681922327718010E-01,  6.383830906954428E-03, -6.576952660293139E-03,  1.521705599702222E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.944281995725170E+00, -1.984396690784916E+00, -5.673395463679201E-01,  6.510758387140228E-03, -6.449622448438793E-03,  1.888939407267739E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.911415273378685E+00, -2.016322138062650E+00, -5.663033981293636E-01,  6.635577783316159E-03, -6.320211065127593E-03,  2.255544621639646E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.877929760063580E+00, -2.047595361831764E+00, -5.650841148403035E-01,  6.758271859143020E-03, -6.188735903267004E-03,  2.621471265120577E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.843836126554872E+00, -2.078206085682957E+00, -5.636820483211930E-01,  6.878822856134656E-03, -6.055213878978873E-03,  2.986669157635677E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.809145133779055E+00, -2.108144116650806E+00, -5.620975755488588E-01,  6.997212467920910E-03, -5.919661458121811E-03,  3.351087841249662E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.773867635617273E+00, -2.137399343029052E+00, -5.603310988141540E-01,  7.113421814790401E-03, -5.782094682967746E-03,  3.714676505362872E-04,
