*******************************************************************************
JPL/HORIZONS                118 Peitho (A872 EA)           2020-Jun-20 08:16:25
Rec #:     118 (+COV) Soln.date: 2020-May-20_00:58:48   # obs: 2920 (1872-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455821.5 ! 2011-Sep-17.00 (TDB)         Residual RMS= .38483
   EC= .1640657718246235   QR= 2.037842656651598   TP= 2456012.2511610929
   OM= 47.7217878710447    W=  33.19518128788092   IN= 7.744391488325862
   A= 2.4378026260507      MA= 310.606084635316    ADIST= 2.837762595449802
   PER= 3.80633            N= .258944238           ANGMOM= .026494488
   DAN= 2.08582            DDN= 2.74969            L= 80.676891
   B= 4.2309444            MOID= 1.05788004        TP= 2012-Mar-25.7511610929
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 20.1055            ROTPER= 7.8055
   H= 8.9                  G= .150                 B-V= .859
                           ALBEDO= .245            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#68, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:16:25 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 118 Peitho (A872 EA)            {source: JPL#68}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455821.5 ! 2011-Sep-17.00 (TDB)         Residual RMS= .38483        
   EC= .1640657718246235   QR= 2.037842656651598   TP= 2456012.2511610929      
   OM= 47.7217878710447    W=  33.19518128788092   IN= 7.744391488325862       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.135071771449103E+00  Y= 6.081201091064488E-01  Z= 8.865036996406023E-02
  VX=-4.680769393351004E-03 VY= 9.500687279680247E-03 VZ= 5.728820440064024E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 20.1055            ROTPER= 7.8055              
   H= 8.9                  G= .150                 B-V= .859                   
                           ALBEDO= .245            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.290459725012969E+00, -7.905832130886525E-01, -3.044740123581740E-01,  1.959883722791644E-03,  1.081925180707097E-02,  7.875384792737481E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.299672756993139E+00, -7.362888704071353E-01, -3.004586845422688E-01,  1.724743097358825E-03,  1.089769979666697E-02,  8.185805031484739E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.307701342574290E+00, -6.816141925865383E-01, -2.962883446737978E-01,  1.486114608195188E-03,  1.097136123521144E-02,  8.495400935100541E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.314528188771313E+00, -6.265834835675121E-01, -2.919634536569971E-01,  1.244057729456353E-03,  1.104008729873424E-02,  8.803976282513880E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.320136314308836E+00, -5.712217965332953E-01, -2.874845724298196E-01,  9.986377166316838E-04,  1.110372713968856E-02,  9.111327137107280E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.324509079218074E+00, -5.155549436289366E-01, -2.828523658549678E-01,  7.499258833477155E-04,  1.116212804962993E-02,  9.417241715696962E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.327630215827276E+00, -4.596095048177709E-01, -2.780676066731961E-01,  4.979998817451233E-04,  1.121513564187982E-02,  9.721500270906376E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.329483861160506E+00, -4.034128357715165E-01, -2.731311795115827E-01,  2.429439853326428E-04,  1.126259405562195E-02,  1.002387498921748E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.330054590755827E+00, -3.469930746843268E-01, -2.680440849385242E-01, -1.515062621161995E-05,  1.130434618232502E-02,  1.032412990629523E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.329327453910376E+00, -2.903791478977368E-01, -2.628074435563355E-01, -2.761855813267464E-04,  1.134023391507024E-02,  1.062202084168049E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.327288010352799E+00, -2.336007742200161E-01, -2.574225001210477E-01, -5.400550316460242E-04,  1.137009842163119E-02,  1.091729535584706E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.323922368334382E+00, -1.766884678184893E-01, -2.518906276774117E-01, -8.066453697714391E-04,  1.139378044239651E-02,  1.120969273284635E-03,
