*******************************************************************************
JPL/HORIZONS               121 Hermione (A872 JA)          2020-Jun-20 08:16:52
Rec #:     121 (+COV) Soln.date: 2020-May-20_00:59:13   # obs: 3658 (1872-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454598.5 ! 2008-May-12.00 (TDB)         Residual RMS= .25281
   EC= .135712473606616    QR= 2.978033730544518   TP= 2454838.010434397
   OM= 73.18386505592666   W=  297.572626905093    IN= 7.599482634487667
   A= 3.445651637449473    MA= 323.0919193075117   ADIST= 3.913269544354428
   PER= 6.3961             N= .154098003           ANGMOM= .031635918
   DAN= 3.18229            DDN= 3.60889            L= 10.964418
   B= -6.732115            MOID= 1.98810005        TP= 2009-Jan-06.5104343970
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 104.5              ROTPER= 5.55128
   H= 7.3                  G= .150                 B-V= .739
                           ALBEDO= .0482           STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#104, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:16:52 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 121 Hermione (A872 JA)          {source: JPL#104}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454598.5 ! 2008-May-12.00 (TDB)         Residual RMS= .25281        
   EC= .135712473606616    QR= 2.978033730544518   TP= 2454838.010434397       
   OM= 73.18386505592666   W=  297.572626905093    IN= 7.599482634487667       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.454206769038636E+00  Y=-1.546421932271436E+00  Z=-1.090013111462524E+00
  VX= 5.354762045097562E-03 VY= 8.152642664031068E-03 VZ= 3.156722077664427E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 104.5              ROTPER= 5.55128             
   H= 7.3                  G= .150                 B-V= .739                   
                           ALBEDO= .0482           STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.338767739592941E+00, -2.922546281658334E+00, -2.704499437054800E-01,  8.403997867816928E-03,  5.137484120096445E-03, -9.105438506869841E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.380638703847277E+00, -2.896536796145798E+00, -2.749726176777627E-01,  8.344028247677687E-03,  5.266227850123685E-03, -8.984821525318858E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.422204421764180E+00, -2.869884859219656E+00, -2.794343299367266E-01,  8.281898470957236E-03,  5.394457924609249E-03, -8.861592819889218E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.463454080307624E+00, -2.842593141018185E+00, -2.838337764720025E-01,  8.217603772327022E-03,  5.522133510480983E-03, -8.735760002101593E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.504376844675763E+00, -2.814664517165415E+00, -2.881696573892815E-01,  8.151140215183062E-03,  5.649213249004397E-03, -8.607331929527976E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.544961862510221E+00, -2.786102071360938E+00, -2.924406775405488E-01,  8.082504717861485E-03,  5.775655271413562E-03, -8.476318734483885E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.585198268235735E+00, -2.756909097887934E+00, -2.966455471684403E-01,  8.011695079577804E-03,  5.901417216012212E-03, -8.342731851807434E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.625075187529119E+00, -2.727089104032046E+00, -3.007829825642712E-01,  7.938710006247672E-03,  6.026456246713689E-03, -8.206584045811629E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.664581741917179E+00, -2.696645812404333E+00, -3.048517067393629E-01,  7.863549136233812E-03,  6.150729072834033E-03, -8.067889436528931E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.703707053503021E+00, -2.665583163162341E+00, -3.088504501093233E-01,  7.786213065939206E-03,  6.274191970052433E-03, -7.926663525260167E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.742440249819708E+00, -2.633905316123420E+00, -3.127779511909086E-01,  7.706703375140558E-03,  6.396800802561486E-03, -7.782923219373427E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.780770468809777E+00, -2.601616652764258E+00, -3.166329573110924E-01,  7.625022651986264E-03,  6.518511046428634E-03, -7.636686856303743E-04,
