*******************************************************************************
JPL/HORIZONS                 122 Gerda (A872 OA)           2020-Jun-20 08:17:09
Rec #:     122 (+COV) Soln.date: 2020-May-20_00:59:13   # obs: 3089 (1872-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455535.5 ! 2010-Dec-05.00 (TDB)         Residual RMS= .38914
   EC= .03947851760210982  QR= 3.092262162725041   TP= 2454545.4345276258
   OM= 178.4181830493813   W=  324.8219588401703   IN= 1.639502377263403
   A= 3.219357629571569    MA= 168.9328671936186   ADIST= 3.346453096418097
   PER= 5.77646            N= .170627971           ANGMOM= .030840922
   DAN= 3.11386            DDN= 3.32152            L= 143.2511985
   B= -.9444623            MOID= 2.10393           TP= 2008-Mar-19.9345276258
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 35.338             ROTPER= 10.685
   H= 7.7                  G= .150                 B-V= .776
                           ALBEDO= .297            STYP= L
 
ASTEROID comments: 
1: soln ref.= JPL#39, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:17:09 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 122 Gerda (A872 OA)             {source: JPL#39}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455535.5 ! 2010-Dec-05.00 (TDB)         Residual RMS= .38914        
   EC= .03947851760210982  QR= 3.092262162725041   TP= 2454545.4345276258      
   OM= 178.4181830493813   W=  324.8219588401703   IN= 1.639502377263403       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.280860869418738E+00  Y=-2.270183887364985E+00  Z=-9.099679044299941E-01
  VX= 6.790285792661777E-03 VY= 5.796087908805578E-03 VZ= 2.312542308673863E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 35.338             ROTPER= 10.685              
   H= 7.7                  G= .150                 B-V= .776                   
                           ALBEDO= .297            STYP= L                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -8.747931736181205E-01, -3.084611350296150E+00,  8.781535385380483E-02,  9.072436248776265E-03, -3.151686306585817E-03,  8.710481393241586E-05,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -8.293345066225812E-01, -3.100024214512884E+00,  8.824103882193143E-02,  9.110675500513116E-03, -3.013403861366796E-03,  8.316769193122323E-05,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -7.836899670366848E-01, -3.114744861117728E+00,  8.864701673723228E-02,  9.146785714408362E-03, -2.874804732190761E-03,  7.922214814520434E-05,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -7.378701932005945E-01, -3.128771788527374E+00,  8.903324781454977E-02,  9.180769711063087E-03, -2.735921609678610E-03,  7.526911080067457E-05,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -6.918858081456604E-01, -3.142103657947547E+00,  8.939969689054855E-02,  9.212630791615318E-03, -2.596786917923002E-03,  7.130950037960109E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -6.457474172184544E-01, -3.154739292026974E+00,  8.974633338467719E-02,  9.242372727071183E-03, -2.457432809155076E-03,  6.734422948987335E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -5.994656057577840E-01, -3.166677673485174E+00,  9.007313125943524E-02,  9.269999747792242E-03, -2.317891158643284E-03,  6.337420272042756E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -5.530509368239145E-01, -3.177917943715766E+00,  9.038006897992180E-02,  9.295516533105279E-03, -2.178193560019060E-03,  5.940031649924517E-05,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -5.065139489796517E-01, -3.188459401367589E+00,  9.066712947271829E-02,  9.318928200940690E-03, -2.038371321072610E-03,  5.542345897307023E-05,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -4.598651541232365E-01, -3.198301500905746E+00,  9.093430008422777E-02,  9.340240297468666E-03, -1.898455459902287E-03,  5.144450990955168E-05,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -4.131150353729864E-01, -3.207443851154095E+00,  9.118157253856678E-02,  9.359458786771331E-03, -1.758476701333765E-03,  4.746434061311008E-05,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -3.662740450034395E-01, -3.215886213820432E+00,  9.140894289505976E-02,  9.376590040572196E-03, -1.618465473582240E-03,  4.348381385041626E-05,
