*******************************************************************************
JPL/HORIZONS               123 Brunhild (A872 OB)          2020-Jun-20 08:17:17
Rec #:     123 (+COV) Soln.date: 2020-May-20_00:59:13   # obs: 2865 (1872-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455767.5 ! 2011-Jul-25.00 (TDB)         Residual RMS= .36022
   EC= .11846298542395     QR= 2.375704403230421   TP= 2455545.1408263342
   OM= 307.8972610426447   W=  125.1162898762434   IN= 6.419561737355393
   A= 2.694957062435941    MA= 49.53718800780739   ADIST= 3.014209721641461
   PER= 4.42421            N= .222780045           ANGMOM= .028040674
   DAN= 2.85145            DDN= 2.48762            L= 73.1833056
   B= 5.2474658            MOID= 1.39655995        TP= 2010-Dec-14.6408263342
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 22.6045            ROTPER= 9.873
   H= 8.9                  G= .150                 B-V= .850
                           ALBEDO= .261            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#37, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:17:17 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 123 Brunhild (A872 OB)          {source: JPL#37}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455767.5 ! 2011-Jul-25.00 (TDB)         Residual RMS= .36022        
   EC= .11846298542395     QR= 2.375704403230421   TP= 2455545.1408263342      
   OM= 307.8972610426447   W=  125.1162898762434   IN= 6.419561737355393       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.740625579164961E+00  Y= 1.673586200824869E+00  Z= 6.935915545827068E-01
  VX=-8.744546739735664E-03 VY=-5.839694321727388E-03 VZ=-3.898438909952119E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 22.6045            ROTPER= 9.873               
   H= 8.9                  G= .150                 B-V= .850                   
                           ALBEDO= .261            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.040917590629346E+00, -2.745612645347067E+00, -1.020627678624030E-01,  8.608080489075784E-03,  4.060478121881443E-03,  1.043323382134065E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.083804340475298E+00, -2.724909790587111E+00, -9.683149409523006E-02,  8.546159174223552E-03,  4.220570989797515E-03,  1.049139061205396E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.126374572198321E+00, -2.703407896588304E+00, -9.157185087618032E-02,  8.481471761972743E-03,  4.380087150904460E-03,  1.054670563713148E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.168614433311696E+00, -2.681109947469185E+00, -8.628526810211554E-02,  8.414009486991973E-03,  4.538986253433851E-03,  1.059914278767133E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.210510028038361E+00, -2.658019130892244E+00, -8.097319380287724E-02,  8.343763802086089E-03,  4.697227228478039E-03,  1.064866564182007E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.252047418456409E+00, -2.634138841695638E+00, -7.563709429591566E-02,  8.270726400259887E-03,  4.854768271676284E-03,  1.069523747235261E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.293212625757169E+00, -2.609472685614906E+00, -7.027845433686107E-02,  8.194889237736383E-03,  5.011566825541830E-03,  1.073882125528570E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.333991631621417E+00, -2.584024483091666E+00, -6.489877726555893E-02,  8.116244558233055E-03,  5.167579562296828E-03,  1.077937967941538E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.374370379720434E+00, -2.557798273167482E+00, -5.949958514708494E-02,  8.034784918623786E-03,  5.322762366922243E-03,  1.081687515687218E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.414334777348732E+00, -2.530798317462208E+00, -5.408241890720526E-02,  7.950503215936978E-03,  5.477070320330686E-03,  1.085126983481141E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.453870697195012E+00, -2.503029104236044E+00, -4.864883846169182E-02,  7.863392715636876E-03,  5.630457682712530E-03,  1.088252560830592E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.492963979257682E+00, -2.474495352534287E+00, -4.320042283887854E-02,  7.773447081174251E-03,  5.782877877129006E-03,  1.091060413450811E-03,
