*******************************************************************************
JPL/HORIZONS                 140 Siwa (A874 TB)            2020-Jun-20 08:19:43
Rec #:     140 (+COV) Soln.date: 2020-May-20_00:59:43   # obs: 3678 (1877-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454869.5 ! 2009-Feb-07.00 (TDB)         Residual RMS= .33854
   EC= .2169352816026052   QR= 2.139075394107998   TP= 2455034.705266783
   OM= 107.2945840663175   W=  197.3107926980533   IN= 3.187537927527569
   A= 2.731671270397405    MA= 323.9350520411357   ADIST= 3.324267146686813
   PER= 4.51493            N= .218303857           ANGMOM= .027754169
   DAN= 3.28307            DDN= 2.15649            L= 304.5802018
   B= -.9480213            MOID= 1.12527001        TP= 2009-Jul-22.2052667830
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 54.895             ROTPER= 34.445
   H= 8.4                  G= .150                 B-V= .721
                           ALBEDO= .0676           STYP= Xc
 
ASTEROID comments: 
1: soln ref.= JPL#149, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:19:43 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 140 Siwa (A874 TB)              {source: JPL#149}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454869.5 ! 2009-Feb-07.00 (TDB)         Residual RMS= .33854        
   EC= .2169352816026052   QR= 2.139075394107998   TP= 2455034.705266783       
   OM= 107.2945840663175   W=  197.3107926980533   IN= 3.187537927527569       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-7.815116061777301E-01  Y=-2.025333337724603E+00  Z=-7.935695478889140E-01
  VX= 1.191847196835877E-02 VY=-1.878631245371762E-03 VZ=-1.463613214835103E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 54.895             ROTPER= 34.445              
   H= 8.4                  G= .150                 B-V= .721                   
                           ALBEDO= .0676           STYP= Xc                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.354220216316355E+00,  5.592368048979873E-01, -1.342836190928590E-01, -5.425800850755291E-04,  1.166828458288430E-02, -1.681459135512916E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.350896187176080E+00,  6.174278977959313E-01, -1.350893542811249E-01, -7.864248147709546E-04,  1.160728335802199E-02, -1.541657087286198E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.346362104950189E+00,  6.753011017771653E-01, -1.358254579516524E-01, -1.026587774124416E-03,  1.154116005689959E-02, -1.402945500144210E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.340636574298214E+00,  7.328312705891610E-01, -1.364924935719610E-01, -1.262992101407773E-03,  1.147010002283450E-02, -1.265396493905623E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.333738562584167E+00,  7.899941797860698E-01, -1.370910594393008E-01, -1.495569513028844E-03,  1.139428657898011E-02, -1.129077291832882E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.325687357942511E+00,  8.467665158142941E-01, -1.376217862692545E-01, -1.724259920190204E-03,  1.131390070865660E-02, -9.940503694621974E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.316502529268498E+00,  9.031258635837136E-01, -1.380853348607057E-01, -1.949011043087809E-03,  1.122912076879545E-02, -8.603736110925613E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.306203888135060E+00,  9.590506926842267E-01, -1.384823938405277E-01, -2.169778026743150E-03,  1.114012223443745E-02, -7.281004716371116E-05,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.294811452620248E+00,  1.014520342401025E+00, -1.388136774899315E-01, -2.386523061219499E-03,  1.104707747364842E-02, -5.972801410752119E-05,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.282345413020441E+00,  1.069515005678959E+00, -1.390799236534209E-01, -2.599215007196153E-03,  1.095015555204490E-02, -4.679577103490757E-05,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.268826099421013E+00,  1.124015712180632E+00, -1.392818917309776E-01, -2.807829027520987E-03,  1.084952206548163E-02, -3.401743383236856E-05,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.254273951092812E+00,  1.178004310574601E+00, -1.394203607539148E-01, -3.012346225472175E-03,  1.074533899907965E-02, -2.139674194340415E-05,
