*******************************************************************************
JPL/HORIZONS                145 Adeona (A875 LB)           2020-Jun-20 08:20:27
Rec #:     145 (+COV) Soln.date: 2020-May-20_00:59:43   # obs: 2391 (1885-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454884.5 ! 2009-Feb-22.00 (TDB)         Residual RMS= .30906
   EC= .1451300169426667   QR= 2.285148837133953   TP= 2454971.4846679736
   OM= 77.45543121732015   W=  44.70878642775066   IN= 12.63637309272156
   A= 2.67309518689779     MA= 340.3833362413998   ADIST= 3.061041536661627
   PER= 4.37049            N= .225518631           ANGMOM= .027826981
   DAN= 2.37213            DDN= 2.91774            L= 121.4619628
   B= 8.8530286            MOID= 1.31908           TP= 2009-May-19.9846679736
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 63.8915            ROTPER= 15.071
   H= 8.2                  G= .150                 B-V= .701
                           ALBEDO= .061            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#94, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:20:27 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 145 Adeona (A875 LB)            {source: JPL#94}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454884.5 ! 2009-Feb-22.00 (TDB)         Residual RMS= .30906        
   EC= .1451300169426667   QR= 2.285148837133953   TP= 2454971.4846679736      
   OM= 77.45543121732015   W=  44.70878642775066   IN= 12.63637309272156       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.183776237626887E-01  Y= 2.046393991730539E+00  Z= 1.061363897407759E+00
  VX=-1.162072455283099E-02 VY=-2.774230237768878E-03 VZ= 1.464876163703382E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 63.8915            ROTPER= 15.071              
   H= 8.2                  G= .150                 B-V= .701                   
                           ALBEDO= .061            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.106196343213969E+00,  2.170015875408405E+00, -1.410207753417580E-01, -1.047806451519156E-02,  4.030271917985217E-03,  2.487900348112144E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.053528167442341E+00,  2.189609670289211E+00, -1.285462172543172E-01, -1.058845103549950E-02,  3.806615216678284E-03,  2.501727797853090E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.000319502034204E+00,  2.208075796251245E+00, -1.160054713786558E-01, -1.069423607808160E-02,  3.579219941916140E-03,  2.514370854631316E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  9.465937179916650E-01,  2.225395799845727E+00, -1.034045283857689E-01, -1.079527436033506E-02,  3.348182973579013E-03,  2.525802123459371E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  8.923749100263076E-01,  2.241551728783679E+00, -9.074951454840829E-02, -1.089142173384715E-02,  3.113607909741412E-03,  2.535994770877015E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  8.376878900853085E-01,  2.256526165722268E+00, -7.804668874774538E-02, -1.098253550787274E-02,  2.875605141820554E-03,  2.544922599603895E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  7.825581792257299E-01,  2.270302262383431E+00, -6.530243910147186E-02, -1.106847478640138E-02,  2.634291912684649E-03,  2.552560125231614E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  7.270119977746359E-01,  2.282863773923190E+00, -5.252327920461281E-02, -1.114910081621747E-02,  2.389792358632726E-03,  2.558882654354102E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  6.710762537261765E-01,  2.294195093465191E+00, -3.971584397678607E-02, -1.122427734395409E-02,  2.142237532542506E-03,  2.563866363848302E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  6.147785293311679E-01,  2.304281286697369E+00, -2.688688511029880E-02, -1.129387098201466E-02,  1.891765405734905E-03,  2.567488381233463E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  5.581470658362434E-01,  2.313108126422851E+00, -1.404326611425816E-02, -1.135775158260900E-02,  1.638520847708842E-03,  2.569726865849459E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  5.012107463356354E-01,  2.320662126952633E+00, -1.191956951491823E-03, -1.141579261838947E-02,  1.382655582946838E-03,  2.570561090493315E-03,
