*******************************************************************************
JPL/HORIZONS                 177 Irma (A877 VA)            2020-Jun-20 08:35:25
Rec #:     177 (+COV) Soln.date: 2020-Feb-22_15:19:36   # obs: 2731 (1900-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455587.5 ! 2011-Jan-26.00 (TDB)         Residual RMS= .35187
   EC= .2389692019427269   QR= 2.106761901064781   TP= 2455722.3498821375
   OM= 347.6286346510295   W=  38.34936665711056   IN= 1.391520546805709
   A= 2.768300450445413    MA= 331.1440876581779   ADIST= 3.429838999826044
   PER= 4.60604            N= .213985441           ANGMOM= .027791976
   DAN= 2.19824            DDN= 3.21221            L= 25.9697786
   B= .8633237             MOID= 1.11108994        TP= 2011-Jun-09.8498821375
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 34.5245            ROTPER= 13.856
   H= 9.6                  G= .150                 B-V= .730
                           ALBEDO= .022            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#85, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sat Jun 20 08:35:25 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 177 Irma (A877 VA)              {source: JPL#85}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455587.5 ! 2011-Jan-26.00 (TDB)         Residual RMS= .35187        
   EC= .2389692019427269   QR= 2.106761901064781   TP= 2455722.3498821375      
   OM= 347.6286346510295   W=  38.34936665711056   IN= 1.391520546805709       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.100255861834913E+00  Y=-7.135752406145588E-01  Z=-3.176581579439073E-01
  VX= 2.596367512733565E-03 VY= 1.113016177288523E-02 VZ= 5.157386824379375E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 34.5245            ROTPER= 13.856              
   H= 9.6                  G= .150                 B-V= .730                   
                           ALBEDO= .022            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.012298812119621E+00, -1.121622395292295E+00, -1.737080450621801E-02,  4.104385719090635E-03,  1.155903061601411E-02,  2.994625034340697E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.032205740393091E+00, -1.063490514668505E+00, -1.586836064171842E-02,  3.857431521431992E-03,  1.169283350636666E-02,  3.014888926058579E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.050863666003011E+00, -1.004703170143914E+00, -1.435618221651098E-02,  3.604801020686292E-03,  1.182117038484591E-02,  3.033553008826425E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.068244465461876E+00, -9.452883800107466E-01, -1.283508450907324E-02,  3.346599950409510E-03,  1.194376571428960E-02,  3.050555851270855E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.084320582221489E+00, -8.852755431883174E-01, -1.130591339722583E-02,  3.082949438480615E-03,  1.206034292706104E-02,  3.065836526657821E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.099065104891974E+00, -8.246954421292610E-01, -9.769545045731756E-03,  2.813986498104510E-03,  1.217062533458349E-02,  3.079334855536766E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.112451847788995E+00, -7.635802410129819E-01, -8.226885469201185E-03,  2.539864466622157E-03,  1.227433710268905E-02,  3.090991661688579E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.124455433526941E+00, -7.019634789014573E-01, -6.678869963850994E-03,  2.260753383765985E-03,  1.237120429090604E-02,  3.100749040699082E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.135051377335676E+00, -6.398800575453754E-01, -5.126462401927631E-03,  1.976840301512014E-03,  1.246095595237233E-02,  3.108550640579405E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.144216172738705E+00, -5.773662235481419E-01, -3.570654383076370E-03,  1.688329517416054E-03,  1.254332528998132E-02,  3.114341953061425E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.151927378189467E+00, -5.144595446190938E-01, -2.012464237804231E-03,  1.395442723161448E-03,  1.261805086362957E-02,  3.118070613570881E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.158163704221760E+00, -4.511988796751619E-01, -4.529358792380978E-04,  1.098419060384617E-03,  1.268487784248215E-02,  3.119686707707656E-04,
