*******************************************************************************
JPL/HORIZONS                 191 Kolga (A878 SB)           2020-Jun-22 06:33:19
Rec #:     191 (+COV) Soln.date: 2020-May-20_01:00:42   # obs: 2810 (1991-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458004.5 ! 2017-Sep-08.00 (TDB)         Residual RMS= .048009
   EC= .09100153572155556  QR= 2.631257574937401   TP= 2457768.4834074895
   OM= 159.3051907301879   W=  226.8747215909058   IN= 11.50696689080531
   A= 2.894677690160975    MA= 47.23308247111898   ADIST= 3.158097805384549
   PER= 4.92503            N= .200126104           ANGMOM= .029145788
   DAN= 3.06113            DDN= 2.70258            L= 25.5991466
   B= -8.3718986           MOID= 1.64699996        TP= 2017-Jan-14.9834074895
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 47.268             ROTPER= 17.604
   H= 9.                   G= .150                 B-V= .675
                           ALBEDO= .046            STYP= Cb
 
ASTEROID comments: 
1: soln ref.= JPL#103, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 06:33:19 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 191 Kolga (A878 SB)             {source: JPL#103}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458004.5 ! 2017-Sep-08.00 (TDB)         Residual RMS= .048009       
   EC= .09100153572155556  QR= 2.631257574937401   TP= 2457768.4834074895      
   OM= 159.3051907301879   W=  226.8747215909058   IN= 11.50696689080531       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 3.761943758743009E-01  Y= 2.643932594628654E+00  Z= 5.664935996587050E-01
  VX=-1.044257951792160E-02 VY= 2.013096882414452E-03 VZ= 1.208461275158861E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 47.268             ROTPER= 17.604              
   H= 9.                   G= .150                 B-V= .675                   
                           ALBEDO= .046            STYP= Cb                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.875383100912615E+00,  1.040019780665531E+00,  5.791002260387854E-05, -3.754632513443071E-03, -8.564619931450457E-03,  1.900288759455907E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.893784942696843E+00,  9.970645023584566E-01,  9.558944530024196E-03, -3.606021571351584E-03, -8.617096476789876E-03,  1.900043603204227E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.911442519564806E+00,  9.538527624594746E-01,  1.905753415197103E-02, -3.456932379717875E-03, -8.667205095997941E-03,  1.899311306565679E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.928353527442907E+00,  9.103963924113289E-01,  2.855125073592201E-02, -3.307399744816354E-03, -8.714949118045139E-03,  1.898094895219800E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.944515835342191E+00,  8.667072062152994E-01,  3.803768134473864E-02, -3.157458095014240E-03, -8.760332188470063E-03,  1.896397429295919E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.959927483481053E+00,  8.227969988791528E-01,  4.751442842380226E-02, -3.007141485768000E-03, -8.803358257122550E-03,  1.894222001339591E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.974586681434349E+00,  7.786775449257444E-01,  5.697910995817535E-02, -2.856483605151068E-03, -8.844031566114300E-03,  1.891571734361847E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.988491806310520E+00,  7.343605969616424E-01,  6.642935962030723E-02, -2.705517779423932E-03, -8.882356637883547E-03,  1.888449780013866E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -3.001641400955765E+00,  6.898578843044886E-01,  7.586282690894922E-02, -2.554276978289109E-03, -8.918338263703918E-03,  1.884859316891369E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -3.014034172184209E+00,  6.451811116660902E-01,  8.527717727982720E-02, -2.402793820105431E-03, -8.951981492892093E-03,  1.880803548925280E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -3.025668989034926E+00,  6.003419578879394E-01,  9.467009226841737E-02, -2.251100577457815E-03, -8.983291622588175E-03,  1.876285703831534E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -3.036544881057825E+00,  5.553520747268886E-01,  1.040392696051377E-01, -2.099229183111934E-03, -9.012274187887075E-03,  1.871309031631541E-03,
