*******************************************************************************
JPL/HORIZONS               192 Nausikaa (A879 DA)          2020-Jun-22 06:33:38
Rec #:     192 (+COV) Soln.date: 2020-May-20_01:00:42   # obs: 2517 (1879-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2452831.5 ! 2003-Jul-11.00 (TDB)         Residual RMS= .33683
   EC= .2474739839466417   QR= 1.807684836036467   TP= 2453161.9295926173
   OM= 343.4639022637893   W=  29.78778372727401   IN= 6.825576567059474
   A= 2.402155935441164    MA= 272.5255511785084   ADIST= 2.996627034845861
   PER= 3.72315            N= .264729456           ANGMOM= .025832031
   DAN= 1.85634            DDN= 2.87184            L= 13.0762985
   B= 3.3848248            MOID= .81148797         TP= 2004-Jun-05.4295926173
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 49.388             ROTPER= 13.625
   H= 7.3                  G= .030                 B-V= .927
                           ALBEDO= .327            STYP= Sl
 
ASTEROID comments: 
1: soln ref.= JPL#106, OCC=0           radar( 1 delay, 0 Dop.)
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 06:33:38 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 192 Nausikaa (A879 DA)          {source: JPL#106}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2452831.5 ! 2003-Jul-11.00 (TDB)         Residual RMS= .33683        
   EC= .2474739839466417   QR= 1.807684836036467   TP= 2453161.9295926173      
   OM= 343.4639022637893   W=  29.78778372727401   IN= 6.825576567059474       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-5.117071386100579E-01  Y=-2.128004155603317E+00  Z=-1.247859724086836E+00
  VX= 1.055498471293587E-02 VY= 1.940475950003601E-04 VZ= 5.244087907934372E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 49.388             ROTPER= 13.625              
   H= 7.3                  G= .030                 B-V= .927                   
                           ALBEDO= .327            STYP= Sl                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.175755168388151E+00, -1.873656616478771E+00, -2.879256166519060E-01,  6.836759796394538E-03, -5.888161818761851E-03, -4.495113869846325E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.141238425093886E+00, -1.902807821418437E+00, -2.901287928551624E-01,  6.969734800779360E-03, -5.771889219459891E-03, -4.317163720476211E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.106059877025290E+00, -1.931371183162386E+00, -2.922423522791517E-01,  7.101475770276065E-03, -5.653021296418636E-03, -4.136645007925862E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.070225784608013E+00, -1.959333676007084E+00, -2.942650080165681E-01,  7.231946359667354E-03, -5.531538331546725E-03, -3.953547213875314E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.033742593716390E+00, -1.986682174412651E+00, -2.961954678813646E-01,  7.361108724311811E-03, -5.407420111746386E-03, -3.767859748972697E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.996616943327992E+00, -2.013403450579643E+00, -2.980324343844038E-01,  7.488923456834219E-03, -5.280645949969421E-03, -3.579571997987948E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.958855673500037E+00, -2.039484172136421E+00, -2.997746047324977E-01,  7.615349521632321E-03, -5.151194708463129E-03, -3.388673368369231E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.920465833679474E+00, -2.064910899948884E+00, -3.014206708527145E-01,  7.740344186859515E-03, -5.019044824487953E-03, -3.195153342774869E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.881454691359796E+00, -2.089670086064984E+00, -3.029693194439202E-01,  7.863862953743942E-03, -4.884174338508768E-03, -2.999001535437400E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.841829741097798E+00, -2.113748071806382E+00, -3.044192320574070E-01,  7.985859483313330E-03, -4.746560924869718E-03, -2.800207752119331E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.801598713903051E+00, -2.137131086019963E+00, -3.057690852083992E-01,  8.106285520581652E-03, -4.606181925099088E-03, -2.598762053695965E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.760769587012759E+00, -2.159805243502980E+00, -3.070175505203117E-01,  8.225090816220443E-03, -4.463014384104575E-03, -2.394654823654713E-04,
2440460.500000000, A.D. 1969-Aug-27 00:00:00.0000,      39.853580, -1.719350594064533E+00, -2.181756543617066E+00, -3.081632949038340E-01,  8.342223045703758E-03, -4.317035089590166E-03, -2.187876839987875E-04,
