*******************************************************************************
JPL/HORIZONS                326 Tamara (A892 FD)           2020-Jun-22 08:48:05
Rec #:     326 (+COV) Soln.date: 2019-Nov-07_01:52:12   # obs: 2128 (1893-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455867.5 ! 2011-Nov-02.00 (TDB)         Residual RMS= .32407
   EC= .1909493788065649   QR= 1.874578303217595   TP= 2456217.7739029201
   OM= 32.29110420924164   W=  238.4175458711761   IN= 23.73151223760614
   A= 2.317009905328784    MA= 262.1141267034257   ADIST= 2.759441507439974
   PER= 3.52696            N= .27945522            ANGMOM= .025702767
   DAN= 2.4806             DDN= 2.02956            L= 268.4070295
   B= -20.0501933          MOID= .94180697         TP= 2012-Oct-17.2739029201
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 46.5               ROTPER= 14.445
   H= 9.4                  G= .150                 B-V= .708
                           ALBEDO= .0368           STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#96, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:48:05 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 326 Tamara (A892 FD)            {source: JPL#96}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455867.5 ! 2011-Nov-02.00 (TDB)         Residual RMS= .32407        
   EC= .1909493788065649   QR= 1.874578303217595   TP= 2456217.7739029201      
   OM= 32.29110420924164   W=  238.4175458711761   IN= 23.73151223760614       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-2.077880370114846E+00  Y= 5.679543889097944E-01  Z= 1.179203706724491E+00
  VX=-3.468478435913110E-03 VY=-7.767311638409386E-03 VZ=-6.396991357035518E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 46.5               ROTPER= 14.445              
   H= 9.4                  G= .150                 B-V= .708                   
                           ALBEDO= .0368           STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.067124714381756E+00,  1.007370595655072E+00,  8.643424040945504E-01, -3.544792814909551E-03, -9.632187320222170E-03, -2.726811523291649E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.084330719386188E+00,  9.589625188095143E-01,  8.504938479331954E-01, -3.336914544164138E-03, -9.730429309666565E-03, -2.812548489589515E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.100486911507940E+00,  9.100725544069960E-01,  8.362175842896074E-01, -3.124867385963966E-03, -9.824920056117653E-03, -2.897886327557232E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.115572444786523E+00,  8.607197963237601E-01,  8.215157334997161E-01, -2.908651263369189E-03, -9.915523821946732E-03, -2.982774783720430E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.129566481100342E+00,  8.109240272568424E-01,  8.063906728731647E-01, -2.688269437123515E-03, -1.000210080961003E-02, -3.067161308066149E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.142448207593187E+00,  7.607057391182876E-01,  7.908450483865898E-01, -2.463728803786153E-03, -1.008450712545022E-02, -3.150990969698059E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.154196855635242E+00,  7.100861535849865E-01,  7.748817868000358E-01, -2.235040211413915E-03, -1.016259475375987E-02, -3.234206372006989E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.164791721405333E+00,  6.590872427504529E-01,  7.585041081969955E-01, -2.002218792222647E-03, -1.023621154223326E-02, -3.316747568255227E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.174212188177819E+00,  6.077317498160563E-01,  7.417155389430753E-01, -1.765284311847372E-03, -1.030520120119716E-02, -3.398551978669664E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.182437750399509E+00,  5.560432097464134E-01,  7.245199250547192E-01, -1.524261536368699E-03, -1.036940331902907E-02, -3.479554309303174E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.189448039649068E+00,  5.040459698041965E-01,  7.069214459694128E-01, -1.279180618415932E-03, -1.042865339514777E-02, -3.559686472609279E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.195222852575232E+00,  4.517652098736431E-01,  6.889246287077718E-01, -1.030077502532831E-03, -1.048278289179288E-02, -3.638877510252163E-03,
