*******************************************************************************
JPL/HORIZONS              346 Hermentaria (A892 WC)        2020-Jun-22 08:54:05
Rec #:     346 (+COV) Soln.date: 2020-May-20_01:04:06   # obs: 2309 (1892-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455135.5 ! 2009-Oct-31.00 (TDB)         Residual RMS= .3729
   EC= .09961393161619564  QR= 2.517157328760221   TP= 2454987.9093451588
   OM= 92.13464529315922   W=  290.2374270311483   IN= 8.758907327487425
   A= 2.795642244085946    MA= 31.1200683407798    ADIST= 3.074127159411671
   PER= 4.67445            N= .210853916           ANGMOM= .028619151
   DAN= 2.6757             DDN= 2.86668            L= 22.5911974
   B= -8.214334300000001   MOID= 1.53692997        TP= 2009-Jun-05.4093451588
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 43.2235            ROTPER= 28.523
   H= 7.3                  G= .150                 B-V= .843
                           ALBEDO= .332            STYP= S
 
ASTEROID comments: 
1: soln ref.= JPL#36, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:54:05 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 346 Hermentaria (A892 WC)       {source: JPL#36}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455135.5 ! 2009-Oct-31.00 (TDB)         Residual RMS= .3729         
   EC= .09961393161619564  QR= 2.517157328760221   TP= 2454987.9093451588      
   OM= 92.13464529315922   W=  290.2374270311483   IN= 8.758907327487425       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.263985360867786E+00  Y= 2.122132298579696E+00  Z= 6.940360219071715E-01
  VX=-9.247107264022437E-03 VY= 5.057276181868404E-03 VZ= 3.706153028148346E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 43.2235            ROTPER= 28.523              
   H= 7.3                  G= .150                 B-V= .843                   
                           ALBEDO= .332            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.978335298642764E+00, -5.619331950161327E-01,  4.624590871705602E-01,  1.487142432288650E-03, -9.203402605632443E-03, -1.627436882946042E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.970519484366022E+00, -6.078764361505671E-01,  4.615862436383752E-01,  1.639090616185468E-03, -9.173507399440051E-03, -1.863822237415039E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.961945341106519E+00, -6.536644130502389E-01,  4.605953834389379E-01,  1.790469629663206E-03, -9.141298618572430E-03, -2.099496564813440E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.952615780531073E+00, -6.992855834818094E-01,  4.594868725476114E-01,  1.941253170755532E-03, -9.106786526496722E-03, -2.334418055166646E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.942533845465508E+00, -7.447284566406608E-01,  4.582610977898135E-01,  2.091415076228271E-03, -9.069981431169721E-03, -2.568545116096985E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.931702709224927E+00, -7.899815933727699E-01,  4.569184667354149E-01,  2.240929312001005E-03, -9.030893684888392E-03, -2.801836360015857E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.920125674992188E+00, -8.350336063970175E-01,  4.554594075996271E-01,  2.389769963408302E-03, -8.989533684598417E-03, -3.034250590878806E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.907806175245625E+00, -8.798731605297706E-01,  4.538843691506916E-01,  2.537911225266787E-03, -8.945911872446031E-03, -3.265746790256236E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.894747771236318E+00, -9.244889729123844E-01,  4.521938206245916E-01,  2.685327392051927E-03, -8.900038736387972E-03, -3.496284103310611E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.880954152513596E+00, -9.688698132419952E-01,  4.503882516466445E-01,  2.831992848445334E-03, -8.851924810921358E-03, -3.725821825361401E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.866429136496901E+00, -1.013004504006664E+00,  4.484681721596438E-01,  2.977882060221312E-03, -8.801580678127691E-03, -3.954319389092491E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.851176668092718E+00, -1.056881920726795E+00,  4.464341123583060E-01,  3.122969565304044E-03, -8.749016969144699E-03, -4.181736352040891E-04,
