*******************************************************************************
JPL/HORIZONS                347 Pariana (A892 WD)          2020-Jun-22 08:54:13
Rec #:     347 (+COV) Soln.date: 2020-May-20_01:04:06   # obs: 3030 (1892-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454685.5 ! 2008-Aug-07.00 (TDB)         Residual RMS= .2519
   EC= .163835253585726    QR= 2.184521472571276   TP= 2454476.6523468825
   OM= 85.84342880042924   W=  84.93907167874525   IN= 11.69466831196054
   A= 2.612549120181354    MA= 48.74577463217005   ADIST= 3.040576767791431
   PER= 4.22284            N= .2334035             ANGMOM= .027428708
   DAN= 2.5062             DDN= 2.57971            L= 170.675792
   B= 11.6484361           MOID= 1.22707999        TP= 2008-Jan-11.1523468825
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 24.3075            ROTPER= 4.0529
   H= 9.                   G= .150                 B-V= .685
                           ALBEDO= .190            STYP= M
 
ASTEROID comments: 
1: soln ref.= JPL#88, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:54:13 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 347 Pariana (A892 WD)           {source: JPL#88}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454685.5 ! 2008-Aug-07.00 (TDB)         Residual RMS= .2519         
   EC= .163835253585726    QR= 2.184521472571276   TP= 2454476.6523468825      
   OM= 85.84342880042924   W=  84.93907167874525   IN= 11.69466831196054       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.317606303635336E+00  Y=-1.897719793416118E+00  Z=-5.583833688172102E-01
  VX= 8.430137436796506E-03 VY=-6.439421843589544E-03 VZ=-4.816694550720321E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 24.3075            ROTPER= 4.0529              
   H= 9.                   G= .150                 B-V= .685                   
                           ALBEDO= .190            STYP= M                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -8.607651268356906E-01,  2.176447501786159E+00,  2.092088701747003E-01, -1.002505955812458E-02, -5.828062264969619E-03,  1.989866245607427E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -9.106385514806263E-01,  2.146688395898444E+00,  2.190974676865121E-01, -9.923193904286896E-03, -6.075412690951728E-03,  1.965344371201621E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -9.599858612220876E-01,  2.115695227004663E+00,  2.288600240867494E-01, -9.814605693793856E-03, -6.321651644536371E-03,  1.939448668574697E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.008773330777976E+00,  2.083474094644891E+00,  2.384896545651287E-01, -9.699251151463492E-03, -6.566561294945099E-03,  1.912173136478719E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.056967034737709E+00,  2.050032201710452E+00,  2.479794483776179E-01, -9.577094077508088E-03, -6.809918172740807E-03,  1.883513417872844E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.104532886583928E+00,  2.015377882004421E+00,  2.573224772950205E-01, -9.448106304946566E-03, -7.051493428733364E-03,  1.853466890793773E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.151436679990421E+00,  1.979520626417915E+00,  2.665118045029443E-01, -9.312268152054378E-03, -7.291053129376848E-03,  1.822032757894232E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.197644132365186E+00,  1.942471107531379E+00,  2.755404939445712E-01, -9.169568867930050E-03, -7.528358591560162E-03,  1.789212133946216E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.243120930603260E+00,  1.904241202445078E+00,  2.844016200951551E-01, -9.020007070513428E-03, -7.763166755712835E-03,  1.755008130979930E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.287832779003626E+00,  1.864844013652230E+00,  2.930882781553490E-01, -8.863591173377519E-03, -7.995230595617546E-03,  1.719425940555800E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.331745449282223E+00,  1.824293887769601E+00,  3.015935946470409E-01, -8.700339796723546E-03, -8.224299565840334E-03,  1.682472912357375E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.374824832593196E+00,  1.782606431934945E+00,  3.099107383913221E-01, -8.530282159167232E-03, -8.450120087599940E-03,  1.644158628330265E-03,
