*******************************************************************************
JPL/HORIZONS               388 Charybdis (A894 ED)         2020-Jun-22 08:58:13
Rec #:     388 (+COV) Soln.date: 2020-May-20_01:04:36   # obs: 2709 (1894-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455684.5 ! 2011-May-03.00 (TDB)         Residual RMS= .32214
   EC= .060183578780825    QR= 2.824796332481786   TP= 2455644.8340779049
   OM= 354.6053449652859   W=  334.0014964377669   IN= 6.458760834878212
   A= 3.005689482226034    MA= 7.502490619091881   ADIST= 3.186582631970282
   PER= 5.21104            N= .189141964           ANGMOM= .029769089
   DAN= 2.84112            DDN= 3.16607            L= 328.750301
   B= -2.8263356           MOID= 1.81394994        TP= 2011-Mar-24.3340779049
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 62.877             ROTPER= 9.516
   H= 8.6                  G= .070                 B-V= .719
                           ALBEDO= .042            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#98, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:58:13 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 388 Charybdis (A894 ED)         {source: JPL#98}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455684.5 ! 2011-May-03.00 (TDB)         Residual RMS= .32214        
   EC= .060183578780825    QR= 2.824796332481786   TP= 2455644.8340779049      
   OM= 354.6053449652859   W=  334.0014964377669   IN= 6.458760834878212       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.603938922368945E+00  Y=-9.668508707187068E-01  Z=-5.235248084652130E-01
  VX= 4.176504522908897E-03 VY= 8.362359766172566E-03 VZ= 4.853622543450915E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 62.877             ROTPER= 9.516               
   H= 8.6                  G= .070                 B-V= .719                   
                           ALBEDO= .042            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.325437412939657E+00, -1.590045170519980E+00, -1.582453620825511E-01,  5.967531036653195E-03,  8.657642962976301E-03,  1.033803747108512E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.354889840193040E+00, -1.546496434337859E+00, -1.530504863715139E-01,  5.813112451141887E-03,  8.761373973580943E-03,  1.044089494237056E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.383565313682657E+00, -1.502436240243765E+00, -1.478050409549836E-01,  5.656759638440468E-03,  8.862219357643976E-03,  1.054030958368553E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.411454314717294E+00, -1.457879116683955E+00, -1.425107571641261E-01,  5.498533742016244E-03,  8.960139238438226E-03,  1.063624202705150E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.438547632769208E+00, -1.412839787732554E+00, -1.371693855665647E-01,  5.338496876278722E-03,  9.055095246542836E-03,  1.072865469937189E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.464836370215498E+00, -1.367333165481961E+00, -1.317826950620010E-01,  5.176712081090906E-03,  9.147050548691749E-03,  1.081751184979882E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.490311946849406E+00, -1.321374342294337E+00, -1.263524719647178E-01,  5.013243275182699E-03,  9.235969874558663E-03,  1.090277957487179E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.514966104155756E+00, -1.274978582923695E+00, -1.208805190740274E-01,  4.848155208420243E-03,  9.321819541743213E-03,  1.098442584161894E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.538790909345439E+00, -1.228161316517656E+00, -1.153686547336534E-01,  4.681513413198071E-03,  9.404567478890468E-03,  1.106242050874553E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.561778759144921E+00, -1.180938128508591E+00, -1.098187118809832E-01,  4.513384155054472E-03,  9.484183246806928E-03,  1.113673534595399E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.583922383336798E+00, -1.133324752404200E+00, -1.042325370871299E-01,  4.343834382465659E-03,  9.560638057578631E-03,  1.120734405138635E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.605214848047239E+00, -1.085337061487327E+00, -9.861198958875128E-02,  4.172931675812561E-03,  9.633904791772273E-03,  1.127422226715078E-03,
