*******************************************************************************
JPL/HORIZONS                407 Arachne (A895 TB)          2020-Jun-22 08:59:03
Rec #:     407 (+COV) Soln.date: 2020-May-20_01:04:55   # obs: 3111 (1899-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455200.5 ! 2010-Jan-04.00 (TDB)         Residual RMS= .29787
   EC= .07096601480618232  QR= 2.439909781568978   TP= 2455372.8689008206
   OM= 294.8221217971728   W=  80.75768188729303   IN= 7.53071844433878
   A= 2.62628689633992     MA= 320.0837498269668   ADIST= 2.812664011110861
   PER= 4.25619            N= .231574541           ANGMOM= .02780713
   DAN= 2.58361            DDN= 2.64319            L= 15.5007982
   B= 7.4323982            MOID= 1.45434999        TP= 2010-Jun-25.3689008206
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 47.535             ROTPER= 22.627
   H= 9.1                  G= .150                 B-V= .698
                           ALBEDO= .0548           STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#45, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:59:03 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 407 Arachne (A895 TB)           {source: JPL#45}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455200.5 ! 2010-Jan-04.00 (TDB)         Residual RMS= .29787        
   EC= .07096601480618232  QR= 2.439909781568978   TP= 2455372.8689008206      
   OM= 294.8221217971728   W=  80.75768188729303   IN= 7.53071844433878        
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 2.146130211607244E+00  Y=-1.219018072001946E+00  Z=-3.232762454564313E-01
  VX= 5.036973916871123E-03 VY= 8.640560605089734E-03 VZ= 5.004804069207294E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 47.535             ROTPER= 22.627              
   H= 9.1                  G= .150                 B-V= .698                   
                           ALBEDO= .0548           STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.399662719065073E+00,  1.320178320176340E+00, -2.120648676027917E-01, -5.207065484389443E-03, -8.602329022316103E-03, -1.109010409813993E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.425269778798712E+00,  1.276934780359485E+00, -2.175719207136985E-01, -5.035533943579576E-03, -8.694532975969742E-03, -1.093752564891584E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.450015863686751E+00,  1.233238537819292E+00, -2.230018160342879E-01, -4.862685500958059E-03, -8.783408516761217E-03, -1.078148389557760E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.473894538208419E+00,  1.189106257831417E+00, -2.283528383511768E-01, -4.688579685036783E-03, -8.868946501736393E-03, -1.062204459352926E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.496899663482906E+00,  1.144554649282791E+00, -2.336233053285078E-01, -4.513275623219619E-03, -8.951138625308957E-03, -1.045927349507223E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.519025395263849E+00,  1.099600460544773E+00, -2.388115675030170E-01, -4.336832042023058E-03, -9.029977395339372E-03, -1.029323633633119E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.540266181937796E+00,  1.054260475465140E+00, -2.439160082732165E-01, -4.159307268355663E-03, -9.105456109468609E-03, -1.012399882663535E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.560616762530026E+00,  1.008551509477746E+00, -2.489350438834977E-01, -3.980759231036453E-03, -9.177568831802620E-03, -9.951626638411652E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.580072164717612E+00,  9.624904058264879E-01, -2.538671234029525E-01, -3.801245462229975E-03, -9.246310370612064E-03, -9.776185396181036E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.598627702850866E+00,  9.160940318976093E-01, -2.587107286987549E-01, -3.620823099494215E-03, -9.311676257256847E-03, -9.597740666183132E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -2.616278975987624E+00,  8.693792756551686E-01, -2.634643744048747E-01, -3.439548888880481E-03, -9.373662725918653E-03, -9.416357948194907E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -2.633021865945330E+00,  8.223630421765329E-01, -2.681266078872449E-01, -3.257479188892632E-03, -9.432266693839451E-03, -9.232102669392455E-04,
