*******************************************************************************
JPL/HORIZONS                410 Chloris (A896 AC)          2020-Jun-22 08:59:24
Rec #:     410 (+COV) Soln.date: 2020-Feb-22_15:26:44   # obs: 2518 (1906-2019)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454391.5 ! 2007-Oct-18.00 (TDB)         Residual RMS= .29302
   EC= .2365189406885435   QR= 2.083813040375064   TP= 2453730.5010576821
   OM= 97.20530615186114   W=  172.0843044144302   IN= 10.92265536712842
   A= 2.729357873336564    MA= 144.4821222851321   ADIST= 3.374902706298064
   PER= 4.50919            N= .218581467           ANGMOM= .027612848
   DAN= 3.36497            DDN= 2.08762            L= 269.4312429
   B= 1.4952974            MOID= 1.06738997        TP= 2005-Dec-26.0010576821
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 59.4645            ROTPER= 32.5
   H= 8.3                  G= .150                 B-V= .748
                           ALBEDO= .043            STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#50, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 08:59:24 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 410 Chloris (A896 AC)           {source: JPL#50}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454391.5 ! 2007-Oct-18.00 (TDB)         Residual RMS= .29302        
   EC= .2365189406885435   QR= 2.083813040375064   TP= 2453730.5010576821      
   OM= 97.20530615186114   W=  172.0843044144302   IN= 10.92265536712842       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.291078073776319E+00  Y= 2.892355425432050E+00  Z= 9.050677304097615E-01
  VX=-7.161773547614975E-03 VY= 3.425028340988186E-03 VZ= 2.866435166178921E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 59.4645            ROTPER= 32.5                
   H= 8.3                  G= .150                 B-V= .748                   
                           ALBEDO= .043            STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -1.915520516331612E+00, -1.174793677118840E+00,  3.975783223981215E-01,  7.955010287612595E-03, -9.240699219789305E-03, -1.282548138380657E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -1.875152756470015E+00, -1.220626731183584E+00,  3.910425605800272E-01,  8.191808498967843E-03, -9.091220101134187E-03, -1.331735565201383E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -1.833605522105184E+00, -1.265692799574910E+00,  3.842612212964825E-01,  8.426751922236632E-03, -8.933894244100526E-03, -1.380770188480140E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.790888817834941E+00, -1.309952498117470E+00,  3.772352044272307E-01,  8.659546676395674E-03, -8.768663509866787E-03, -1.429597300965519E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.747014141577064E+00, -1.353366183568798E+00,  3.699656887776550E-01,  8.889889388566217E-03, -8.595482572263070E-03, -1.478160049633389E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.701994530845276E+00, -1.395894020112177E+00,  3.624541426441553E-01,  9.117467681861374E-03, -8.414319889736167E-03, -1.526399503863661E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.655844606365386E+00, -1.437496050705066E+00,  3.547023339963060E-01,  9.341960751976002E-03, -8.225158674350931E-03, -1.574254740666796E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.608580612580862E+00, -1.478132273248332E+00,  3.467123401888805E-01,  9.563040035258558E-03, -8.027997849630916E-03, -1.621662947622827E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.560220454583999E+00, -1.517762721497241E+00,  3.384865571133889E-01,  9.780369970798090E-03, -7.822852987764030E-03, -1.668559544263202E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.510783730997234E+00, -1.556347550585832E+00,  3.300277076951103E-01,  9.993608858541843E-03, -7.609757216026346E-03, -1.714878322596315E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.460291762321418E+00, -1.593847126984565E+00,  3.213388496384851E-01,  1.020240981447626E-02, -7.388762081878315E-03, -1.760551607310017E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.408767614265431E+00, -1.630222122657520E+00,  3.124233823215831E-01,  1.040642182280099E-02, -7.159938365860135E-03, -1.805510435972003E-03,
