*******************************************************************************
JPL/HORIZONS                419 Aurelia (A896 RF)          2020-Jun-22 09:00:01
Rec #:     419 (+COV) Soln.date: 2020-May-20_01:05:23   # obs: 3315 (1899-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2454665.5 ! 2008-Jul-18.00 (TDB)         Residual RMS= .28879
   EC= .25285031508011     QR= 1.938962170112545   TP= 2454811.8510696772
   OM= 229.3430360926044   W=  44.68606100952064   IN= 3.925062460341294
   A= 2.595145536761408    MA= 325.4969571502525   ADIST= 3.251328903410271
   PER= 4.18072            N= .235755311           ANGMOM= .026811166
   DAN= 2.05907            DDN= 2.96164            L= 273.9618276
   B= 2.7590972            MOID= .92500103         TP= 2008-Dec-11.3510696772
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 74.3505            ROTPER= 16.784
   H= 8.6                  G= .150                 B-V= .641
                           ALBEDO= .034            STYP= F
 
ASTEROID comments: 
1: soln ref.= JPL#106, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:00:01 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 419 Aurelia (A896 RF)           {source: JPL#106}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454665.5 ! 2008-Jul-18.00 (TDB)         Residual RMS= .28879        
   EC= .25285031508011     QR= 1.938962170112545   TP= 2454811.8510696772      
   OM= 229.3430360926044   W=  44.68606100952064   IN= 3.925062460341294       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.677208388871504E+00  Y=-1.190919896285447E+00  Z=-5.476279485741564E-01
  VX= 9.552385868490618E-03 VY=-8.132903488792208E-03 VZ=-2.570723468053922E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 74.3505            ROTPER= 16.784              
   H= 8.6                  G= .150                 B-V= .641                   
                           ALBEDO= .034            STYP= F                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -8.277034257786974E-01,  3.110349769787842E+00, -1.813085037990791E-01, -7.845733120392061E-03, -2.775014708388349E-03, -2.944792777522120E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -8.668387631481013E-01,  3.096131601154075E+00, -1.827608169013339E-01, -7.808094216641546E-03, -2.912217843121278E-03, -2.864311486430599E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -9.057812842554586E-01,  3.081227948677768E+00, -1.841726671030785E-01, -7.768605082142254E-03, -3.049206574711495E-03, -2.782941096332029E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -9.445217145212642E-01,  3.065639909701271E+00, -1.855436097252239E-01, -7.727256261678914E-03, -3.185970718616064E-03, -2.700681067417357E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -9.830507308149355E-01,  3.049368633314171E+00, -1.868731997872407E-01, -7.684037789759294E-03, -3.322499757214821E-03, -2.617530735097098E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -1.021358958898977E+00,  3.032415322068212E+00, -1.881609919468490E-01, -7.638939188765790E-03, -3.458782819921715E-03, -2.533489318338418E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -1.059436970862927E+00,  3.014781233792285E+00, -1.894065404438004E-01, -7.591949466759592E-03, -3.594808663127604E-03, -2.448555927519758E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -1.097275282546580E+00,  2.996467683507769E+00, -1.906093990473605E-01, -7.543057115495873E-03, -3.730565650031058E-03, -2.362729571521785E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -1.134864350954471E+00,  2.977476045446643E+00, -1.917691210074622E-01, -7.492250108873704E-03, -3.866041729591067E-03, -2.276009165536721E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -1.172194571662953E+00,  2.957807755177588E+00, -1.928852590100570E-01, -7.439515901470828E-03, -4.001224414406522E-03, -2.188393540000515E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.209256276219761E+00,  2.937464311844798E+00, -1.939573651370940E-01, -7.384841427003601E-03, -4.136100757796315E-03, -2.099881450067594E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.246039729535880E+00,  2.916447280523121E+00, -1.949849908313057E-01, -7.328213096811341E-03, -4.270657330182632E-03, -2.010471585371623E-04,
