*******************************************************************************
JPL/HORIZONS               454 Mathesis (A900 FB)          2020-Jun-22 09:08:21
Rec #:     454 (+COV) Soln.date: 2020-May-20_01:05:53   # obs: 2803 (1900-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455678.5 ! 2011-Apr-27.00 (TDB)         Residual RMS= .35606
   EC= .1115450411871517   QR= 2.334662814593027   TP= 2455621.5226081717
   OM= 32.41821942495122   W=  177.5097680920046   IN= 6.296772139634944
   A= 2.627778472543615    MA= 13.18328113317649   ADIST= 2.920894130494203
   PER= 4.25982            N= .2313774             ANGMOM= .02771131
   DAN= 2.92055            DDN= 2.33488            L= 209.942992
   B= .2730389             MOID= 1.32947004        TP= 2011-Mar-01.0226081717
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 40.8715            ROTPER= 8.378
   H= 9.3                  G= .150                 B-V= .662
                           ALBEDO= .055            STYP= CB
 
ASTEROID comments: 
1: soln ref.= JPL#102, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:08:21 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 454 Mathesis (A900 FB)          {source: JPL#102}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455678.5 ! 2011-Apr-27.00 (TDB)         Residual RMS= .35606        
   EC= .1115450411871517   QR= 2.334662814593027   TP= 2455621.5226081717      
   OM= 32.41821942495122   W=  177.5097680920046   IN= 6.296772139634944       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.616251866063770E+00  Y=-1.532193443016681E+00  Z=-7.323758320523750E-01
  VX= 8.300047222755770E-03 VY=-7.135894311368854E-03 VZ=-4.474321982219495E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 40.8715            ROTPER= 8.378               
   H= 9.3                  G= .150                 B-V= .662                   
                           ALBEDO= .055            STYP= CB                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  1.291488265112007E+00, -2.247494568384673E+00, -2.861418817873936E-01,  9.804370508729385E-03,  4.281895422062216E-03, -1.919613196832350E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  1.340238383435224E+00, -2.225617906627548E+00, -2.870419852116902E-01,  9.695122897200707E-03,  4.468256484496601E-03, -1.680943846275745E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  1.388434032133244E+00, -2.202817164589141E+00, -2.878229766955771E-01,  9.582598095318109E-03,  4.651521010512382E-03, -1.443180768716171E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  1.436059056289525E+00, -2.179107920503411E+00, -2.884853321307202E-01,  9.466888411917210E-03,  4.831651238245992E-03, -1.206414495957018E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  1.483097760896533E+00, -2.154505934603724E+00, -2.890295719448677E-01,  9.348085490645185E-03,  5.008612115133426E-03, -9.707326475456350E-05,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  1.529534907366711E+00, -2.129027135796097E+00, -2.894562596563809E-01,  9.226280245469350E-03,  5.182371210088545E-03, -7.362199736430332E-05,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  1.575355709732158E+00, -2.102687608769773E+00, -2.897660004505277E-01,  9.101562800668685E-03,  5.352898626495795E-03, -5.029583991817848E-05,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.620545830556066E+00, -2.075503581540250E+00, -2.899594397782091E-01,  8.974022435609583E-03,  5.520166916208868E-03, -2.710270695247988E-05,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.665091376580356E+00, -2.047491413420199E+00, -2.900372619779855E-01,  8.843747534436069E-03,  5.684150994371227E-03, -4.050239805099830E-06,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.708978894133799E+00, -2.018667583414390E+00, -2.900001889224213E-01,  8.710825540544958E-03,  5.844828054995779E-03,  1.885418841447697E-05,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.752195364324010E+00, -1.989048679034627E+00, -2.898489786898072E-01,  8.575342915616244E-03,  6.002177487408985E-03,  4.160346764383506E-05,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.794728198035549E+00, -1.958651385530068E+00, -2.895844242623120E-01,  8.437385102997658E-03,  6.156180793662647E-03,  6.419074547892492E-05,
