*******************************************************************************
JPL/HORIZONS                464 Megaira (A901 AB)          2020-Jun-22 09:08:56
Rec #:     464 (+COV) Soln.date: 2020-May-20_01:06:12   # obs: 2798 (1901-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455966.5 ! 2012-Feb-09.00 (TDB)         Residual RMS= .26462
   EC= .2026244665513637   QR= 2.234675970205457   TP= 2456085.2979645971
   OM= 102.4017816301701   W=  258.8700578430293   IN= 10.16341624116021
   A= 2.802538924840746    MA= 335.0433899149518   ADIST= 3.370401879476034
   PER= 4.69176            N= .210076069           ANGMOM= .028200301
   DAN= 2.79687            DDN= 2.58632            L= 1.0989529
   B= -9.970289599999999   MOID= 1.25910997        TP= 2012-Jun-06.7979645971
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 38.528             ROTPER= 12.879
   H= 9.7                  G= .150                 B-V= .638
                           ALBEDO= .045            STYP= C
 
ASTEROID comments: 
1: soln ref.= JPL#80, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:08:56 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 464 Megaira (A901 AB)           {source: JPL#80}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455966.5 ! 2012-Feb-09.00 (TDB)         Residual RMS= .26462        
   EC= .2026244665513637   QR= 2.234675970205457   TP= 2456085.2979645971      
   OM= 102.4017816301701   W=  258.8700578430293   IN= 10.16341624116021       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 1.843741467888459E+00  Y=-1.153569533137933E+00  Z=-7.943087170071224E-01
  VX= 6.030854899778555E-03 VY= 1.027008031082403E-02 VZ= 2.858612866628803E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 38.528             ROTPER= 12.879              
   H= 9.7                  G= .150                 B-V= .638                   
                           ALBEDO= .045            STYP= C                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  6.719433534174769E-01, -2.460789895162465E+00, -1.583487944356846E-02,  9.943384400433014E-03,  4.882092151993552E-03, -1.933708357287633E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  7.215070718576811E-01, -2.435830202605973E+00, -2.549916569965336E-02,  9.881234513170580E-03,  5.101862279532312E-03, -1.931857822877817E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  7.707469398528821E-01, -2.409770604133644E+00, -3.515195720335958E-02,  9.813829480327239E-03,  5.322033145652872E-03, -1.929107011444278E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  8.196364624305564E-01, -2.382609421703284E+00, -4.478870101880019E-02,  9.741081992490297E-03,  5.542473475039434E-03, -1.925435329013499E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  8.681487141778544E-01, -2.354345648943699E+00, -5.440474168138808E-02,  9.662907239528258E-03,  5.763045861341391E-03, -1.920822367426692E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  9.162563526003833E-01, -2.324978981995101E+00, -6.399532227004173E-02,  9.579223258259927E-03,  5.983606695902998E-03, -1.915247962177716E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  9.639316332601393E-01, -2.294509850662022E+00, -7.355558577736709E-02,  9.489951296447040E-03,  6.204006114304196E-03, -1.908692253764746E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  1.011146426774078E+00, -2.262939449786051E+00, -8.308057679535324E-02,  9.395016193010294E-03,  6.424087962095417E-03, -1.901135752542113E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  1.057872237753203E+00, -2.230269770739265E+00, -9.256524353401022E-02,  9.294346773878925E-03,  6.643689781028388E-03, -1.892559407036264E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  1.104080225757974E+00, -2.196503632931745E+00, -1.020044401901569E-01,  9.187876262478772E-03,  6.862642817516103E-03, -1.882944675682274E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.149741228340345E+00, -2.161644715217053E+00, -1.113929296833098E-01,  9.075542703703431E-03,  7.080772055333907E-03, -1.872273601913106E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.194825786236767E+00, -2.125697587069311E+00, -1.207253867751781E-01,  8.957289400101374E-03,  7.297896274610301E-03, -1.860528892491350E-03,
