*******************************************************************************
JPL/HORIZONS               469 Argentina (A901 DC)         2020-Jun-22 09:09:23
Rec #:     469 (+COV) Soln.date: 2020-May-20_01:06:12   # obs: 2775 (1901-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455677.5 ! 2011-Apr-26.00 (TDB)         Residual RMS= .30512
   EC= .1638611184468523   QR= 2.659238087999037   TP= 2456707.4540302656
   OM= 334.3032106272694   W=  207.3296348997323   IN= 11.65987949715623
   A= 3.180378459448554    MA= 181.0203270143155   ADIST= 3.701518830898072
   PER= 5.67187            N= .173774424           ANGMOM= .030262906
   DAN= 3.62228            DDN= 2.7017             L= 181.1485342
   B= -5.3239435           MOID= 1.66978002        TP= 2014-Feb-18.9540302656
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 66.859             ROTPER= 17.5727
   H= 8.7                  G= .150                 B-V= .655
                           ALBEDO= .035            STYP= X
 
ASTEROID comments: 
1: soln ref.= JPL#39, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:09:23 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 469 Argentina (A901 DC)         {source: JPL#39}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455677.5 ! 2011-Apr-26.00 (TDB)         Residual RMS= .30512        
   EC= .1638611184468523   QR= 2.659238087999037   TP= 2456707.4540302656      
   OM= 334.3032106272694   W=  207.3296348997323   IN= 11.65987949715623       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X= 3.682690064040610E+00  Y=-2.896402226297839E-02  Z= 3.711401733637817E-01
  VX=-4.241624314829428E-04 VY= 6.791973646329194E-03 VZ= 4.531627443789046E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 66.859             ROTPER= 17.5727             
   H= 8.7                  G= .150                 B-V= .655                   
                           ALBEDO= .035            STYP= X                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -2.272563460656603E+00, -1.218741279202402E+00, -4.290078051744916E-01,  4.889961623747350E-03, -1.028963169792544E-02, -1.509653992424728E-03,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.247647240643828E+00, -1.269934989905716E+00, -4.364672572824653E-01,  5.076041804905839E-03, -1.018722942643497E-02, -1.474052059123235E-03,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.221807962103875E+00, -1.320607424856540E+00, -4.437475999403050E-01,  5.259170439415652E-03, -1.008113806786054E-02, -1.438014632147027E-03,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -2.195060597905136E+00, -1.370740390600730E+00, -4.508467220033944E-01,  5.439262233582718E-03, -9.971458790337940E-03, -1.401568244791779E-03,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -2.167420535937870E+00, -1.420316204963372E+00, -4.577626450100313E-01,  5.616236480109464E-03, -9.858294898277100E-03, -1.364739428880449E-03,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -2.138903556077613E+00, -1.469317707143751E+00, -4.644935230545187E-01,  5.790017097592924E-03, -9.741751597999670E-03, -1.327554667186621E-03,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -2.109525806986277E+00, -1.517728266642434E+00, -4.710376424262537E-01,  5.960532655951657E-03, -9.621935765125536E-03, -1.290040347459157E-03,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -2.079303782821201E+00, -1.565531791031501E+00, -4.773934210233887E-01,  6.127716387853434E-03, -9.498955714545156E-03, -1.252222718239004E-03,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149, -2.048254299921093E+00, -1.612712732582177E+00, -4.835594075501041E-01,  6.291506186656817E-03, -9.372920973492094E-03, -1.214127846482016E-03,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996, -2.016394473534363E+00, -1.659256093766765E+00, -4.895342805064547E-01,  6.451844591638429E-03, -9.243942058299849E-03, -1.175781576966699E-03,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850, -1.983741694651604E+00, -1.705147431655073E+00, -4.953168469797882E-01,  6.608678761226741E-03, -9.112130255577286E-03, -1.137209493526819E-03,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711, -1.950313607000489E+00, -1.750372861229435E+00, -5.009060412470745E-01,  6.761960434891335E-03, -8.977597408602564E-03, -1.098436882203124E-03,
