*******************************************************************************
JPL/HORIZONS                503 Evelyn (A903 BL)           2020-Jun-22 09:10:59
Rec #:     503 (+COV) Soln.date: 2020-May-20_01:06:54   # obs: 3193 (1903-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2455458.5 ! 2010-Sep-19.00 (TDB)         Residual RMS= .32891
   EC= .1748842362647964   QR= 2.246789711437683   TP= 2455511.0783307692
   OM= 68.96757849147707   W=  42.0353377174939    IN= 5.009883415941088
   A= 2.722999378010579    MA= 348.4670726858068   ADIST= 3.199209044583475
   PER= 4.49345            N= .21934753            ANGMOM= .027948609
   DAN= 2.33626            DDN= 3.03378            L= 110.8938701
   B= 3.3522012            MOID= 1.26724005        TP= 2010-Nov-10.5783307692
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 40.84              ROTPER= 38.78
   H= 9.3                  G= .150                 B-V= .725
                           ALBEDO= .0585           STYP= Ch
 
ASTEROID comments: 
1: soln ref.= JPL#54, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:10:59 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 503 Evelyn (A903 BL)            {source: JPL#54}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2455458.5 ! 2010-Sep-19.00 (TDB)         Residual RMS= .32891        
   EC= .1748842362647964   QR= 2.246789711437683   TP= 2455511.0783307692      
   OM= 68.96757849147707   W=  42.0353377174939    IN= 5.009883415941088       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.697306503680008E-01  Y= 2.033237604087606E+00  Z= 9.739067575218117E-01
  VX=-1.224622092715656E-02 VY=-1.746730211666411E-03 VZ= 2.837482293374730E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 40.84              ROTPER= 38.78               
   H= 9.3                  G= .150                 B-V= .725                   
                           ALBEDO= .0585           STYP= Ch                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541,  2.473964694912739E+00,  9.019927088933294E-01, -1.765986394505652E-01, -5.320453273665832E-03,  9.345234210951668E-03,  7.258059813367301E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359,  2.446863011225426E+00,  9.485328177087817E-01, -1.729340253332440E-01, -5.520202234187321E-03,  9.270047315034070E-03,  7.400148432366487E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179,  2.418762936008554E+00,  9.946855128913875E-01, -1.691987476721717E-01, -5.719793002790704E-03,  9.190258976725816E-03,  7.540697035603978E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000,  2.389665516709990E+00,  1.040427641784064E+00, -1.653936021340210E-01, -5.919122332635079E-03,  9.105811278508938E-03,  7.679602528927233E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824,  2.359572326832354E+00,  1.085735766210163E+00, -1.615194366200462E-01, -6.118083039353745E-03,  9.016647962424630E-03,  7.816759070410999E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650,  2.328485485755265E+00,  1.130586171265054E+00, -1.575771526358787E-01, -6.316563948178018E-03,  8.922714629267196E-03,  7.952058088098713E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478,  2.296407678807214E+00,  1.174954875127781E+00, -1.535677066504752E-01, -6.514449847107188E-03,  8.823958947184329E-03,  8.085388305574504E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310,  2.263342177552714E+00,  1.218817639936597E+00, -1.494921114401558E-01, -6.711621448052915E-03,  8.720330868533150E-03,  8.216635776408849E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  2.229292860249084E+00,  1.262149983769461E+00, -1.453514374127282E-01, -6.907955358095303E-03,  8.611782855107478E-03,  8.345683929658107E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  2.194264232419569E+00,  1.304927193772795E+00, -1.411468139058634E-01, -7.103324061783402E-03,  8.498270112283294E-03,  8.472413627429008E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  2.158261447486200E+00,  1.347124340483854E+00, -1.368794304536088E-01, -7.297595915031427E-03,  8.379750832341043E-03,  8.596703234807525E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  2.121290327403051E+00,  1.388716293392746E+00, -1.325505380147971E-01, -7.490635151151331E-03,  8.256186446987187E-03,  8.718428702383034E-04,
