*******************************************************************************
JPL/HORIZONS                 569 Misa (A905 OE)            2020-Jun-22 09:14:41
Rec #:     569 (+COV) Soln.date: 2020-May-20_01:08:28   # obs: 3059 (1909-2020)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456077.5 ! 2012-May-30.00 (TDB)         Residual RMS= .33867
   EC= .1799222630194537   QR= 2.180260793828096   TP= 2455438.6391476677
   OM= 301.8263038180719   W=  142.8745142759121   IN= 1.292369664301974
   A= 2.65860258791517     MA= 145.2547073482091   ADIST= 3.136944382002243
   PER= 4.33499            N= .227365165           ANGMOM= .027590677
   DAN= 3.00339            DDN= 2.24979            L= 84.7078326
   B= .779984              MOID= 1.19668996        TP= 2010-Aug-30.1391476677
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 36.475             ROTPER= 11.595
   H= 10.2                 G= .150                 B-V= .716
                           ALBEDO= .0297           STYP= Cg
 
ASTEROID comments: 
1: soln ref.= JPL#34, OCC=0
2: source=ORB
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Mon Jun 22 09:14:41 2020 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 569 Misa (A905 OE)              {source: JPL#34}
Center body name: Solar System Barycenter (0)     {source: DE431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1969-Jun-28 00:00:00.0000 TDB
Stop  time      : A.D. 2071-May-04 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Small perturbers: Yes                             {source: SB431-N16}
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456077.5 ! 2012-May-30.00 (TDB)         Residual RMS= .33867        
   EC= .1799222630194537   QR= 2.180260793828096   TP= 2455438.6391476677      
   OM= 301.8263038180719   W=  142.8745142759121   IN= 1.292369664301974       
  Equivalent ICRF heliocentric equatorial cartesian coordinates (au, au/d):
   X=-1.545054914491094E+00  Y=-2.413550206296551E+00  Z=-1.113136629812816E+00
  VX= 7.348864663632102E-03 VY=-4.815443042783144E-03 VZ=-2.001831474387730E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 36.475             ROTPER= 11.595              
   H= 10.2                 G= .150                 B-V= .716                   
                           ALBEDO= .0297           STYP= Cg                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2440400.500000000, A.D. 1969-Jun-28 00:00:00.0000,      39.699541, -3.103711516847666E-01, -3.122828400615048E+00, -4.468351557799880E-02,  8.734447397975940E-03, -8.669764896308779E-04,  1.546578522151810E-04,
2440405.500000000, A.D. 1969-Jul-03 00:00:00.0000,      39.712359, -2.666631244240026E-01, -3.126789771793751E+00, -4.390492136189547E-02,  8.748415556184646E-03, -7.175374583905241E-04,  1.567736662347802E-04,
2440410.500000000, A.D. 1969-Jul-08 00:00:00.0000,      39.725179, -2.228904773665165E-01, -3.130003443408485E+00, -4.311584079468496E-02,  8.760294957523092E-03, -5.678993524508956E-04,  1.588523526352993E-04,
2440415.500000000, A.D. 1969-Jul-13 00:00:00.0000,      39.738000, -1.790636599519571E-01, -3.132468460405498E+00, -4.231646011982087E-02,  8.770083286190214E-03, -4.180782989791616E-04,  1.608936682631722E-04,
2440420.500000000, A.D. 1969-Jul-18 00:00:00.0000,      39.750824, -1.351931340053741E-01, -3.134183948369499E+00, -4.150696681185090E-02,  8.777777903597784E-03, -2.680904289061773E-04,  1.628973638000610E-04,
2440425.500000000, A.D. 1969-Jul-23 00:00:00.0000,      39.763650, -9.128937535445329E-02, -3.135149113583043E+00, -4.068754960775614E-02,  8.783375847082270E-03, -1.179518931252307E-04,  1.648631835555369E-04,
2440430.500000000, A.D. 1969-Jul-28 00:00:00.0000,      39.776478, -4.736287545262203E-02, -3.135363243166614E+00, -3.985839853936055E-02,  8.786873828860675E-03,  3.232112139471819E-05,  1.667908652441286E-04,
2440435.500000000, A.D. 1969-Aug-02 00:00:00.0000,      39.789310, -3.424143006690568E-03, -3.134825705299562E+00, -3.901970496689352E-02,  8.788268235248923E-03,  1.827123753396220E-04,  1.686801397501696E-04,
2440440.500000000, A.D. 1969-Aug-07 00:00:00.0000,      39.802149,  4.051629439205108E-02, -3.133535949523080E+00, -3.817166161372185E-02,  8.787555126046056E-03,  3.332055605129353E-04,  1.705307308956843E-04,
2440445.500000000, A.D. 1969-Aug-12 00:00:00.0000,      39.814996,  8.444788863392610E-02, -3.131493507126392E+00, -3.731446260222315E-02,  8.784730234021789E-03,  4.837842830948877E-04,  1.723423552190232E-04,
2440450.500000000, A.D. 1969-Aug-17 00:00:00.0000,      39.827850,  1.283600694546755E-01, -3.128697991616989E+00, -3.644830349073636E-02,  8.779788964517728E-03,  6.344320467807736E-04,  1.741147217627050E-04,
2440455.500000000, A.D. 1969-Aug-22 00:00:00.0000,      39.840711,  1.722422427976023E-01, -3.125149099275416E+00, -3.557338131155456E-02,  8.772726395185509E-03,  7.851322358172229E-04,  1.758475318682752E-04,
